"lsoa11cd","date","lsoa11nm","Rural Urban","Adult Lifestage: All categories: Adult lifestage; measures: Value","Adult Lifestage: Age 16 to 24: Total; measures: Value","Adult Lifestage: Age 16 to 24: No dependent children in household; measures: Value","Adult Lifestage: Age 16 to 24: Dependent children in household; measures: Value","Adult Lifestage: Age 25 to 34: Total; measures: Value","Adult Lifestage: Age 25 to 34: No dependent children in household; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 0 to 4; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 5 to 10; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 11 to 15; measures: Value","Adult Lifestage: Age 25 to 34: Youngest dependent child in household aged 16 to 18; measures: Value","Adult Lifestage: Age 35 to 54: Total; measures: Value","Adult Lifestage: Age 35 to 54: No dependent children in household; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 0 to 4; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 5 to 10; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 11 to 15; measures: Value","Adult Lifestage: Age 35 to 54: Youngest dependent child in household aged 16 to 18; measures: Value","Adult Lifestage: Age 55 to 64: Total; measures: Value","Adult Lifestage: Age 55 to 64: One person household; measures: Value","Adult Lifestage: Age 55 to 64: Two or more person household: No dependent children; measures: Value","Adult Lifestage: Age 55 to 64: Dependent children in household; measures: Value","Adult Lifestage: Age 65 to 74: Total; measures: Value","Adult Lifestage: Age 65 to 74: One person household; measures: Value","Adult Lifestage: Age 65 to 74: Two or more person household: No dependent children; measures: Value","Adult Lifestage: Age 65 to 74: Dependent children in household; measures: Value","Adult Lifestage: Age 75 and over: Total; measures: Value","Adult Lifestage: Age 75 and over: One person household; measures: Value","Adult Lifestage: Age 75 and over: Two or more person household; measures: Value"
"E01006526",2011,"Liverpool 048C","Total",1114,102,52,50,223,171,42,7,3,0,411,225,70,54,44,18,160,39,110,11,106,38,66,2,112,43,69
"E01006527",2011,"Liverpool 053A","Total",1166,158,93,65,184,139,36,6,1,2,382,183,56,57,64,22,148,36,98,14,150,40,108,2,144,72,72
"E01006528",2011,"Liverpool 052C","Total",1212,243,188,55,313,239,61,8,4,1,385,203,58,65,44,15,141,33,100,8,73,23,47,3,57,22,35
"E01006529",2011,"Liverpool 048D","Total",1080,140,95,45,222,153,58,6,4,1,402,190,71,75,39,27,141,30,102,9,102,25,69,8,73,33,40
"E01006530",2011,"Liverpool 055A","Total",1219,141,67,74,120,68,46,3,1,2,383,172,50,60,73,28,205,27,166,12,153,25,122,6,217,84,133
"E01006531",2011,"Liverpool 055B","Total",1289,130,65,65,111,78,21,8,2,2,345,162,37,64,47,35,182,26,140,16,226,41,180,5,295,130,165
"E01006532",2011,"Liverpool 047A","Total",1277,143,46,97,100,59,35,2,2,2,434,144,63,85,97,45,256,24,209,23,196,32,161,3,148,65,83
"E01006533",2011,"Liverpool 055C","Total",1152,146,82,64,88,53,31,0,2,2,387,194,57,63,52,21,232,60,159,13,131,45,85,1,168,71,97
"E01006534",2011,"Liverpool 054A","Total",1271,216,92,124,147,92,34,14,3,4,504,229,48,102,81,44,170,29,123,18,121,34,78,9,113,55,58
"E01006535",2011,"Liverpool 054B","Total",1312,213,90,123,168,108,48,7,2,3,493,245,53,52,84,59,183,32,127,24,129,38,87,4,126,67,59
"E01006536",2011,"Liverpool 054C","Total",1545,256,84,172,197,117,51,23,1,5,562,302,59,67,85,49,214,44,152,18,157,41,106,10,159,62,97
"E01006537",2011,"Liverpool 055D","Total",1847,314,194,120,468,302,128,28,9,1,568,322,52,89,80,25,231,37,175,19,147,24,121,2,119,34,85
"E01006538",2011,"Liverpool 055E","Total",1101,156,64,92,143,74,40,11,10,8,407,177,38,76,69,47,153,17,126,10,113,20,89,4,129,51,78
"E01006539",2011,"Liverpool 047B","Total",1203,127,44,83,121,90,22,5,1,3,383,161,48,53,80,41,288,35,220,33,165,33,124,8,119,46,73
"E01006540",2011,"Liverpool 024A","Total",1194,236,119,117,294,183,71,26,11,3,368,244,21,39,53,11,135,59,66,10,82,41,39,2,79,59,20
"E01006541",2011,"Liverpool 015A","Total",1350,196,90,106,213,138,46,21,4,4,439,250,42,57,48,42,205,55,134,16,158,59,95,4,139,80,59
"E01006542",2011,"Liverpool 018A","Total",1049,178,59,119,215,136,51,18,8,2,397,221,40,49,55,32,116,29,71,16,67,20,42,5,76,30,46
"E01006543",2011,"Liverpool 015B","Total",1053,177,74,103,123,75,36,5,5,2,376,181,27,56,66,46,159,27,121,11,131,28,101,2,87,45,42
"E01006544",2011,"Liverpool 015C","Total",1304,254,81,173,202,111,57,24,4,6,446,226,33,52,89,46,163,34,107,22,125,32,87,6,114,53,61
"E01006545",2011,"Liverpool 019A","Total",1174,182,53,129,235,116,81,29,5,4,397,185,50,62,64,36,149,21,108,20,120,32,85,3,91,40,51
"E01006546",2011,"Liverpool 019B","Total",1016,196,97,99,203,104,57,32,8,2,354,201,35,48,52,18,124,31,81,12,65,18,39,8,74,39,35
"E01006547",2011,"Liverpool 019C","Total",1197,222,103,119,261,156,58,33,8,6,374,225,30,49,32,38,145,47,78,20,123,35,78,10,72,34,38
"E01006548",2011,"Liverpool 019D","Total",1233,235,117,118,255,146,75,17,14,3,421,212,56,49,73,31,133,53,72,8,116,47,67,2,73,39,34
"E01006549",2011,"Liverpool 043B","Total",1433,320,282,38,514,474,26,10,4,0,408,328,29,27,18,6,109,47,56,6,52,25,25,2,30,23,7
"E01006550",2011,"Liverpool 038A","Total",1499,996,965,31,184,158,16,3,7,0,179,103,36,10,21,9,69,15,48,6,38,10,27,1,33,17,16
"E01006551",2011,"Liverpool 048E","Total",1061,110,97,13,143,116,16,9,2,0,301,251,16,13,14,7,168,101,62,5,161,100,59,2,178,109,69
"E01006552",2011,"Liverpool 039A","Total",1450,285,145,140,432,255,134,29,11,3,493,266,92,81,39,15,114,41,51,22,77,28,40,9,49,20,29
"E01006553",2011,"Liverpool 042A","Total",1705,888,818,70,335,308,21,4,1,1,288,146,47,53,25,17,104,35,58,11,58,17,37,4,32,12,20
"E01006554",2011,"Liverpool 048F","Total",1508,670,626,44,283,241,32,6,3,1,318,185,60,34,30,9,150,34,97,19,57,19,30,8,30,15,15
"E01006556",2011,"Liverpool 039B","Total",1594,379,227,152,397,261,89,30,15,2,505,302,78,54,36,35,144,69,60,15,84,40,38,6,85,52,33
"E01006557",2011,"Liverpool 038B","Total",1912,1288,1228,60,271,226,36,7,2,0,187,106,18,22,28,13,78,21,46,11,47,20,26,1,41,21,20
"E01006558",2011,"Liverpool 018B","Total",1131,192,91,101,213,133,46,30,2,2,371,250,29,30,38,24,171,52,104,15,110,52,57,1,74,41,33
"E01006560",2011,"Liverpool 023A","Total",1576,225,109,116,228,150,50,19,6,3,506,312,43,62,55,34,263,100,151,12,197,89,100,8,157,88,69
"E01006562",2011,"Liverpool 018E","Total",1185,219,78,141,203,94,73,25,8,3,406,228,49,50,44,35,184,57,117,10,97,35,58,4,76,42,34
"E01006563",2011,"Liverpool 024B","Total",1404,184,74,110,208,111,63,29,4,1,389,217,45,44,60,23,232,111,103,18,208,96,104,8,183,112,71
"E01006564",2011,"Liverpool 023B","Total",1477,182,81,101,203,142,37,15,3,6,408,223,60,46,52,27,329,74,222,33,232,72,151,9,123,49,74
"E01006565",2011,"Liverpool 029A","Total",1275,183,82,101,171,96,53,14,4,4,445,230,46,75,75,19,178,34,129,15,142,43,98,1,156,62,94
"E01006566",2011,"Liverpool 032A","Total",1159,180,65,115,176,96,58,14,5,3,419,168,64,83,69,35,175,26,132,17,103,26,68,9,106,66,40
"E01006567",2011,"Liverpool 026A","Total",1406,189,87,102,207,141,39,10,12,5,438,263,43,47,49,36,219,77,122,20,151,63,86,2,202,122,80
"E01006568",2011,"Liverpool 026B","Total",1180,163,69,94,197,116,51,19,10,1,463,217,74,57,80,35,175,36,126,13,101,27,72,2,81,43,38
"E01006569",2011,"Liverpool 029B","Total",1164,161,65,96,154,98,34,10,8,4,376,205,30,52,72,17,176,45,114,17,148,39,100,9,149,67,82
"E01006570",2011,"Liverpool 026C","Total",1205,193,85,108,154,102,27,14,4,7,445,191,52,93,68,41,165,24,125,16,114,26,86,2,134,52,82
"E01006571",2011,"Liverpool 026D","Total",1178,190,69,121,177,95,45,26,8,3,399,215,25,53,76,30,185,41,129,15,95,29,65,1,132,55,77
"E01006572",2011,"Liverpool 025A","Total",909,133,57,76,159,55,64,30,5,5,320,174,46,43,35,22,126,25,90,11,96,32,58,6,75,35,40
"E01006573",2011,"Liverpool 029C","Total",1223,139,53,86,229,114,81,22,10,2,396,242,32,53,42,27,170,46,103,21,121,46,70,5,168,103,65
"E01006574",2011,"Liverpool 025B","Total",1094,164,68,96,156,66,68,10,6,6,387,179,36,59,73,40,136,20,105,11,123,38,81,4,128,80,48
"E01006575",2011,"Liverpool 034A","Total",1085,149,68,81,157,91,51,6,4,5,363,172,45,52,63,31,161,35,112,14,124,38,84,2,131,59,72
"E01006576",2011,"Liverpool 034B","Total",1394,173,82,91,181,115,56,7,3,0,552,249,84,101,81,37,217,26,178,13,141,38,100,3,130,60,70
"E01006577",2011,"Liverpool 034C","Total",1236,171,65,106,127,82,35,3,1,6,482,186,85,91,78,42,202,18,158,26,124,27,96,1,130,49,81
"E01006578",2011,"Liverpool 036A","Total",1108,145,72,73,224,131,66,22,2,3,374,153,68,63,70,20,151,17,123,11,126,30,94,2,88,35,53
"E01006579",2011,"Liverpool 034D","Total",1317,149,68,81,168,87,73,3,3,2,478,185,74,101,95,23,223,16,183,24,159,34,118,7,140,60,80
"E01006580",2011,"Liverpool 036B","Total",1107,154,54,100,122,71,45,3,1,2,426,172,50,81,72,51,180,19,141,20,129,18,105,6,96,38,58
"E01006581",2011,"Liverpool 036C","Total",1264,180,101,79,132,84,38,7,2,1,477,164,93,96,88,36,208,24,166,18,155,26,126,3,112,46,66
"E01006582",2011,"Liverpool 041A","Total",1297,212,78,134,141,77,45,8,7,4,497,153,86,103,115,40,212,17,168,27,123,16,101,6,112,37,75
"E01006583",2011,"Liverpool 047C","Total",1023,127,60,67,83,55,23,3,1,1,368,122,81,62,73,30,197,12,164,21,134,16,111,7,114,45,69
"E01006584",2011,"Liverpool 034E","Total",1147,138,48,90,143,94,42,2,4,1,406,169,61,64,82,30,225,49,161,15,130,39,90,1,105,38,67
"E01006585",2011,"Liverpool 032B","Total",1136,160,83,77,138,84,43,9,2,0,406,242,41,53,49,21,169,62,94,13,132,46,82,4,131,56,75
"E01006586",2011,"Liverpool 032C","Total",1582,237,133,104,314,235,53,14,11,1,547,304,67,77,67,32,202,62,122,18,137,51,77,9,145,75,70
"E01006587",2011,"Liverpool 032D","Total",1349,185,102,83,234,163,57,10,3,1,495,283,71,66,61,14,253,50,176,27,112,28,78,6,70,29,41
"E01006588",2011,"Liverpool 042C","Total",1354,275,224,51,295,246,39,7,2,1,394,243,48,43,48,12,188,41,134,13,105,28,75,2,97,44,53
"E01006589",2011,"Liverpool 041B","Total",1228,160,63,97,155,90,48,8,4,5,451,153,94,81,76,47,228,38,168,22,121,28,90,3,113,50,63
"E01006590",2011,"Liverpool 042D","Total",1452,371,323,48,400,343,41,10,4,2,389,227,54,61,28,19,122,28,86,8,82,27,53,2,88,38,50
"E01006591",2011,"Liverpool 041C","Total",1374,297,207,90,265,211,46,5,2,1,434,189,81,58,79,27,198,31,142,25,95,24,67,4,85,41,44
"E01006592",2011,"Liverpool 041D","Total",1303,212,122,90,146,121,17,3,2,3,403,150,73,82,64,34,229,26,173,30,138,32,104,2,175,91,84
"E01006593",2011,"Liverpool 042E","Total",1324,317,264,53,378,300,67,5,3,3,366,213,54,60,23,16,118,32,72,14,76,24,49,3,69,28,41
"E01006594",2011,"Liverpool 047D","Total",1186,149,69,80,96,71,11,10,1,3,408,163,70,67,76,32,258,34,196,28,139,25,110,4,136,71,65
"E01006595",2011,"Liverpool 049B","Total",1476,163,100,63,314,233,72,7,2,0,487,274,79,66,38,30,205,44,152,9,144,46,96,2,163,82,81
"E01006596",2011,"Liverpool 049C","Total",1228,178,95,83,196,151,35,4,5,1,412,201,44,75,71,21,208,24,164,20,101,23,75,3,133,55,78
"E01006597",2011,"Liverpool 041E","Total",1367,187,110,77,182,142,35,4,1,0,485,213,89,89,61,33,232,36,168,28,143,27,111,5,138,65,73
"E01006598",2011,"Liverpool 010A","Total",1038,163,55,108,165,58,59,31,15,2,338,182,38,42,50,26,140,39,93,8,121,45,71,5,111,61,50
"E01006599",2011,"Liverpool 010B","Total",814,154,58,96,181,67,79,27,7,1,267,140,27,40,42,18,95,36,47,12,81,29,44,8,36,16,20
"E01006600",2011,"Liverpool 011A","Total",1173,184,67,117,157,85,40,21,7,4,413,225,35,51,59,43,151,30,96,25,125,25,98,2,143,67,76
"E01006603",2011,"Liverpool 011B","Total",1153,182,82,100,144,93,35,11,5,0,396,215,39,52,67,23,149,31,106,12,142,29,103,10,140,49,91
"E01006604",2011,"Liverpool 016A","Total",1130,182,84,98,145,88,38,15,3,1,420,234,30,52,77,27,143,31,98,14,129,33,86,10,111,45,66
"E01006605",2011,"Liverpool 016B","Total",1270,200,95,105,188,97,56,21,13,1,423,225,41,63,72,22,184,53,112,19,126,54,69,3,149,69,80
"E01006606",2011,"Liverpool 020A","Total",1267,161,75,86,227,139,63,19,4,2,430,262,35,42,59,32,192,35,138,19,145,42,97,6,112,40,72
"E01006607",2011,"Liverpool 008A","Total",1225,207,93,114,181,88,48,27,14,4,406,224,38,54,59,31,177,37,125,15,111,24,82,5,143,56,87
"E01006608",2011,"Liverpool 009A","Total",996,144,53,91,171,105,47,17,1,1,372,209,53,32,55,23,146,31,109,6,92,32,58,2,71,42,29
"E01006609",2011,"Liverpool 009B","Total",1060,167,56,111,194,121,57,10,4,2,375,205,36,54,48,32,137,21,101,15,102,22,76,4,85,40,45
"E01006610",2011,"Liverpool 009C","Total",1139,176,70,106,214,128,56,16,10,4,360,193,32,39,63,33,154,36,98,20,109,41,65,3,126,93,33
"E01006611",2011,"Liverpool 012A","Total",1055,183,90,93,236,135,60,31,9,1,347,253,17,23,34,20,124,52,64,8,104,42,62,0,61,40,21
"E01006612",2011,"Liverpool 008B","Total",1214,177,87,90,191,108,54,22,3,4,404,242,33,61,51,17,174,58,108,8,127,47,78,2,141,77,64
"E01006613",2011,"Liverpool 009D","Total",1152,173,68,105,143,67,47,19,7,3,356,195,39,43,53,26,199,60,121,18,145,38,102,5,136,76,60
"E01006614",2011,"Liverpool 012B","Total",1084,164,76,88,211,131,50,27,2,1,373,249,27,44,38,15,148,33,107,8,93,23,70,0,95,44,51
"E01006615",2011,"Liverpool 012C","Total",1071,177,70,107,223,141,63,13,3,3,361,215,17,37,60,32,147,41,100,6,90,30,58,2,73,42,31
"E01006616",2011,"Liverpool 015D","Total",1185,181,81,100,154,88,45,18,2,1,408,217,38,57,65,31,200,45,137,18,125,32,86,7,117,56,61
"E01006617",2011,"Liverpool 021A","Total",1216,167,79,88,195,139,43,4,4,5,463,249,47,56,66,45,156,17,126,13,112,30,81,1,123,39,84
"E01006618",2011,"Liverpool 016C","Total",1391,197,91,106,138,89,33,8,8,0,489,253,48,83,72,33,189,31,136,22,192,57,129,6,186,75,111
"E01006619",2011,"Liverpool 021B","Total",1339,175,84,91,204,120,63,15,2,4,452,240,45,74,66,27,204,42,141,21,161,28,129,4,143,61,82
"E01006620",2011,"Liverpool 021C","Total",1189,138,63,75,135,92,32,6,2,3,365,172,34,72,67,20,211,32,157,22,172,53,112,7,168,92,76
"E01006621",2011,"Liverpool 021D","Total",1249,176,88,88,149,93,35,5,11,5,393,161,53,62,79,38,245,30,202,13,160,29,125,6,126,59,67
"E01006622",2011,"Liverpool 021E","Total",1238,150,62,88,134,83,47,1,0,3,446,179,53,92,88,34,210,21,174,15,157,26,127,4,141,50,91
"E01006623",2011,"Liverpool 013A","Total",1223,178,73,105,119,77,28,4,5,5,449,183,45,92,85,44,243,19,197,27,161,15,143,3,73,17,56
"E01006624",2011,"Liverpool 013B","Total",1289,191,82,109,226,130,61,26,5,4,408,222,56,51,50,29,201,42,141,18,143,39,102,2,120,51,69
"E01006625",2011,"Liverpool 016D","Total",1171,151,58,93,109,61,35,9,1,3,406,172,39,71,88,36,202,29,156,17,142,33,102,7,161,81,80
"E01006626",2011,"Liverpool 016E","Total",1246,183,77,106,142,88,31,15,3,5,428,200,42,77,59,50,214,27,162,25,149,41,104,4,130,60,70
"E01006627",2011,"Liverpool 013C","Total",1152,161,79,82,179,105,54,16,3,1,388,187,34,72,77,18,186,32,141,13,119,32,85,2,119,56,63
"E01006628",2011,"Liverpool 052D","Total",1276,187,110,77,288,228,46,8,5,1,427,217,67,68,52,23,171,31,121,19,96,25,67,4,107,52,55
"E01006629",2011,"Liverpool 052E","Total",1103,148,89,59,203,151,36,6,8,2,336,192,37,44,40,23,190,36,144,10,126,38,86,2,100,41,59
"E01006630",2011,"Liverpool 044B","Total",1029,189,61,128,158,81,40,21,10,6,398,194,49,55,75,25,141,35,75,31,84,27,49,8,59,18,41
"E01006632",2011,"Liverpool 044C","Total",1465,242,143,99,359,219,91,40,6,3,437,252,48,60,58,19,182,48,114,20,132,39,91,2,113,44,69
"E01006633",2011,"Liverpool 050B","Total",1151,166,63,103,181,84,67,20,8,2,357,208,27,56,50,16,187,71,94,22,145,68,72,5,115,77,38
"E01006637",2011,"Liverpool 017A","Total",1161,226,89,137,251,101,98,41,9,2,394,202,54,53,63,22,137,39,82,16,101,37,57,7,52,29,23
"E01006638",2011,"Liverpool 017B","Total",934,158,60,98,166,61,68,25,10,2,326,167,48,37,41,33,126,28,86,12,96,27,62,7,62,33,29
"E01006639",2011,"Liverpool 017C","Total",1177,172,63,109,227,114,86,23,4,0,438,204,57,74,74,29,151,25,116,10,109,35,73,1,80,36,44
"E01006640",2011,"Liverpool 021F","Total",1496,187,76,111,234,129,83,15,7,0,549,226,102,104,79,38,234,46,172,16,154,34,114,6,138,57,81
"E01006641",2011,"Liverpool 025C","Total",1167,131,61,70,353,142,173,27,10,1,528,230,121,102,61,14,99,20,70,9,34,10,21,3,22,7,15
"E01006642",2011,"Liverpool 025D","Total",1014,192,82,110,152,52,58,25,12,5,374,219,22,37,64,32,102,28,64,10,80,29,46,5,114,52,62
"E01006643",2011,"Liverpool 025E","Total",1357,232,85,147,287,117,110,41,18,1,499,225,69,76,102,27,155,37,102,16,102,30,68,4,82,27,55
"E01006644",2011,"Liverpool 017D","Total",1643,249,118,131,360,221,106,20,11,2,559,288,63,77,95,36,206,63,125,18,133,56,66,11,136,58,78
"E01006645",2011,"Liverpool 017E","Total",1161,193,77,116,153,72,46,22,9,4,381,226,27,34,59,35,130,50,67,13,136,47,82,7,168,91,77
"E01006646",2011,"Liverpool 023C","Total",1615,299,195,104,446,339,66,32,7,2,453,286,37,56,49,25,203,63,120,20,124,47,71,6,90,47,43
"E01006647",2011,"Liverpool 024C","Total",1071,173,62,111,158,56,57,32,12,1,347,168,38,50,67,24,181,53,104,24,141,53,81,7,71,39,32
"E01006648",2011,"Liverpool 023D","Total",1895,441,330,111,486,382,64,26,8,6,470,304,37,45,55,29,227,77,141,9,156,63,87,6,115,62,53
"E01006651",2011,"Liverpool 001A","Total",1248,191,63,128,213,114,79,13,5,2,586,209,104,124,111,38,166,14,127,25,58,14,44,0,34,13,21
"E01006652",2011,"Liverpool 002A","Total",1211,166,71,95,235,130,75,16,11,3,438,223,48,62,80,25,163,34,122,7,116,32,83,1,93,35,58
"E01006653",2011,"Liverpool 001B","Total",1211,160,68,92,210,111,76,19,3,1,442,217,51,84,69,21,166,42,105,19,122,36,80,6,111,38,73
"E01006654",2011,"Liverpool 005A","Total",1178,179,79,100,189,102,63,20,3,1,437,209,52,69,67,40,177,32,130,15,93,40,48,5,103,58,45
"E01006655",2011,"Liverpool 001C","Total",1385,194,88,106,253,127,95,19,8,4,505,251,57,73,89,35,173,30,129,14,122,27,94,1,138,61,77
"E01006656",2011,"Liverpool 002B","Total",1221,200,109,91,236,127,79,22,7,1,403,236,46,44,45,32,179,37,135,7,117,30,84,3,86,39,47
"E01006657",2011,"Liverpool 002C","Total",978,126,56,70,206,115,73,16,2,0,347,198,46,43,38,22,125,38,83,4,101,31,68,2,73,40,33
"E01006658",2011,"Liverpool 001D","Total",1067,155,82,73,192,92,50,36,10,4,345,210,18,45,48,24,146,41,96,9,133,42,90,1,96,42,54
"E01006659",2011,"Liverpool 005B","Total",879,114,43,71,156,94,44,13,5,0,340,211,22,35,47,25,111,46,55,10,62,25,36,1,96,52,44
"E01006660",2011,"Liverpool 001E","Total",1136,147,54,93,146,55,75,10,5,1,435,209,52,84,65,25,156,48,99,9,124,43,77,4,128,54,74
"E01006661",2011,"Liverpool 004A","Total",1350,203,85,118,215,91,77,30,9,8,418,248,33,47,60,30,200,48,135,17,140,37,98,5,174,86,88
"E01006662",2011,"Liverpool 004B","Total",1297,161,58,103,261,125,100,32,1,3,385,200,66,53,51,15,181,64,101,16,153,60,87,6,156,102,54
"E01006663",2011,"Liverpool 004C","Total",896,118,58,60,184,89,68,23,2,2,354,188,40,59,51,16,100,29,60,11,64,28,35,1,76,36,40
"E01006664",2011,"Liverpool 004D","Total",1406,202,83,119,291,149,93,36,9,4,446,243,47,52,81,23,209,63,131,15,116,45,64,7,142,83,59
"E01006665",2011,"Liverpool 007A","Total",1219,176,70,106,206,105,72,18,9,2,534,241,94,72,78,49,179,24,140,15,77,23,50,4,47,26,21
"E01006666",2011,"Liverpool 007B","Total",1156,210,63,147,169,77,69,14,6,3,531,180,64,107,128,52,147,18,96,33,50,12,34,4,49,18,31
"E01006667",2011,"Liverpool 007C","Total",1165,145,66,79,175,107,47,18,2,1,431,239,45,70,54,23,200,32,150,18,120,30,86,4,94,48,46
"E01006668",2011,"Liverpool 007D","Total",1163,159,65,94,220,126,69,19,6,0,570,230,77,122,106,35,102,16,73,13,67,20,45,2,45,12,33
"E01006669",2011,"Liverpool 004E","Total",1142,188,88,100,170,91,64,11,4,0,529,227,83,98,93,28,153,17,112,24,69,16,45,8,33,12,21
"E01006670",2011,"Liverpool 007E","Total",1204,173,72,101,189,93,75,13,5,3,504,227,48,90,96,43,166,29,127,10,112,18,87,7,60,20,40
"E01006671",2011,"Liverpool 013D","Total",1099,202,84,118,118,62,39,14,3,0,434,200,67,49,83,35,157,20,121,16,129,31,84,14,59,21,38
"E01006672",2011,"Liverpool 010E","Total",1445,233,71,162,277,112,110,40,13,2,519,254,77,82,83,23,190,44,128,18,134,43,86,5,92,37,55
"E01006673",2011,"Liverpool 037D","Total",1499,349,219,130,424,283,101,22,14,4,410,213,68,69,43,17,132,52,58,22,98,61,29,8,86,64,22
"E01006674",2011,"Liverpool 039C","Total",1355,262,94,168,332,167,120,32,7,6,415,212,96,58,33,16,130,65,49,16,138,69,49,20,78,44,34
"E01006675",2011,"Liverpool 043C","Total",1560,230,186,44,590,526,47,7,4,6,480,397,30,23,19,11,154,100,45,9,64,42,18,4,42,29,13
"E01006676",2011,"Liverpool 044D","Total",1283,227,93,134,313,139,119,35,19,1,415,211,71,62,48,23,146,53,67,26,107,46,53,8,75,37,38
"E01006677",2011,"Liverpool 043D","Total",730,104,43,61,149,50,53,34,10,2,268,160,40,33,29,6,100,45,42,13,60,29,27,4,49,29,20
"E01006678",2011,"Liverpool 044E","Total",1773,293,161,132,324,223,72,22,6,1,618,393,57,63,78,27,239,90,130,19,182,61,109,12,117,54,63
"E01006679",2011,"Liverpool 039D","Total",1530,332,165,167,411,195,161,30,16,9,442,192,107,70,55,18,110,44,40,26,132,58,53,21,103,33,70
"E01006680",2011,"Liverpool 053B","Total",1310,170,65,105,165,120,34,7,2,2,456,175,77,84,80,40,232,23,195,14,159,28,128,3,128,61,67
"E01006681",2011,"Liverpool 054D","Total",1342,178,71,107,173,126,35,8,1,3,465,235,57,64,68,41,230,35,175,20,130,24,103,3,166,83,83
