"lsoa11cd","date","lsoa11nm","Rural Urban","Method of Travel to Work: All categories: Method of travel to work; measures: Value","Method of Travel to Work: Work mainly at or from home; measures: Value","Method of Travel to Work: Underground, metro, light rail, tram; measures: Value","Method of Travel to Work: Train; measures: Value","Method of Travel to Work: Bus, minibus or coach; measures: Value","Method of Travel to Work: Taxi; measures: Value","Method of Travel to Work: Motorcycle, scooter or moped; measures: Value","Method of Travel to Work: Driving a car or van; measures: Value","Method of Travel to Work: Passenger in a car or van; measures: Value","Method of Travel to Work: Bicycle; measures: Value","Method of Travel to Work: On foot; measures: Value","Method of Travel to Work: Other method of travel to work; measures: Value","Method of Travel to Work: Not in employment; measures: Value"
"E01006550",2011,"Liverpool 038A","Total",1466,18,2,30,161,10,0,216,35,27,79,5,883
"E01006551",2011,"Liverpool 048E","Total",1298,21,1,19,87,4,1,218,32,23,55,5,832
"E01006552",2011,"Liverpool 039A","Total",1403,21,6,28,152,15,1,248,27,34,113,1,757
"E01006553",2011,"Liverpool 042A","Total",1673,23,3,41,233,9,4,386,38,33,100,3,800
"E01006554",2011,"Liverpool 048F","Total",1500,44,6,34,189,11,3,303,31,47,80,4,748
"E01006556",2011,"Liverpool 039B","Total",1510,21,3,29,201,13,3,195,27,11,82,11,914
"E01006557",2011,"Liverpool 038B","Total",1874,19,2,30,246,8,2,269,33,20,102,8,1135
"E01006558",2011,"Liverpool 018B","Total",1057,7,6,10,175,6,1,153,30,10,71,3,585
"E01006560",2011,"Liverpool 023A","Total",1419,7,1,16,199,18,1,167,29,8,76,3,894
"E01006562",2011,"Liverpool 018E","Total",1109,9,0,11,171,9,3,152,32,4,76,1,641
"E01006563",2011,"Liverpool 024B","Total",1224,7,3,8,144,10,1,144,20,10,60,3,814
"E01006564",2011,"Liverpool 023B","Total",1354,8,0,20,182,10,1,306,54,7,91,4,671
"E01006565",2011,"Liverpool 029A","Total",1119,5,2,11,141,12,4,321,39,14,101,3,466
"E01006566",2011,"Liverpool 032A","Total",1078,26,1,14,144,12,4,378,30,9,71,6,383
"E01006567",2011,"Liverpool 026A","Total",1237,18,2,17,126,12,4,343,32,11,86,8,578
"E01006568",2011,"Liverpool 026B","Total",1145,13,2,10,106,10,2,474,54,10,50,2,412
"E01006569",2011,"Liverpool 029B","Total",1035,10,2,8,89,7,4,251,44,5,84,5,526
"E01006570",2011,"Liverpool 026C","Total",1082,29,2,12,125,13,3,443,36,12,57,7,343
"E01006571",2011,"Liverpool 026D","Total",1050,7,0,7,152,11,0,264,32,3,73,8,493
"E01006572",2011,"Liverpool 025A","Total",834,6,1,9,100,10,3,179,35,3,58,5,425
"E01006573",2011,"Liverpool 029C","Total",1055,15,0,11,181,8,3,258,26,8,77,3,465
"E01006574",2011,"Liverpool 025B","Total",966,7,1,11,113,8,1,275,48,3,42,3,454
"E01006575",2011,"Liverpool 034A","Total",956,18,1,19,100,4,2,313,42,10,57,3,387
"E01006576",2011,"Liverpool 034B","Total",1264,25,2,64,95,8,6,584,58,8,45,7,362
"E01006577",2011,"Liverpool 034C","Total",1106,27,5,20,114,7,4,501,41,12,43,1,331
"E01006578",2011,"Liverpool 036A","Total",1020,16,3,40,95,4,1,444,49,13,42,5,308
"E01006579",2011,"Liverpool 034D","Total",1177,34,2,21,142,8,3,489,55,10,32,4,377
"E01006580",2011,"Liverpool 036B","Total",1015,32,0,13,88,3,4,481,38,8,35,9,304
"E01006581",2011,"Liverpool 036C","Total",1152,26,0,15,102,4,1,517,39,13,57,3,375
"E01006582",2011,"Liverpool 041A","Total",1192,38,6,19,116,0,5,526,46,15,44,3,374
"E01006583",2011,"Liverpool 047C","Total",1408,45,2,18,87,5,1,500,47,5,55,4,639
"E01006584",2011,"Liverpool 034E","Total",1042,16,0,56,76,9,3,393,47,10,57,5,370
"E01006585",2011,"Liverpool 032B","Total",1005,12,2,26,113,9,3,224,33,8,57,4,514
"E01006586",2011,"Liverpool 032C","Total",1460,17,2,24,173,16,3,473,57,26,80,4,585
"E01006587",2011,"Liverpool 032D","Total",1280,31,2,63,112,12,5,455,37,20,67,1,475
"E01006588",2011,"Liverpool 042C","Total",1264,35,1,36,196,3,6,415,36,13,85,5,433
"E01006589",2011,"Liverpool 041B","Total",1116,28,0,13,153,4,7,478,43,13,46,4,327
"E01006590",2011,"Liverpool 042D","Total",1369,29,5,41,230,15,0,402,54,23,103,4,463
"E01006591",2011,"Liverpool 041C","Total",1289,25,3,27,177,6,0,503,33,23,66,4,422
"E01006592",2011,"Liverpool 041D","Total",1136,59,2,12,99,5,5,472,27,27,52,3,373
"E01006593",2011,"Liverpool 042E","Total",1255,27,2,24,190,7,4,433,38,28,80,5,417
"E01006594",2011,"Liverpool 047D","Total",1054,45,1,20,54,1,3,491,30,6,25,5,373
"E01006595",2011,"Liverpool 049B","Total",1313,28,5,65,115,4,3,525,47,15,83,7,416
"E01006596",2011,"Liverpool 049C","Total",1095,28,3,23,110,7,4,448,46,18,69,3,336
"E01006597",2011,"Liverpool 041E","Total",1232,52,3,36,114,4,0,531,31,11,50,5,395
"E01006598",2011,"Liverpool 010A","Total",927,5,2,4,126,8,2,148,16,6,49,3,558
"E01006599",2011,"Liverpool 010B","Total",778,4,0,3,139,10,1,131,20,10,43,1,416
"E01006600",2011,"Liverpool 011A","Total",1030,11,0,7,155,13,6,268,32,6,66,5,461
"E01006603",2011,"Liverpool 011B","Total",1025,7,1,9,150,9,4,254,35,9,44,4,499
"E01006604",2011,"Liverpool 016A","Total",1019,4,0,9,151,8,3,310,36,9,50,3,436
"E01006605",2011,"Liverpool 016B","Total",1121,13,1,8,166,16,4,274,43,9,48,4,535
"E01006606",2011,"Liverpool 020A","Total",1155,13,3,12,153,16,4,359,52,7,47,4,485
"E01006607",2011,"Liverpool 008A","Total",1084,5,4,6,169,11,7,264,51,9,49,3,506
"E01006608",2011,"Liverpool 009A","Total",926,11,0,10,107,10,0,319,41,12,43,6,367
"E01006609",2011,"Liverpool 009B","Total",975,12,0,10,149,7,1,267,36,9,57,5,422
"E01006610",2011,"Liverpool 009C","Total",1015,10,0,17,175,10,1,216,42,7,66,1,470
"E01006611",2011,"Liverpool 012A","Total",994,1,0,23,190,12,1,146,45,6,48,1,521
"E01006612",2011,"Liverpool 008B","Total",1073,6,0,14,150,7,4,234,49,12,57,3,537
"E01006613",2011,"Liverpool 009D","Total",1016,4,2,5,111,7,2,240,54,14,47,5,525
"E01006614",2011,"Liverpool 012B","Total",989,2,1,11,168,21,5,215,49,11,65,3,438
"E01006615",2011,"Liverpool 012C","Total",998,7,0,14,193,13,4,222,35,8,63,3,436
"E01006616",2011,"Liverpool 015D","Total",1068,10,2,8,160,10,5,287,45,8,47,6,480
"E01006617",2011,"Liverpool 021A","Total",1093,23,0,6,168,8,2,453,41,21,42,4,325
"E01006618",2011,"Liverpool 016C","Total",1205,10,0,7,185,9,4,338,54,12,45,3,538
"E01006619",2011,"Liverpool 021B","Total",1196,12,2,8,151,8,4,450,46,5,75,6,429
"E01006620",2011,"Liverpool 021C","Total",1021,21,0,10,86,7,2,381,49,6,53,3,403
"E01006621",2011,"Liverpool 021D","Total",1123,41,1,10,73,5,1,477,33,5,44,2,431
"E01006622",2011,"Liverpool 021E","Total",1097,20,1,6,108,4,3,513,44,12,56,5,325
"E01006623",2011,"Liverpool 013A","Total",1150,27,1,5,97,11,4,543,56,9,21,5,371
"E01006624",2011,"Liverpool 013B","Total",1174,10,1,5,150,10,3,396,48,5,35,4,507
"E01006625",2011,"Liverpool 016D","Total",1010,16,5,17,114,5,2,410,41,11,31,8,350
"E01006626",2011,"Liverpool 016E","Total",1116,15,1,4,141,6,1,430,60,10,37,5,406
"E01006627",2011,"Liverpool 013C","Total",1033,16,0,12,129,4,2,392,62,5,55,6,350
"E01006628",2011,"Liverpool 052D","Total",1525,34,26,131,115,5,0,416,54,33,54,6,651
"E01006629",2011,"Liverpool 052E","Total",1008,26,12,50,116,5,1,317,29,11,53,1,387
"E01006630",2011,"Liverpool 044B","Total",970,7,1,38,104,8,1,132,18,6,88,3,564
"E01006632",2011,"Liverpool 044C","Total",1352,17,3,30,206,13,1,243,34,17,98,8,682
"E01006633",2011,"Liverpool 050B","Total",1036,5,2,18,135,5,1,158,29,6,51,2,624
"E01006637",2011,"Liverpool 017A","Total",1109,9,3,11,134,10,1,266,56,1,57,4,557
"E01006638",2011,"Liverpool 017B","Total",872,2,0,1,100,10,4,161,24,8,53,8,501
"E01006639",2011,"Liverpool 017C","Total",1097,12,0,9,119,15,4,441,52,7,40,6,392
"E01006640",2011,"Liverpool 021F","Total",1358,19,1,10,103,14,2,593,67,9,47,5,488
"E01006641",2011,"Liverpool 025C","Total",1187,17,0,23,153,19,4,578,52,5,41,7,288
"E01006642",2011,"Liverpool 025D","Total",900,7,0,6,118,6,4,195,36,13,57,0,458
"E01006643",2011,"Liverpool 025E","Total",1275,6,1,16,185,21,1,324,49,13,53,5,601
"E01006644",2011,"Liverpool 017D","Total",1507,10,3,12,197,12,4,456,71,22,60,3,657
"E01006645",2011,"Liverpool 017E","Total",993,11,0,6,126,3,0,206,43,5,35,0,558
"E01006646",2011,"Liverpool 023C","Total",1543,18,1,28,141,9,2,311,45,13,183,6,786
"E01006647",2011,"Liverpool 024C","Total",1000,3,2,10,105,10,1,101,25,5,73,2,663
"E01006648",2011,"Liverpool 023D","Total",1780,14,7,66,136,18,3,290,35,17,340,7,847
"E01006651",2011,"Liverpool 001A","Total",1214,27,5,89,45,15,3,606,60,4,59,7,294
"E01006652",2011,"Liverpool 002A","Total",1118,19,3,73,82,18,4,361,50,13,107,3,385
"E01006653",2011,"Liverpool 001B","Total",1100,10,4,51,70,7,2,343,54,6,69,4,480
"E01006654",2011,"Liverpool 005A","Total",1080,10,7,71,88,9,1,410,44,10,89,5,336
"E01006655",2011,"Liverpool 001C","Total",1272,21,5,78,71,14,2,368,40,10,150,7,506
"E01006656",2011,"Liverpool 002B","Total",1135,12,4,69,98,17,4,376,50,12,94,4,395
"E01006657",2011,"Liverpool 002C","Total",905,8,2,42,86,7,3,282,38,11,69,2,355
"E01006658",2011,"Liverpool 001D","Total",971,3,0,36,102,12,0,196,37,16,83,4,482
"E01006659",2011,"Liverpool 005B","Total",1476,15,5,11,87,13,1,264,33,23,111,8,905
"E01006660",2011,"Liverpool 001E","Total",1008,16,1,25,74,13,1,296,35,10,108,4,425
"E01006661",2011,"Liverpool 004A","Total",1176,6,1,8,134,6,0,268,47,4,64,7,631
"E01006662",2011,"Liverpool 004B","Total",1165,6,1,14,138,8,1,319,41,6,56,6,569
"E01006663",2011,"Liverpool 004C","Total",820,10,1,15,89,3,2,312,39,5,35,3,306
"E01006664",2011,"Liverpool 004D","Total",1264,9,3,12,152,13,8,344,52,12,54,4,601
"E01006665",2011,"Liverpool 007A","Total",1172,27,0,12,110,10,3,614,58,6,14,1,317
"E01006666",2011,"Liverpool 007B","Total",1107,24,0,11,116,10,2,580,48,8,16,4,288
"E01006667",2011,"Liverpool 007C","Total",1079,17,0,4,122,13,3,418,43,6,31,4,418
"E01006668",2011,"Liverpool 007D","Total",1118,28,0,14,107,8,2,612,47,6,18,5,271
"E01006669",2011,"Liverpool 004E","Total",1109,18,1,7,99,14,5,519,61,14,20,6,345
"E01006670",2011,"Liverpool 007E","Total",1150,21,0,6,122,6,3,522,73,9,22,5,361
"E01006671",2011,"Liverpool 013D","Total",1046,16,1,10,85,12,1,429,47,2,26,7,410
"E01006672",2011,"Liverpool 010E","Total",1353,19,0,9,179,13,3,354,52,16,55,2,651
"E01006673",2011,"Liverpool 037D","Total",1425,12,11,45,149,10,7,183,22,14,167,9,796
"E01006674",2011,"Liverpool 039C","Total",1277,13,0,11,134,9,6,160,13,7,83,5,836
"E01006675",2011,"Liverpool 043C","Total",1604,45,5,48,218,17,1,347,32,74,136,13,668
"E01006676",2011,"Liverpool 044D","Total",1208,16,1,16,162,17,2,167,32,6,94,5,690
"E01006677",2011,"Liverpool 043D","Total",704,10,2,10,89,6,4,83,10,4,53,3,430
"E01006678",2011,"Liverpool 044E","Total",1657,18,8,38,199,16,5,264,34,26,110,13,926
"E01006679",2011,"Liverpool 039D","Total",1460,7,1,20,114,6,0,179,23,11,104,8,987
"E01006680",2011,"Liverpool 053B","Total",1182,26,10,56,80,7,2,489,42,22,53,6,389
"E01006681",2011,"Liverpool 054D","Total",1176,22,3,56,90,8,4,427,39,14,40,3,470
"E01006682",2011,"Liverpool 053C","Total",963,34,5,59,33,8,2,428,48,16,29,4,297
"E01006683",2011,"Liverpool 053D","Total",1118,19,4,53,40,3,7,524,37,19,37,6,369
"E01006684",2011,"Liverpool 056B","Total",1629,53,24,157,78,13,6,741,49,25,41,6,436
"E01006685",2011,"Liverpool 056C","Total",1121,39,14,58,55,6,2,435,39,12,32,4,425
"E01006686",2011,"Liverpool 053E","Total",1060,25,9,57,69,4,6,415,28,15,43,3,386
"E01006687",2011,"Liverpool 056D","Total",1483,62,19,95,72,1,4,632,39,22,28,5,504
"E01006688",2011,"Liverpool 056E","Total",1174,39,14,94,85,8,3,423,30,21,45,4,408
"E01006689",2011,"Liverpool 049D","Total",1215,32,9,89,71,5,3,524,39,27,63,5,348
"E01006690",2011,"Liverpool 028A","Total",1227,18,1,19,198,8,1,215,37,18,103,2,607
"E01006691",2011,"Liverpool 030A","Total",1110,12,2,22,161,10,1,165,36,11,101,2,587
"E01006692",2011,"Liverpool 028B","Total",1644,15,6,18,244,12,4,338,47,27,113,4,816
"E01006693",2011,"Liverpool 024D","Total",1190,9,0,7,146,8,1,194,32,9,80,4,700
"E01006694",2011,"Liverpool 030B","Total",1392,10,4,25,287,8,6,208,41,12,112,2,677
"E01006695",2011,"Liverpool 028C","Total",1496,16,5,32,217,17,0,271,32,29,114,5,758
"E01006696",2011,"Liverpool 030C","Total",1286,5,3,25,193,15,3,222,34,7,115,8,656
"E01006697",2011,"Liverpool 030D","Total",1365,19,1,18,228,11,6,204,45,19,110,7,697
"E01006698",2011,"Liverpool 012D","Total",1244,13,4,53,170,12,2,335,60,6,93,2,494
"E01006699",2011,"Liverpool 014A","Total",1186,6,4,89,105,5,2,185,36,6,69,2,677
"E01006700",2011,"Liverpool 012E","Total",1085,9,1,32,152,15,2,192,47,11,70,8,546
"E01006701",2011,"Liverpool 014B","Total",1111,7,2,46,128,13,1,276,42,7,68,9,512
"E01006702",2011,"Liverpool 014C","Total",1179,3,5,55,164,7,1,198,33,8,67,1,637
"E01006703",2011,"Liverpool 014D","Total",1210,8,1,29,166,6,3,181,45,11,62,10,688
"E01006705",2011,"Liverpool 009E","Total",1106,13,1,20,186,19,0,277,48,7,59,5,471
"E01006706",2011,"Liverpool 045A","Total",1010,5,0,7,140,4,2,190,42,5,46,4,565
"E01006707",2011,"Liverpool 045B","Total",935,4,0,4,155,5,0,181,35,4,28,2,517
"E01006708",2011,"Liverpool 045C","Total",1257,11,1,14,162,8,3,411,46,7,65,10,519
"E01006709",2011,"Liverpool 040A","Total",1064,8,0,13,165,10,3,299,29,17,51,4,465
"E01006710",2011,"Liverpool 045D","Total",1139,7,1,13,177,7,5,355,48,9,41,5,471
"E01006711",2011,"Liverpool 027A","Total",1138,21,2,16,158,7,2,255,50,6,88,5,528
"E01006712",2011,"Liverpool 029D","Total",949,8,5,10,149,8,1,259,43,14,81,3,368
"E01006713",2011,"Liverpool 029E","Total",994,17,2,8,178,10,3,298,37,8,86,3,344
"E01006716",2011,"Liverpool 032E","Total",1117,13,3,31,129,12,4,302,38,11,95,5,474
"E01006717",2011,"Liverpool 027D","Total",1057,14,2,10,119,6,1,407,47,16,84,2,349
"E01006718",2011,"Liverpool 027E","Total",1207,16,0,12,170,8,8,346,54,9,83,11,490
"E01006719",2011,"Liverpool 027F","Total",1109,10,0,8,156,9,2,349,52,12,100,3,408
"E01006720",2011,"Liverpool 035A","Total",1604,14,4,31,266,11,1,275,27,23,116,3,833
"E01006721",2011,"Liverpool 038C","Total",1265,15,0,39,193,8,0,248,25,13,98,4,622
"E01006722",2011,"Liverpool 038D","Total",1541,28,2,37,234,4,5,239,37,42,96,5,812
"E01006723",2011,"Liverpool 038E","Total",1639,13,2,34,269,9,0,222,30,25,106,7,922
"E01006724",2011,"Liverpool 038F","Total",1610,15,4,24,225,19,2,256,22,26,80,2,935
"E01006725",2011,"Liverpool 035B","Total",1199,18,4,42,169,12,4,303,37,13,84,5,508
"E01006726",2011,"Liverpool 035C","Total",1262,10,1,34,214,17,2,239,27,23,118,1,576
"E01006727",2011,"Liverpool 035D","Total",1157,23,3,60,168,12,1,328,40,19,88,3,412
"E01006728",2011,"Liverpool 035E","Total",1229,9,2,29,198,3,1,239,28,11,98,9,602
"E01006729",2011,"Liverpool 008C","Total",923,5,0,9,141,9,3,200,39,11,53,3,450
"E01006730",2011,"Liverpool 011C","Total",943,5,1,4,148,6,2,217,33,3,41,1,482
"E01006731",2011,"Liverpool 011D","Total",859,4,1,2,109,16,1,195,31,11,51,5,433
"E01006732",2011,"Liverpool 011E","Total",1083,5,0,6,182,8,1,170,36,4,61,5,605
"E01006734",2011,"Liverpool 005C","Total",968,7,0,5,136,8,3,184,40,11,59,1,514
"E01006735",2011,"Liverpool 005D","Total",948,7,1,5,127,11,0,204,27,8,61,4,493
"E01006736",2011,"Liverpool 005E","Total",1073,10,0,7,133,6,1,294,42,16,58,2,504
"E01006737",2011,"Liverpool 005F","Total",1048,4,0,6,140,12,1,240,54,10,55,0,526
"E01006738",2011,"Liverpool 058A","Total",1078,8,2,25,101,9,3,227,71,25,97,3,507
"E01006739",2011,"Liverpool 058B","Total",1233,9,1,22,119,19,1,280,50,28,81,5,618
"E01006740",2011,"Liverpool 057A","Total",943,1,4,23,94,8,4,152,61,10,70,1,515
"E01006741",2011,"Liverpool 058C","Total",1335,8,1,20,133,13,6,312,45,21,108,6,662
"E01006742",2011,"Liverpool 057B","Total",1056,15,7,61,94,13,7,339,35,18,72,4,391
"E01006743",2011,"Liverpool 058D","Total",1619,15,5,88,176,19,3,513,72,24,128,3,573
"E01006744",2011,"Liverpool 057C","Total",1125,17,4,64,121,6,3,393,37,21,65,6,388
"E01006745",2011,"Liverpool 057D","Total",1422,23,7,92,191,11,3,376,35,21,110,5,548
"E01006746",2011,"Liverpool 030E","Total",1209,12,1,15,117,11,2,131,17,17,136,2,748
"E01006747",2011,"Liverpool 031B","Total",3367,16,6,53,157,37,0,240,71,16,419,9,2343
"E01006748",2011,"Liverpool 031C","Total",1701,8,4,34,137,15,1,167,38,17,220,3,1057
"E01006751",2011,"Liverpool 031F","Total",2116,13,4,38,147,10,2,184,26,13,199,4,1476
"E01006752",2011,"Liverpool 035F","Total",801,5,0,17,101,5,4,183,12,5,52,3,414
"E01006753",2011,"Liverpool 059A","Total",1090,2,2,9,129,10,3,222,37,13,102,1,560
"E01006754",2011,"Liverpool 059B","Total",1199,5,1,19,144,11,4,303,52,24,62,2,572
"E01006755",2011,"Liverpool 059C","Total",1082,5,0,10,131,8,1,208,35,12,77,4,591
"E01006756",2011,"Liverpool 059D","Total",1236,11,1,18,151,16,3,255,42,10,97,2,630
"E01006757",2011,"Liverpool 059E","Total",1027,9,1,14,123,7,2,218,21,15,74,1,542
"E01006758",2011,"Liverpool 059F","Total",1062,8,0,17,125,9,0,234,34,16,98,4,517
"E01006759",2011,"Liverpool 028D","Total",848,12,2,14,135,6,4,225,27,16,56,4,347
"E01006760",2011,"Liverpool 028E","Total",1365,20,2,22,203,8,4,278,48,17,79,4,680
"E01006761",2011,"Liverpool 020B","Total",1219,14,1,13,173,15,2,302,50,8,71,5,565
"E01006762",2011,"Liverpool 015E","Total",1231,6,3,7,175,10,1,328,52,9,54,7,579
"E01006763",2011,"Liverpool 020C","Total",1061,12,0,10,163,12,1,327,42,10,53,4,427
"E01006764",2011,"Liverpool 020D","Total",1153,8,2,9,183,5,4,284,58,15,65,1,519
"E01006765",2011,"Liverpool 020E","Total",1076,6,2,3,175,6,3,303,48,12,63,3,452
"E01006766",2011,"Liverpool 019E","Total",916,9,0,8,162,8,3,180,38,5,60,3,440
"E01006767",2011,"Liverpool 019F","Total",1316,12,0,7,220,20,5,345,51,20,64,4,568
"E01006768",2011,"Liverpool 020F","Total",1104,22,6,6,139,10,4,332,40,12,53,4,476
"E01006769",2011,"Liverpool 040B","Total",894,5,2,9,110,3,4,208,27,7,38,4,477
"E01006770",2011,"Liverpool 040C","Total",712,7,1,11,96,7,2,162,20,5,52,3,346
"E01006771",2011,"Liverpool 040D","Total",1049,6,1,10,124,6,5,236,29,6,66,0,560
"E01006772",2011,"Liverpool 040E","Total",820,14,1,8,85,8,2,251,29,10,48,1,363
"E01006773",2011,"Liverpool 036D","Total",1049,16,2,43,90,6,2,457,40,8,29,5,351
"E01006774",2011,"Liverpool 036E","Total",1082,8,1,25,97,13,3,504,39,15,30,2,345
"E01006775",2011,"Liverpool 040F","Total",986,7,0,8,138,6,2,187,26,9,53,0,550
"E01006776",2011,"Liverpool 022B","Total",1271,17,5,31,97,12,0,280,50,8,158,5,608
"E01006778",2011,"Liverpool 014E","Total",1758,9,10,132,164,15,6,284,62,17,111,5,943
"E01006779",2011,"Liverpool 022D","Total",1417,5,4,32,149,12,1,186,40,15,117,10,846
"E01006780",2011,"Liverpool 002D","Total",1085,16,9,78,81,15,2,377,50,12,78,6,361
"E01006781",2011,"Liverpool 003A","Total",1160,17,10,103,74,15,1,469,53,13,64,6,335
"E01006782",2011,"Liverpool 003B","Total",1189,13,14,119,86,12,1,361,34,15,105,4,425
"E01006783",2011,"Liverpool 002E","Total",1138,11,4,62,122,11,2,343,49,14,106,2,412
"E01006784",2011,"Liverpool 003C","Total",1028,15,9,123,78,14,2,347,44,17,69,5,305
"E01006785",2011,"Liverpool 003D","Total",1310,16,6,114,98,10,3,430,54,16,70,6,487
"E01006786",2011,"Liverpool 003E","Total",1337,12,5,133,72,9,6,509,77,15,79,5,415
"E01006787",2011,"Liverpool 006A","Total",1987,54,9,83,108,5,0,356,51,12,255,9,1045
"E01006788",2011,"Liverpool 006B","Total",1299,18,3,88,120,14,3,416,69,17,92,4,455
"E01006790",2011,"Liverpool 006C","Total",1183,12,0,34,154,7,0,239,51,11,77,4,594
"E01006791",2011,"Liverpool 006D","Total",1280,8,5,31,189,8,12,264,29,12,60,2,660
"E01006792",2011,"Liverpool 046A","Total",964,38,0,25,45,7,2,431,34,5,22,6,349
"E01006793",2011,"Liverpool 051A","Total",1070,32,3,41,97,3,1,394,32,7,34,1,425
"E01006794",2011,"Liverpool 046B","Total",1196,59,3,39,69,7,8,496,41,10,22,4,438
"E01006795",2011,"Liverpool 051B","Total",1052,32,5,48,65,6,5,473,33,18,38,3,326
"E01006796",2011,"Liverpool 047E","Total",1166,60,5,21,48,2,2,534,40,11,25,4,414
"E01006797",2011,"Liverpool 051C","Total",1099,16,3,32,109,5,9,366,39,10,45,5,460
"E01006798",2011,"Liverpool 051D","Total",1071,20,7,22,74,5,1,504,42,6,30,8,352
"E01006799",2011,"Liverpool 051E","Total",1294,35,0,31,101,7,3,422,32,12,56,3,592
"E01006800",2011,"Liverpool 046C","Total",1002,21,0,18,65,6,4,403,27,2,24,6,426
"E01006801",2011,"Liverpool 046D","Total",1000,35,0,21,66,10,2,458,31,6,27,0,344
"E01032505",2011,"Liverpool 050F","Total",999,23,6,44,87,6,8,285,32,12,69,3,424
"E01032506",2011,"Liverpool 050G","Total",1106,16,19,58,153,8,3,267,40,27,73,4,438
"E01032507",2011,"Liverpool 050H","Total",1285,32,35,137,148,12,4,372,40,42,63,4,396
