"lsoa11cd","date","lsoa11nm","Rural Urban","Industry: All categories: Industry; measures: Value","Industry: A Agriculture, forestry and fishing; measures: Value","Industry: B Mining and quarrying; measures: Value","Industry: C Manufacturing; measures: Value","Industry: C10-12 Manufacturing: Food, beverages and tobacco; measures: Value","Industry: C13-15 Manufacturing: Textiles, wearing apparel and leather and related products; measures: Value","Industry: C16,17 Manufacturing: Wood, paper and paper products; measures: Value","Industry: C19-22 Manufacturing: Chemicals, chemical products, rubber and plastic; measures: Value","Industry: C23-25 Manufacturing: Low tech; measures: Value","Industry: C26-30 Manufacturing: High tech; measures: Value","Industry: C18, 31, 32 Manufacturing: Other; measures: Value","Industry: D Electricity, gas, steam and air conditioning supply; measures: Value","Industry: E Water supply, sewerage, waste management and remediation activities; measures: Value","Industry: F Construction; measures: Value","Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Industry: H Transport and storage; measures: Value","Industry: I Accommodation and food service activities; measures: Value","Industry: J Information and communication; measures: Value","Industry: K Financial and insurance activities; measures: Value","Industry: L Real estate activities; measures: Value","Industry: M Professional, scientific and technical activities; measures: Value","Industry: N Administrative and support service activities; measures: Value","Industry: O Public administration and defence; compulsory social security; measures: Value","Industry: P Education; measures: Value","Industry: Q Human health and social work activities; measures: Value","Industry: R,S Arts, entertainment and recreation; other service activities; measures: Value","Industry: T Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use; measures: Value","Industry: U Activities of extraterritorial organisations and bodies; measures: Value"
"E01006534",2011,"Liverpool 054A","Total",709,0,0,57,5,1,0,11,6,22,12,6,4,34,115,53,58,19,23,3,33,36,44,79,110,35,0,0
"E01006535",2011,"Liverpool 054B","Total",739,0,0,51,7,0,2,14,3,19,6,3,3,39,127,43,36,27,28,8,35,23,68,87,125,36,0,0
"E01006536",2011,"Liverpool 054C","Total",775,0,1,47,7,0,0,3,12,16,9,2,3,52,149,70,38,10,15,12,20,41,59,86,137,33,0,0
"E01006537",2011,"Liverpool 055D","Total",1167,0,0,135,19,3,2,26,4,45,36,7,6,66,204,76,73,45,37,19,51,57,81,111,157,41,1,0
"E01006538",2011,"Liverpool 055E","Total",643,0,0,80,2,0,5,28,7,30,8,4,3,41,90,48,28,17,26,8,32,27,36,83,87,33,0,0
"E01006539",2011,"Liverpool 047B","Total",732,1,1,44,10,1,1,13,2,9,8,3,2,41,100,15,35,19,32,16,67,21,53,124,123,35,0,0
"E01006540",2011,"Liverpool 024A","Total",487,0,0,30,12,2,0,0,4,1,11,3,9,38,77,32,56,20,17,7,11,38,18,30,77,21,3,0
"E01006541",2011,"Liverpool 015A","Total",717,0,0,55,12,3,0,10,8,14,8,2,5,70,113,49,35,14,29,11,32,27,64,60,102,49,0,0
"E01006542",2011,"Liverpool 018A","Total",565,0,0,45,10,0,2,5,8,6,14,2,6,37,93,37,60,13,27,12,16,29,39,46,79,24,0,0
"E01006543",2011,"Liverpool 015B","Total",626,0,2,43,5,0,0,8,10,11,9,2,2,71,101,42,21,8,28,8,22,31,56,55,104,30,0,0
"E01006544",2011,"Liverpool 015C","Total",561,1,1,32,8,0,2,2,2,8,10,2,7,47,101,40,48,9,24,9,17,43,33,40,81,26,0,0
"E01006545",2011,"Liverpool 019A","Total",670,1,0,47,12,1,1,5,5,12,11,0,3,49,117,54,34,24,30,4,22,39,53,54,110,29,0,0
"E01006546",2011,"Liverpool 019B","Total",546,2,0,26,6,2,0,2,2,8,6,0,5,41,94,41,46,11,21,5,23,31,37,43,90,30,0,0
"E01006547",2011,"Liverpool 019C","Total",521,1,0,33,2,3,2,0,6,10,10,1,7,40,78,35,43,11,20,4,18,32,41,33,84,40,0,0
"E01006548",2011,"Liverpool 019D","Total",583,2,0,34,9,1,0,3,3,6,12,1,4,39,72,48,45,2,19,6,25,48,43,56,105,34,0,0
"E01006549",2011,"Liverpool 043B","Total",820,1,0,48,8,0,1,15,3,7,14,1,4,32,76,25,100,57,21,10,52,25,40,119,149,60,0,0
"E01006550",2011,"Liverpool 038A","Total",583,0,0,19,3,0,0,3,0,10,3,1,1,12,105,11,104,20,12,7,29,22,33,74,87,45,1,0
"E01006551",2011,"Liverpool 048E","Total",466,0,0,21,3,0,1,3,3,5,6,0,0,11,62,13,54,18,10,14,30,25,15,76,87,30,0,0
"E01006552",2011,"Liverpool 039A","Total",646,1,0,25,11,0,1,3,0,4,6,0,2,32,92,26,87,21,12,15,34,42,24,72,102,58,0,1
"E01006553",2011,"Liverpool 042A","Total",873,1,1,30,4,1,0,8,5,8,4,0,1,34,132,20,98,29,20,8,50,36,51,125,170,66,1,0
"E01006554",2011,"Liverpool 048F","Total",752,2,0,22,3,1,1,4,4,3,6,0,0,20,104,14,106,30,22,7,48,23,34,133,120,66,0,1
"E01006556",2011,"Liverpool 039B","Total",596,2,0,30,3,1,0,12,1,4,9,1,3,28,107,34,88,5,10,6,21,33,33,52,101,40,2,0
"E01006557",2011,"Liverpool 038B","Total",739,1,0,25,5,0,2,4,6,5,3,1,2,30,144,22,107,28,23,6,38,25,38,90,90,69,0,0
"E01006558",2011,"Liverpool 018B","Total",472,0,0,24,7,2,0,2,10,2,1,3,4,37,84,25,43,5,11,1,10,48,41,35,71,30,0,0
"E01006560",2011,"Liverpool 023A","Total",525,0,0,38,7,0,1,2,12,8,8,0,5,24,100,34,46,3,15,5,15,48,38,42,77,35,0,0
"E01006562",2011,"Liverpool 018E","Total",468,0,0,32,7,6,0,2,4,6,7,1,6,25,84,33,54,10,9,12,8,38,23,25,84,24,0,0
"E01006563",2011,"Liverpool 024B","Total",410,0,1,22,6,3,1,1,4,1,6,0,1,26,69,24,34,6,5,9,12,35,25,26,80,35,0,0
"E01006564",2011,"Liverpool 023B","Total",683,0,0,56,18,0,3,3,6,16,10,2,4,61,116,47,53,12,20,14,21,38,41,48,104,46,0,0
"E01006565",2011,"Liverpool 029A","Total",653,0,1,32,2,1,0,5,5,13,6,0,6,52,109,49,27,10,33,9,20,30,44,56,144,31,0,0
"E01006566",2011,"Liverpool 032A","Total",695,0,0,43,5,3,0,3,12,17,3,0,3,56,103,42,34,23,40,15,28,21,65,81,114,26,1,0
"E01006567",2011,"Liverpool 026A","Total",659,0,1,54,13,3,6,3,5,20,4,1,5,52,79,64,31,19,19,17,23,31,30,60,137,36,0,0
"E01006568",2011,"Liverpool 026B","Total",733,2,0,53,7,0,1,11,10,12,12,2,4,55,104,43,27,17,33,15,33,27,67,82,134,34,1,0
"E01006569",2011,"Liverpool 029B","Total",509,0,0,21,3,0,1,2,3,6,6,1,1,53,83,33,26,15,14,12,14,30,26,43,114,23,0,0
"E01006570",2011,"Liverpool 026C","Total",739,0,2,47,10,1,1,6,4,15,10,3,5,53,109,51,36,18,42,9,25,30,64,77,127,40,1,0
"E01006571",2011,"Liverpool 026D","Total",557,2,0,26,5,1,0,1,6,7,6,0,7,47,84,44,32,6,19,10,22,31,39,49,109,30,0,0
"E01006572",2011,"Liverpool 025A","Total",409,1,0,22,2,0,1,2,4,8,5,1,3,44,74,30,25,7,10,4,12,25,26,24,82,19,0,0
"E01006573",2011,"Liverpool 029C","Total",590,0,0,16,4,0,0,1,2,6,3,0,1,44,106,35,37,13,30,9,16,32,52,61,116,22,0,0
"E01006574",2011,"Liverpool 025B","Total",512,0,0,42,13,1,0,8,7,7,6,2,4,49,88,35,14,12,18,10,15,19,22,40,119,23,0,0
"E01006575",2011,"Liverpool 034A","Total",569,0,0,37,8,2,0,7,3,10,7,0,7,41,72,31,29,17,26,4,23,20,54,67,107,33,1,0
"E01006576",2011,"Liverpool 034B","Total",902,1,0,57,7,2,0,8,14,18,8,4,5,73,136,59,36,28,37,24,43,30,83,106,143,36,1,0
"E01006577",2011,"Liverpool 034C","Total",775,1,0,48,5,1,0,12,7,13,10,0,5,61,95,30,32,18,46,15,45,26,64,118,130,39,1,1
"E01006578",2011,"Liverpool 036A","Total",712,0,3,37,5,0,0,4,5,13,10,3,4,68,85,39,27,19,30,18,38,25,71,93,117,35,0,0
"E01006579",2011,"Liverpool 034D","Total",800,0,0,60,5,1,1,11,11,18,13,2,3,66,122,37,29,17,38,13,53,31,74,101,123,31,0,0
"E01006580",2011,"Liverpool 036B","Total",711,0,1,46,6,3,3,7,5,10,12,4,4,48,97,27,23,30,33,17,49,27,61,100,114,30,0,0
"E01006581",2011,"Liverpool 036C","Total",777,0,0,54,12,1,0,6,5,18,12,4,0,44,97,29,39,27,45,13,45,18,84,139,112,26,1,0
"E01006582",2011,"Liverpool 041A","Total",818,0,1,44,7,1,0,14,2,12,8,1,4,40,83,36,24,24,34,25,69,19,85,179,114,34,2,0
"E01006583",2011,"Liverpool 047C","Total",769,1,0,32,3,1,0,4,3,13,8,1,6,44,124,31,70,17,28,17,58,29,46,114,97,51,2,1
"E01006584",2011,"Liverpool 034E","Total",672,1,0,34,4,2,1,4,4,9,10,4,4,64,85,49,24,15,37,16,25,23,66,66,127,32,0,0
"E01006585",2011,"Liverpool 032B","Total",491,0,0,22,3,2,2,4,2,4,5,0,2,34,85,33,32,9,27,10,13,25,32,43,97,27,0,0
"E01006586",2011,"Liverpool 032C","Total",875,0,0,41,5,1,0,8,6,11,10,1,12,68,121,56,57,22,34,16,37,45,55,116,151,43,0,0
"E01006587",2011,"Liverpool 032D","Total",805,1,0,61,10,3,1,7,5,22,13,0,7,49,119,34,45,27,32,24,40,24,60,83,166,32,1,0
"E01006588",2011,"Liverpool 042C","Total",831,1,0,41,6,1,0,8,5,10,11,0,3,36,120,25,50,35,32,18,50,26,65,137,149,43,0,0
"E01006589",2011,"Liverpool 041B","Total",789,0,1,45,8,1,1,3,7,12,13,2,2,48,83,55,36,29,35,13,49,25,79,131,128,28,0,0
"E01006590",2011,"Liverpool 042D","Total",906,0,1,43,7,0,0,5,4,16,11,6,8,40,93,26,86,48,34,22,70,24,71,145,152,36,0,1
"E01006591",2011,"Liverpool 041C","Total",867,0,0,43,5,2,0,15,5,8,8,2,4,31,101,37,40,33,29,16,64,22,69,169,162,44,0,1
"E01006592",2011,"Liverpool 041D","Total",763,0,1,24,1,2,0,6,4,7,4,2,4,44,97,19,31,41,18,28,102,20,39,143,111,39,0,0
"E01006593",2011,"Liverpool 042E","Total",838,3,1,27,3,1,0,5,5,5,8,2,4,24,109,31,71,35,24,11,56,28,60,152,154,46,0,0
"E01006594",2011,"Liverpool 047D","Total",681,2,1,36,0,2,0,17,2,9,6,1,4,37,78,24,23,28,24,21,68,20,61,116,102,35,0,0
"E01006595",2011,"Liverpool 049B","Total",897,1,0,47,9,1,1,6,6,12,12,1,3,50,116,46,28,30,44,13,62,34,69,172,149,32,0,0
"E01006596",2011,"Liverpool 049C","Total",759,1,0,44,3,3,1,8,9,12,8,4,4,31,89,28,28,20,16,14,47,37,70,155,136,35,0,0
"E01006597",2011,"Liverpool 041E","Total",837,0,1,29,5,0,1,5,1,7,10,4,2,39,101,22,41,27,27,25,69,25,58,168,160,38,1,0
"E01006598",2011,"Liverpool 010A","Total",369,1,0,30,10,4,0,4,2,5,5,1,1,25,57,24,18,5,5,7,10,28,24,36,79,18,0,0
"E01006599",2011,"Liverpool 010B","Total",362,0,0,14,5,0,0,1,2,3,3,0,4,27,64,26,38,5,8,6,11,21,25,30,64,19,0,0
"E01006600",2011,"Liverpool 011A","Total",569,1,1,36,17,1,1,1,1,7,8,0,7,57,88,33,33,11,11,9,20,46,29,45,109,31,2,0
"E01006603",2011,"Liverpool 011B","Total",526,0,0,43,12,0,1,2,7,13,8,3,4,29,99,34,36,5,13,6,15,32,32,41,104,30,0,0
"E01006604",2011,"Liverpool 016A","Total",583,0,1,45,9,1,1,3,3,20,8,1,7,54,110,36,20,10,18,12,13,28,49,43,114,22,0,0
"E01006605",2011,"Liverpool 016B","Total",586,0,0,45,11,2,0,2,6,13,11,2,6,70,86,38,37,15,17,8,18,33,36,55,92,27,1,0
"E01006606",2011,"Liverpool 020A","Total",670,1,0,56,11,1,3,5,12,15,9,2,6,42,115,60,43,18,28,11,21,31,58,50,100,28,0,0
"E01006607",2011,"Liverpool 008A","Total",578,1,0,50,14,2,1,5,6,14,8,0,3,57,94,48,32,6,16,4,12,41,38,45,99,32,0,0
"E01006608",2011,"Liverpool 009A","Total",559,0,0,28,5,1,0,2,2,10,8,1,1,51,91,46,34,10,26,11,29,26,52,36,87,30,0,0
"E01006609",2011,"Liverpool 009B","Total",553,0,0,42,10,4,0,1,7,12,8,1,5,48,83,38,39,12,22,8,17,35,57,35,75,36,0,0
"E01006610",2011,"Liverpool 009C","Total",545,0,0,39,7,4,1,1,9,9,8,3,7,30,82,37,36,25,17,10,19,31,42,35,94,38,0,0
"E01006611",2011,"Liverpool 012A","Total",473,0,0,35,15,3,1,4,3,6,3,0,5,39,78,30,39,8,17,4,19,38,33,28,69,31,0,0
"E01006612",2011,"Liverpool 008B","Total",536,0,0,49,7,2,1,7,10,11,11,1,6,44,104,30,42,4,22,6,19,35,35,31,86,22,0,0
"E01006613",2011,"Liverpool 009D","Total",491,0,0,24,3,1,1,3,3,9,4,2,5,54,76,44,22,16,21,3,9,21,37,40,91,26,0,0
"E01006614",2011,"Liverpool 012B","Total",551,1,0,39,8,2,0,8,5,9,7,1,8,44,107,44,42,8,25,6,13,27,39,25,85,37,0,0
"E01006615",2011,"Liverpool 012C","Total",562,0,0,26,10,1,2,2,3,4,4,1,6,36,108,34,39,3,20,7,19,40,52,41,94,36,0,0
"E01006616",2011,"Liverpool 015D","Total",588,0,1,56,11,4,6,9,4,11,11,2,4,43,89,46,33,7,28,6,20,28,44,45,104,32,0,0
"E01006617",2011,"Liverpool 021A","Total",768,0,1,42,10,0,1,8,6,11,6,2,3,63,101,34,35,28,38,18,43,24,67,82,145,42,0,0
"E01006618",2011,"Liverpool 016C","Total",667,1,1,40,4,1,2,8,5,10,10,4,7,75,111,47,30,11,29,18,17,36,50,49,115,26,0,0
"E01006619",2011,"Liverpool 021B","Total",767,0,0,35,5,0,1,3,2,17,7,0,1,80,109,36,25,24,38,7,33,30,73,100,136,40,0,0
"E01006620",2011,"Liverpool 021C","Total",618,0,0,47,6,0,3,6,12,10,10,2,1,53,81,32,21,21,37,16,21,19,64,62,115,25,1,0
"E01006621",2011,"Liverpool 021D","Total",692,2,0,42,3,0,3,2,8,16,10,2,6,69,105,23,25,10,27,24,42,26,54,93,109,33,0,0
"E01006622",2011,"Liverpool 021E","Total",772,1,0,50,7,0,6,6,9,13,9,2,4,80,100,45,26,19,38,24,36,29,78,98,107,35,0,0
"E01006623",2011,"Liverpool 013A","Total",779,3,0,72,16,3,1,8,4,29,11,2,6,62,106,44,45,23,28,10,40,29,59,73,135,42,0,0
"E01006624",2011,"Liverpool 013B","Total",667,1,0,36,3,4,0,3,5,13,8,4,0,67,115,41,44,13,18,13,30,39,43,62,110,31,0,0
"E01006625",2011,"Liverpool 016D","Total",660,0,2,49,6,1,1,6,5,17,13,3,6,47,103,38,29,20,29,8,27,26,68,75,100,30,0,0
"E01006626",2011,"Liverpool 016E","Total",710,0,1,58,8,1,1,10,6,22,10,2,7,56,86,37,39,22,38,14,36,30,48,83,109,43,1,0
"E01006627",2011,"Liverpool 013C","Total",683,2,0,50,13,1,0,6,7,7,16,3,3,60,102,35,44,11,36,9,23,31,72,68,113,21,0,0
"E01006628",2011,"Liverpool 052D","Total",874,0,1,36,3,0,0,7,3,9,14,3,5,32,120,20,77,35,24,32,75,25,49,141,152,46,1,0
"E01006629",2011,"Liverpool 052E","Total",621,0,2,35,6,1,1,6,4,11,6,3,3,32,97,34,33,20,20,13,35,18,56,83,111,26,0,0
"E01006630",2011,"Liverpool 044B","Total",406,0,0,31,8,2,2,3,2,6,8,0,5,27,61,24,59,4,7,4,9,33,16,38,71,17,0,0
"E01006632",2011,"Liverpool 044C","Total",670,1,0,45,7,0,1,5,4,16,12,3,3,47,108,47,77,9,20,11,26,47,38,59,97,32,0,0
"E01006633",2011,"Liverpool 050B","Total",412,0,0,38,9,1,2,5,3,10,8,1,5,28,69,26,43,6,11,4,14,34,29,31,55,18,0,0
"E01006637",2011,"Liverpool 017A","Total",552,0,0,37,9,4,2,4,5,8,5,0,5,41,117,34,38,7,11,8,11,29,22,46,125,21,0,0
"E01006638",2011,"Liverpool 017B","Total",371,0,0,25,4,1,0,2,3,6,9,4,0,23,63,20,30,4,6,11,9,26,18,28,80,24,0,0
"E01006639",2011,"Liverpool 017C","Total",705,0,0,48,8,1,1,4,13,9,12,4,4,70,87,59,35,25,36,9,23,33,51,57,135,29,0,0
"E01006640",2011,"Liverpool 021F","Total",870,0,0,52,8,1,0,5,8,15,15,5,5,90,119,37,53,21,46,18,48,37,59,95,151,34,0,0
"E01006641",2011,"Liverpool 025C","Total",899,1,0,54,9,3,0,11,5,15,11,5,7,58,122,61,41,29,32,16,32,56,67,73,212,33,0,0
"E01006642",2011,"Liverpool 025D","Total",442,0,0,32,5,2,1,2,1,10,11,0,3,28,69,36,47,4,7,6,11,35,20,28,99,17,0,0
"E01006643",2011,"Liverpool 025E","Total",674,0,0,57,11,2,1,5,11,18,9,3,6,57,110,57,27,12,17,4,26,47,41,44,139,27,0,0
"E01006644",2011,"Liverpool 017D","Total",850,0,0,64,8,1,2,13,11,10,19,4,2,61,130,55,37,21,30,10,45,41,54,90,160,45,1,0
"E01006645",2011,"Liverpool 017E","Total",435,0,0,42,9,1,1,4,9,6,12,0,4,43,60,34,28,4,12,7,6,42,17,34,78,24,0,0
"E01006646",2011,"Liverpool 023C","Total",757,0,0,40,7,3,2,5,8,7,8,1,10,32,106,42,70,21,33,13,36,55,39,88,130,41,0,0
"E01006647",2011,"Liverpool 024C","Total",337,0,0,16,7,0,1,1,1,2,4,0,4,17,45,17,33,6,11,3,8,35,23,32,67,20,0,0
"E01006648",2011,"Liverpool 023D","Total",933,1,1,47,12,2,4,4,2,10,13,1,4,57,161,50,104,36,34,19,62,57,49,75,120,55,0,0
"E01006651",2011,"Liverpool 001A","Total",920,0,2,73,11,2,2,5,11,20,22,4,7,84,127,66,38,26,58,12,45,37,82,66,160,33,0,0
"E01006652",2011,"Liverpool 002A","Total",733,1,0,58,23,0,3,5,8,9,10,4,1,58,114,38,36,16,34,4,20,43,60,68,138,40,0,0
"E01006653",2011,"Liverpool 001B","Total",620,1,0,54,15,1,0,10,7,9,12,2,11,59,97,43,28,12,26,6,15,23,34,46,125,38,0,0
"E01006654",2011,"Liverpool 005A","Total",744,0,0,67,18,2,0,5,8,23,11,5,1,60,115,58,37,19,26,13,16,39,62,46,133,47,0,0
"E01006655",2011,"Liverpool 001C","Total",766,0,0,39,7,0,1,5,5,11,10,2,5,70,97,39,54,12,27,12,31,41,57,47,197,35,0,1
"E01006656",2011,"Liverpool 002B","Total",740,1,0,53,14,3,0,2,10,8,16,1,7,63,101,53,28,10,41,5,21,44,79,66,117,50,0,0
"E01006657",2011,"Liverpool 002C","Total",550,0,1,36,10,0,3,6,5,5,7,2,7,36,98,27,22,5,18,11,22,37,59,51,97,21,0,0
"E01006658",2011,"Liverpool 001D","Total",489,0,1,30,8,1,1,5,3,10,2,1,10,37,74,28,33,2,16,3,12,47,25,29,121,20,0,0
"E01006659",2011,"Liverpool 005B","Total",571,0,0,34,8,2,0,8,2,4,10,0,4,74,82,43,33,5,18,9,9,42,77,27,90,24,0,0
"E01006660",2011,"Liverpool 001E","Total",583,2,0,45,12,0,0,7,3,15,8,0,4,38,75,49,36,11,16,1,13,41,33,36,162,21,0,0
"E01006661",2011,"Liverpool 004A","Total",545,0,0,58,10,2,2,4,11,22,7,2,2,50,99,41,24,8,19,3,8,30,31,49,97,24,0,0
"E01006662",2011,"Liverpool 004B","Total",596,0,1,42,19,5,0,2,0,10,6,2,3,47,80,54,32,6,20,13,19,47,42,44,119,25,0,0
"E01006663",2011,"Liverpool 004C","Total",514,0,1,39,15,0,0,2,4,11,7,4,3,46,73,39,24,12,23,7,22,29,35,38,91,28,0,0
"E01006664",2011,"Liverpool 004D","Total",663,2,0,63,19,0,3,3,9,16,13,2,4,46,102,51,40,7,27,13,20,52,42,39,129,24,0,0
"E01006665",2011,"Liverpool 007A","Total",855,1,1,54,8,4,1,4,9,16,12,2,8,76,124,51,37,24,35,10,49,39,83,71,159,31,0,0
"E01006666",2011,"Liverpool 007B","Total",819,1,1,65,16,0,0,9,9,11,20,5,1,73,118,53,45,23,32,8,33,34,75,69,145,37,1,0
"E01006667",2011,"Liverpool 007C","Total",661,1,1,40,7,2,0,5,5,11,10,4,8,66,88,48,40,12,28,20,19,38,42,57,120,29,0,0
"E01006668",2011,"Liverpool 007D","Total",847,2,0,44,9,1,1,7,6,11,9,4,3,78,106,57,33,23,52,13,43,28,98,84,144,34,1,0
"E01006669",2011,"Liverpool 004E","Total",764,0,0,53,10,2,1,3,8,13,16,4,5,72,131,43,38,27,41,13,36,26,64,67,115,29,0,0
"E01006670",2011,"Liverpool 007E","Total",789,0,2,70,9,1,3,5,11,25,16,2,8,61,97,63,38,19,48,12,36,23,73,85,116,36,0,0
"E01006671",2011,"Liverpool 013D","Total",636,0,3,61,6,2,3,5,6,17,22,1,7,53,87,34,56,14,22,13,17,22,48,61,104,32,1,0
"E01006672",2011,"Liverpool 010E","Total",702,1,0,59,12,0,1,3,5,19,19,1,6,50,108,53,37,20,19,14,20,54,51,53,119,36,1,0
"E01006673",2011,"Liverpool 037D","Total",629,0,0,16,4,1,0,4,2,1,4,1,3,18,68,24,92,29,12,22,39,45,37,55,126,42,0,0
"E01006674",2011,"Liverpool 039C","Total",441,0,0,11,5,2,0,1,1,1,1,2,0,7,75,24,65,10,7,14,18,38,27,51,72,18,2,0
"E01006675",2011,"Liverpool 043C","Total",936,1,0,38,13,3,2,2,7,5,6,1,1,19,130,26,114,47,11,25,58,30,34,164,148,88,1,0
"E01006676",2011,"Liverpool 044D","Total",518,0,0,26,2,2,4,4,1,6,7,0,1,18,80,21,91,10,5,3,23,56,26,42,84,32,0,0
"E01006677",2011,"Liverpool 043D","Total",274,0,0,13,7,0,0,1,1,2,2,0,0,13,47,18,41,7,4,4,12,26,11,20,45,13,0,0
"E01006678",2011,"Liverpool 044E","Total",731,0,0,37,1,6,0,0,7,11,12,3,3,51,101,42,57,13,18,16,24,42,50,122,120,30,2,0
"E01006679",2011,"Liverpool 039D","Total",473,0,0,16,5,2,0,0,0,3,6,1,3,14,76,21,61,13,11,14,14,27,23,58,93,28,0,0
"E01006680",2011,"Liverpool 053B","Total",793,1,1,48,3,1,0,8,8,15,13,8,0,48,100,40,45,26,27,15,55,19,83,123,116,36,1,1
"E01006681",2011,"Liverpool 054D","Total",706,0,1,38,3,1,0,11,2,13,8,0,3,43,113,32,47,20,23,8,44,28,70,95,122,18,1,0
"E01006682",2011,"Liverpool 053C","Total",666,0,0,40,5,1,1,6,6,12,9,6,2,36,75,27,36,26,29,14,68,12,71,122,75,27,0,0
"E01006683",2011,"Liverpool 053D","Total",749,0,1,42,0,0,1,8,5,22,6,7,3,47,86,41,25,25,31,10,41,23,78,135,128,26,0,0
"E01006684",2011,"Liverpool 056B","Total",1193,0,1,76,9,2,2,20,5,18,20,4,2,60,126,49,58,42,50,22,118,32,124,194,180,55,0,0
