"lsoa11cd","date","lsoa11nm","Rural Urban","Qualification: All categories: Highest level of qualification; measures: Value","Qualification: No qualifications; measures: Value","Qualification: Level 1 qualifications; measures: Value","Qualification: Level 2 qualifications; measures: Value","Qualification: Apprenticeship; measures: Value","Qualification: Level 3 qualifications; measures: Value","Qualification: Level 4 qualifications and above; measures: Value","Qualification: Other qualifications; measures: Value"
"E01006632",2011,"Liverpool 044C","Total",1465,592,216,207,29,183,169,69
"E01006633",2011,"Liverpool 050B","Total",1151,592,149,144,24,90,109,43
"E01006637",2011,"Liverpool 017A","Total",1161,419,169,199,29,117,157,71
"E01006638",2011,"Liverpool 017B","Total",934,411,138,153,21,83,88,40
"E01006639",2011,"Liverpool 017C","Total",1177,328,198,189,32,158,225,47
"E01006640",2011,"Liverpool 021F","Total",1496,367,195,256,73,184,373,48
"E01006641",2011,"Liverpool 025C","Total",1267,288,169,200,26,175,346,63
"E01006642",2011,"Liverpool 025D","Total",1014,468,160,157,26,95,80,28
"E01006643",2011,"Liverpool 025E","Total",1357,484,244,235,23,127,186,58
"E01006644",2011,"Liverpool 017D","Total",1643,575,257,260,41,200,246,64
"E01006645",2011,"Liverpool 017E","Total",1161,554,168,155,35,112,108,29
"E01006646",2011,"Liverpool 023C","Total",1633,600,178,178,21,179,397,80
"E01006647",2011,"Liverpool 024C","Total",1071,569,155,143,18,69,77,40
"E01006648",2011,"Liverpool 023D","Total",1895,659,184,218,31,263,460,80
"E01006651",2011,"Liverpool 001A","Total",1248,187,187,268,43,218,300,45
"E01006652",2011,"Liverpool 002A","Total",1211,321,234,194,55,142,234,31
"E01006653",2011,"Liverpool 001B","Total",1211,438,185,155,48,165,182,38
"E01006654",2011,"Liverpool 005A","Total",1236,401,183,213,42,166,196,35
"E01006655",2011,"Liverpool 001C","Total",1410,456,196,231,49,148,282,48
"E01006656",2011,"Liverpool 002B","Total",1221,304,195,237,58,163,240,24
"E01006657",2011,"Liverpool 002C","Total",978,297,158,179,37,135,146,26
"E01006658",2011,"Liverpool 001D","Total",1067,463,158,163,32,116,92,43
"E01006659",2011,"Liverpool 005B","Total",1574,570,307,253,50,135,175,84
"E01006660",2011,"Liverpool 001E","Total",1136,440,144,188,30,127,151,56
"E01006661",2011,"Liverpool 004A","Total",1350,644,199,194,32,128,112,41
"E01006662",2011,"Liverpool 004B","Total",1439,658,165,205,25,122,194,70
"E01006663",2011,"Liverpool 004C","Total",896,311,145,148,28,110,129,25
"E01006664",2011,"Liverpool 004D","Total",1406,576,205,233,31,132,166,63
"E01006665",2011,"Liverpool 007A","Total",1219,256,204,222,44,162,299,32
"E01006666",2011,"Liverpool 007B","Total",1156,167,182,257,50,172,286,42
"E01006667",2011,"Liverpool 007C","Total",1205,402,169,190,45,151,203,45
"E01006668",2011,"Liverpool 007D","Total",1163,197,181,226,46,166,308,39
"E01006669",2011,"Liverpool 004E","Total",1142,236,181,210,40,179,245,51
"E01006670",2011,"Liverpool 007E","Total",1210,260,181,199,56,178,279,57
"E01006671",2011,"Liverpool 013D","Total",1105,328,172,177,39,108,235,46
"E01006672",2011,"Liverpool 010E","Total",1445,549,241,238,30,137,169,81
"E01006673",2011,"Liverpool 037D","Total",1511,484,157,168,23,194,376,109
"E01006674",2011,"Liverpool 039C","Total",1355,551,173,163,14,96,236,122
"E01006675",2011,"Liverpool 043C","Total",1702,383,126,151,6,183,756,97
"E01006676",2011,"Liverpool 044D","Total",1283,503,178,153,12,143,200,94
"E01006677",2011,"Liverpool 043D","Total",753,346,91,101,8,67,103,37
"E01006678",2011,"Liverpool 044E","Total",1774,698,209,239,24,230,296,78
"E01006679",2011,"Liverpool 039D","Total",1578,622,227,167,20,124,284,134
"E01006680",2011,"Liverpool 053B","Total",1310,202,177,197,54,174,464,42
"E01006681",2011,"Liverpool 054D","Total",1342,333,169,218,45,162,370,45
"E01006682",2011,"Liverpool 053C","Total",1068,143,128,161,34,122,448,32
"E01006683",2011,"Liverpool 053D","Total",1254,203,153,191,50,162,454,41
"E01006684",2011,"Liverpool 056B","Total",1796,219,184,235,44,209,860,45
"E01006685",2011,"Liverpool 056C","Total",1264,233,120,161,47,182,491,30
"E01006686",2011,"Liverpool 053E","Total",1196,218,159,191,49,163,374,42
"E01006687",2011,"Liverpool 056D","Total",1669,318,117,187,32,161,811,43
"E01006688",2011,"Liverpool 056E","Total",1286,273,143,189,44,130,457,50
"E01006689",2011,"Liverpool 049D","Total",1365,237,153,207,54,176,499,39
"E01006690",2011,"Liverpool 028A","Total",1295,404,166,147,33,194,258,93
"E01006691",2011,"Liverpool 030A","Total",1163,363,166,151,19,127,203,134
"E01006692",2011,"Liverpool 028B","Total",1748,557,255,247,33,185,350,121
"E01006693",2011,"Liverpool 024D","Total",1337,682,144,166,60,100,123,62
"E01006694",2011,"Liverpool 030B","Total",1481,489,197,237,25,146,276,111
"E01006695",2011,"Liverpool 028C","Total",1549,410,203,256,42,179,325,134
"E01006696",2011,"Liverpool 030C","Total",1372,489,162,191,27,153,247,103
"E01006697",2011,"Liverpool 030D","Total",1457,491,203,197,38,176,225,127
"E01006698",2011,"Liverpool 012D","Total",1324,449,233,215,43,184,161,39
"E01006699",2011,"Liverpool 014A","Total",1275,613,173,186,26,122,92,63
"E01006700",2011,"Liverpool 012E","Total",1177,492,187,166,31,137,120,44
"E01006701",2011,"Liverpool 014B","Total",1174,451,168,186,43,152,123,51
"E01006702",2011,"Liverpool 014C","Total",1277,580,167,190,28,140,111,61
"E01006703",2011,"Liverpool 014D","Total",1319,650,185,172,31,128,100,53
"E01006705",2011,"Liverpool 009E","Total",1157,349,186,222,29,176,145,50
"E01006706",2011,"Liverpool 045A","Total",1086,534,159,149,28,105,72,39
"E01006707",2011,"Liverpool 045B","Total",1067,559,136,149,23,95,61,44
"E01006708",2011,"Liverpool 045C","Total",1431,536,212,213,42,197,193,38
"E01006709",2011,"Liverpool 040A","Total",1211,470,172,188,32,143,168,38
"E01006710",2011,"Liverpool 045D","Total",1191,391,199,247,41,150,110,53
"E01006711",2011,"Liverpool 027A","Total",1225,367,193,230,32,156,214,33
"E01006712",2011,"Liverpool 029D","Total",1045,313,176,178,30,123,198,27
"E01006713",2011,"Liverpool 029E","Total",1113,324,206,181,36,127,204,35
"E01006716",2011,"Liverpool 032E","Total",1263,489,169,191,34,131,205,44
"E01006717",2011,"Liverpool 027D","Total",1173,270,171,221,64,151,246,50
"E01006718",2011,"Liverpool 027E","Total",1296,369,186,216,38,175,261,51
"E01006719",2011,"Liverpool 027F","Total",1209,328,189,221,43,192,191,45
"E01006720",2011,"Liverpool 035A","Total",1663,453,158,176,21,349,378,128
"E01006721",2011,"Liverpool 038C","Total",1376,429,138,163,25,244,298,79
"E01006722",2011,"Liverpool 038D","Total",1591,225,88,138,15,694,357,74
"E01006723",2011,"Liverpool 038E","Total",1701,299,106,178,11,644,389,74
"E01006724",2011,"Liverpool 038F","Total",1671,183,91,118,16,830,382,51
"E01006725",2011,"Liverpool 035B","Total",1284,377,146,176,39,213,281,52
"E01006726",2011,"Liverpool 035C","Total",1325,281,132,150,14,354,342,52
"E01006727",2011,"Liverpool 035D","Total",1215,286,150,156,30,198,342,53
"E01006728",2011,"Liverpool 035E","Total",1328,437,179,170,13,228,258,43
"E01006729",2011,"Liverpool 008C","Total",1018,407,173,183,34,99,76,46
"E01006730",2011,"Liverpool 011C","Total",1048,448,163,179,29,102,100,27
"E01006731",2011,"Liverpool 011D","Total",940,392,128,171,26,95,105,23
"E01006732",2011,"Liverpool 011E","Total",1177,511,196,220,26,116,81,27
"E01006734",2011,"Liverpool 005C","Total",1058,419,153,182,29,127,94,54
"E01006735",2011,"Liverpool 005D","Total",1030,456,162,156,18,96,113,29
"E01006736",2011,"Liverpool 005E","Total",1167,456,197,185,28,105,146,50
"E01006737",2011,"Liverpool 005F","Total",1152,466,173,231,24,118,103,37
"E01006738",2011,"Liverpool 058A","Total",1183,489,212,190,35,114,103,40
"E01006739",2011,"Liverpool 058B","Total",1342,544,239,223,36,125,112,63
"E01006740",2011,"Liverpool 057A","Total",1018,440,170,136,13,69,106,84
"E01006741",2011,"Liverpool 058C","Total",1470,633,250,235,36,162,93,61
"E01006742",2011,"Liverpool 057B","Total",1152,346,171,197,31,128,231,48
"E01006743",2011,"Liverpool 058D","Total",1727,499,274,281,62,203,329,79
"E01006744",2011,"Liverpool 057C","Total",1209,323,182,180,27,144,301,52
"E01006745",2011,"Liverpool 057D","Total",1520,390,214,259,31,211,324,91
"E01006746",2011,"Liverpool 030E","Total",1317,487,145,130,22,257,196,80
"E01006747",2011,"Liverpool 031B","Total",3422,399,141,365,16,1503,665,333
"E01006748",2011,"Liverpool 031C","Total",1768,336,123,121,21,661,381,125
"E01006751",2011,"Liverpool 031F","Total",2214,613,189,191,21,503,446,251
"E01006752",2011,"Liverpool 035F","Total",839,263,103,107,12,106,178,70
"E01006753",2011,"Liverpool 059A","Total",1184,505,223,203,31,103,91,28
"E01006754",2011,"Liverpool 059B","Total",1317,540,217,204,34,123,96,103
"E01006755",2011,"Liverpool 059C","Total",1201,558,200,167,17,105,101,53
"E01006756",2011,"Liverpool 059D","Total",1348,546,221,231,33,139,106,72
"E01006757",2011,"Liverpool 059E","Total",1095,424,202,177,34,115,96,47
"E01006758",2011,"Liverpool 059F","Total",1157,481,181,215,22,107,104,47
"E01006759",2011,"Liverpool 028D","Total",902,237,152,135,24,116,193,45
"E01006760",2011,"Liverpool 028E","Total",1426,460,195,201,22,191,273,84
"E01006761",2011,"Liverpool 020B","Total",1374,481,251,199,34,143,216,50
"E01006762",2011,"Liverpool 015E","Total",1345,541,220,201,54,133,141,55
"E01006763",2011,"Liverpool 020C","Total",1159,346,200,213,45,124,193,38
"E01006764",2011,"Liverpool 020D","Total",1214,342,192,223,32,151,209,65
"E01006765",2011,"Liverpool 020E","Total",1192,363,174,239,38,153,175,50
"E01006766",2011,"Liverpool 019E","Total",969,363,164,137,19,129,110,47
"E01006767",2011,"Liverpool 019F","Total",1388,368,228,236,32,210,260,54
"E01006768",2011,"Liverpool 020F","Total",1159,306,138,199,32,159,265,60
"E01006769",2011,"Liverpool 040B","Total",1059,510,115,170,35,95,98,36
"E01006770",2011,"Liverpool 040C","Total",808,322,131,114,37,74,85,45
"E01006771",2011,"Liverpool 040D","Total",1172,538,174,181,25,117,96,41
"E01006772",2011,"Liverpool 040E","Total",918,318,126,141,25,119,143,46
"E01006773",2011,"Liverpool 036D","Total",1138,250,154,176,53,154,304,47
"E01006774",2011,"Liverpool 036E","Total",1170,206,170,191,40,181,340,42
"E01006775",2011,"Liverpool 040F","Total",1092,553,135,169,25,100,85,25
"E01006776",2011,"Liverpool 022B","Total",1433,626,172,168,33,132,245,57
"E01006778",2011,"Liverpool 014E","Total",1864,805,255,257,38,193,239,77
"E01006779",2011,"Liverpool 022D","Total",1591,833,207,195,29,123,132,72
"E01006780",2011,"Liverpool 002D","Total",1196,309,245,202,34,155,213,38
"E01006781",2011,"Liverpool 003A","Total",1223,284,216,215,47,171,256,34
"E01006782",2011,"Liverpool 003B","Total",1280,332,217,225,42,200,224,40
"E01006783",2011,"Liverpool 002E","Total",1213,336,186,223,30,166,223,49
"E01006784",2011,"Liverpool 003C","Total",1088,224,165,233,34,186,213,33
"E01006785",2011,"Liverpool 003D","Total",1438,374,239,252,47,189,288,49
"E01006786",2011,"Liverpool 003E","Total",1458,347,269,243,68,193,292,46
"E01006787",2011,"Liverpool 006A","Total",2036,678,325,353,48,246,257,129
"E01006788",2011,"Liverpool 006B","Total",1404,371,207,277,61,185,247,56
"E01006790",2011,"Liverpool 006C","Total",1276,492,168,238,38,150,148,42
"E01006791",2011,"Liverpool 006D","Total",1411,620,171,212,40,137,151,80
"E01006792",2011,"Liverpool 046A","Total",1153,164,118,168,46,114,512,31
"E01006793",2011,"Liverpool 051A","Total",1253,288,129,179,39,155,418,45
"E01006794",2011,"Liverpool 046B","Total",1349,252,131,197,53,146,533,37
"E01006795",2011,"Liverpool 051B","Total",1183,188,124,159,45,145,494,28
"E01006796",2011,"Liverpool 047E","Total",1304,158,129,185,25,124,644,39
"E01006797",2011,"Liverpool 051C","Total",1247,390,188,181,39,162,250,37
"E01006798",2011,"Liverpool 051D","Total",1215,218,144,193,46,147,422,45
"E01006799",2011,"Liverpool 051E","Total",1660,671,150,171,56,139,415,58
"E01006800",2011,"Liverpool 046C","Total",1246,301,136,182,73,146,351,57
"E01006801",2011,"Liverpool 046D","Total",1202,304,160,157,63,154,315,49
"E01032505",2011,"Liverpool 050F","Total",1087,315,153,158,30,132,247,52
"E01032506",2011,"Liverpool 050G","Total",1217,378,138,127,27,150,345,52
"E01032507",2011,"Liverpool 050H","Total",1339,264,124,176,31,187,521,36
"E01032508",2011,"Liverpool 027G","Total",1408,567,209,201,26,160,190,55
"E01032509",2011,"Liverpool 027H","Total",1139,391,161,192,21,146,180,48
"E01032510",2011,"Liverpool 008F","Total",1461,448,239,249,44,193,240,48
"E01032511",2011,"Liverpool 008G","Total",1144,405,196,151,50,115,178,49
"E01033747",2011,"Liverpool 018F","Total",822,428,110,114,14,65,60,31
"E01033748",2011,"Liverpool 050I","Total",1188,100,106,110,22,186,629,35
"E01033749",2011,"Liverpool 042F","Total",1120,32,21,68,1,835,129,34
"E01033750",2011,"Liverpool 061A","Total",1373,82,68,104,22,205,814,78
"E01033751",2011,"Liverpool 062A","Total",1776,215,85,195,18,705,468,90
"E01033752",2011,"Liverpool 062B","Total",1161,38,47,105,8,195,697,71
"E01033753",2011,"Liverpool 062C","Total",1023,29,73,93,6,153,606,63
"E01033754",2011,"Liverpool 061B","Total",1363,216,105,114,22,233,614,59
"E01033755",2011,"Liverpool 062D","Total",1048,34,44,83,4,194,616,73
"E01033756",2011,"Liverpool 061C","Total",1147,55,71,106,14,227,593,81
"E01033757",2011,"Liverpool 037E","Total",971,114,51,70,9,322,302,103
"E01033758",2011,"Liverpool 060B","Total",1683,165,84,132,8,657,404,233
"E01033759",2011,"Liverpool 010F","Total",886,353,112,152,14,94,119,42
"E01033760",2011,"Liverpool 060C","Total",2100,66,128,233,17,1023,431,202
"E01033761",2011,"Liverpool 060D","Total",1352,41,75,109,6,318,708,95
"E01033762",2011,"Liverpool 060E","Total",1772,110,85,225,11,938,326,77
"E01033763",2011,"Liverpool 031G","Total",1400,579,144,143,33,231,192,78
"E01033764",2011,"Liverpool 022E","Total",1847,1009,230,190,27,129,181,81
"E01033765",2011,"Liverpool 061D","Total",1080,426,127,130,20,111,226,40
"E01033766",2011,"Liverpool 042G","Total",961,131,60,121,20,251,362,16
"E01033767",2011,"Liverpool 050J","Total",879,343,124,130,16,90,146,30
"E01033768",2011,"Liverpool 037F","Total",1130,200,97,124,4,222,433,50
