"lsoa11cd","date","lsoa11nm","Rural Urban","Care Provision: All categories: Provision of unpaid care; measures: Value","Care Provision: Provides no unpaid care; measures: Value","Care Provision: Provides 1 to 19 hours unpaid care a week; measures: Value","Care Provision: Provides 20 to 49 hours unpaid care a week; measures: Value","Care Provision: Provides 50 or more hours unpaid care a week; measures: Value"
"E01006582",2011,"Liverpool 041A","Total",1642,1410,159,28,45
"E01006583",2011,"Liverpool 047C","Total",1758,1577,133,15,33
"E01006584",2011,"Liverpool 034E","Total",1393,1208,104,22,59
"E01006585",2011,"Liverpool 032B","Total",1354,1171,78,42,63
"E01006586",2011,"Liverpool 032C","Total",1899,1681,113,41,64
"E01006587",2011,"Liverpool 032D","Total",1624,1413,118,42,51
"E01006588",2011,"Liverpool 042C","Total",1569,1408,105,17,39
"E01006589",2011,"Liverpool 041B","Total",1518,1330,122,20,46
"E01006590",2011,"Liverpool 042D","Total",1642,1491,86,25,40
"E01006591",2011,"Liverpool 041C","Total",1633,1477,95,24,37
"E01006592",2011,"Liverpool 041D","Total",1565,1343,147,32,43
"E01006593",2011,"Liverpool 042E","Total",1541,1418,90,15,18
"E01006594",2011,"Liverpool 047D","Total",1410,1210,144,24,32
"E01006595",2011,"Liverpool 049B","Total",1745,1512,139,37,57
"E01006596",2011,"Liverpool 049C","Total",1451,1265,114,31,41
"E01006597",2011,"Liverpool 041E","Total",1667,1442,152,35,38
"E01006598",2011,"Liverpool 010A","Total",1361,1180,72,30,79
"E01006599",2011,"Liverpool 010B","Total",1121,1026,48,13,34
"E01006600",2011,"Liverpool 011A","Total",1407,1200,85,49,73
"E01006603",2011,"Liverpool 011B","Total",1410,1187,97,44,82
"E01006604",2011,"Liverpool 016A","Total",1367,1153,96,44,74
"E01006605",2011,"Liverpool 016B","Total",1531,1327,88,39,77
"E01006606",2011,"Liverpool 020A","Total",1521,1309,90,37,85
"E01006607",2011,"Liverpool 008A","Total",1531,1331,82,39,79
"E01006608",2011,"Liverpool 009A","Total",1215,1063,93,19,40
"E01006609",2011,"Liverpool 009B","Total",1283,1114,94,34,41
"E01006610",2011,"Liverpool 009C","Total",1397,1252,72,28,45
"E01006611",2011,"Liverpool 012A","Total",1291,1188,57,18,28
"E01006612",2011,"Liverpool 008B","Total",1495,1299,64,52,80
"E01006613",2011,"Liverpool 009D","Total",1360,1180,70,41,69
"E01006614",2011,"Liverpool 012B","Total",1322,1174,83,28,37
"E01006615",2011,"Liverpool 012C","Total",1302,1161,63,36,42
"E01006616",2011,"Liverpool 015D","Total",1428,1247,95,26,60
"E01006617",2011,"Liverpool 021A","Total",1421,1251,105,33,32
"E01006618",2011,"Liverpool 016C","Total",1639,1404,92,46,97
"E01006619",2011,"Liverpool 021B","Total",1599,1399,114,33,53
"E01006620",2011,"Liverpool 021C","Total",1417,1220,120,26,51
"E01006621",2011,"Liverpool 021D","Total",1468,1221,159,28,60
"E01006622",2011,"Liverpool 021E","Total",1519,1333,129,26,31
"E01006623",2011,"Liverpool 013A","Total",1462,1258,137,27,40
"E01006624",2011,"Liverpool 013B","Total",1556,1361,88,28,79
"E01006625",2011,"Liverpool 016D","Total",1416,1206,122,30,58
"E01006626",2011,"Liverpool 016E","Total",1448,1219,131,39,59
"E01006627",2011,"Liverpool 013C","Total",1378,1192,115,24,47
"E01006628",2011,"Liverpool 052D","Total",1874,1718,92,20,44
"E01006629",2011,"Liverpool 052E","Total",1255,1067,91,51,46
"E01006630",2011,"Liverpool 044B","Total",1338,1199,57,25,57
"E01006632",2011,"Liverpool 044C","Total",1842,1647,84,46,65
"E01006633",2011,"Liverpool 050B","Total",1432,1272,70,42,48
"E01006637",2011,"Liverpool 017A","Total",1596,1443,53,37,63
"E01006638",2011,"Liverpool 017B","Total",1219,1092,60,23,44
"E01006639",2011,"Liverpool 017C","Total",1509,1341,89,27,52
"E01006640",2011,"Liverpool 021F","Total",1880,1633,139,33,75
"E01006641",2011,"Liverpool 025C","Total",1740,1617,74,16,33
"E01006642",2011,"Liverpool 025D","Total",1290,1148,52,32,58
"E01006643",2011,"Liverpool 025E","Total",1822,1617,96,34,75
"E01006644",2011,"Liverpool 017D","Total",2040,1786,103,64,87
"E01006645",2011,"Liverpool 017E","Total",1424,1254,71,41,58
"E01006646",2011,"Liverpool 023C","Total",1899,1700,81,50,68
"E01006647",2011,"Liverpool 024C","Total",1422,1246,59,41,76
"E01006648",2011,"Liverpool 023D","Total",2175,1934,97,45,99
"E01006651",2011,"Liverpool 001A","Total",1642,1443,126,25,48
"E01006652",2011,"Liverpool 002A","Total",1505,1307,108,32,58
"E01006653",2011,"Liverpool 001B","Total",1520,1315,99,25,81
"E01006654",2011,"Liverpool 005A","Total",1513,1356,98,28,31
"E01006655",2011,"Liverpool 001C","Total",1758,1567,84,31,76
"E01006656",2011,"Liverpool 002B","Total",1493,1313,107,31,42
"E01006657",2011,"Liverpool 002C","Total",1211,1088,54,25,44
"E01006658",2011,"Liverpool 001D","Total",1300,1146,67,31,56
"E01006659",2011,"Liverpool 005B","Total",1765,1615,65,29,56
"E01006660",2011,"Liverpool 001E","Total",1433,1252,81,38,62
"E01006661",2011,"Liverpool 004A","Total",1663,1452,75,48,88
"E01006662",2011,"Liverpool 004B","Total",1775,1599,75,29,72
"E01006663",2011,"Liverpool 004C","Total",1153,1029,62,20,42
"E01006664",2011,"Liverpool 004D","Total",1795,1607,89,45,54
"E01006665",2011,"Liverpool 007A","Total",1555,1370,119,15,51
"E01006666",2011,"Liverpool 007B","Total",1504,1340,111,20,33
"E01006667",2011,"Liverpool 007C","Total",1453,1266,95,33,59
"E01006668",2011,"Liverpool 007D","Total",1534,1363,111,25,35
"E01006669",2011,"Liverpool 004E","Total",1470,1316,95,29,30
"E01006670",2011,"Liverpool 007E","Total",1526,1326,115,32,53
"E01006671",2011,"Liverpool 013D","Total",1355,1170,96,39,50
"E01006672",2011,"Liverpool 010E","Total",1955,1719,106,44,86
"E01006673",2011,"Liverpool 037D","Total",1937,1777,74,35,51
"E01006674",2011,"Liverpool 039C","Total",1885,1727,71,29,58
"E01006675",2011,"Liverpool 043C","Total",1824,1697,84,23,20
"E01006676",2011,"Liverpool 044D","Total",1753,1591,71,40,51
"E01006677",2011,"Liverpool 043D","Total",1040,957,33,20,30
"E01006678",2011,"Liverpool 044E","Total",2127,1844,154,41,88
"E01006679",2011,"Liverpool 039D","Total",2232,2036,98,40,58
"E01006680",2011,"Liverpool 053B","Total",1569,1348,150,27,44
"E01006681",2011,"Liverpool 054D","Total",1585,1380,118,34,53
"E01006682",2011,"Liverpool 053C","Total",1310,1115,133,20,42
"E01006683",2011,"Liverpool 053D","Total",1510,1287,138,32,53
"E01006684",2011,"Liverpool 056B","Total",2138,1850,190,39,59
"E01006685",2011,"Liverpool 056C","Total",1484,1305,120,31,28
"E01006686",2011,"Liverpool 053E","Total",1433,1209,132,43,49
"E01006687",2011,"Liverpool 056D","Total",1952,1729,148,32,43
"E01006688",2011,"Liverpool 056E","Total",1524,1356,97,32,39
"E01006689",2011,"Liverpool 049D","Total",1651,1451,130,30,40
"E01006690",2011,"Liverpool 028A","Total",1492,1366,66,35,25
"E01006691",2011,"Liverpool 030A","Total",1503,1382,55,22,44
"E01006692",2011,"Liverpool 028B","Total",2180,1967,107,32,74
"E01006693",2011,"Liverpool 024D","Total",1511,1333,77,38,63
"E01006694",2011,"Liverpool 030B","Total",1864,1709,64,39,52
"E01006695",2011,"Liverpool 028C","Total",1821,1687,86,24,24
"E01006696",2011,"Liverpool 030C","Total",1744,1587,68,30,59
"E01006697",2011,"Liverpool 030D","Total",1845,1671,72,33,69
"E01006698",2011,"Liverpool 012D","Total",1716,1516,104,36,60
"E01006699",2011,"Liverpool 014A","Total",1594,1417,59,36,82
"E01006700",2011,"Liverpool 012E","Total",1438,1297,60,27,54
"E01006701",2011,"Liverpool 014B","Total",1380,1216,81,33,50
"E01006702",2011,"Liverpool 014C","Total",1618,1443,61,39,75
"E01006703",2011,"Liverpool 014D","Total",1561,1404,67,31,59
"E01006705",2011,"Liverpool 009E","Total",1409,1262,92,15,40
"E01006706",2011,"Liverpool 045A","Total",1346,1174,70,32,70
"E01006707",2011,"Liverpool 045B","Total",1323,1151,65,41,66
"E01006708",2011,"Liverpool 045C","Total",1805,1607,74,44,80
"E01006709",2011,"Liverpool 040A","Total",1438,1287,63,28,60
"E01006710",2011,"Liverpool 045D","Total",1496,1321,84,23,68
"E01006711",2011,"Liverpool 027A","Total",1538,1339,103,35,61
"E01006712",2011,"Liverpool 029D","Total",1339,1204,69,27,39
"E01006713",2011,"Liverpool 029E","Total",1377,1225,62,28,62
"E01006716",2011,"Liverpool 032E","Total",1589,1438,84,25,42
"E01006717",2011,"Liverpool 027D","Total",1436,1240,110,31,55
"E01006718",2011,"Liverpool 027E","Total",1587,1398,103,25,61
"E01006719",2011,"Liverpool 027F","Total",1535,1339,109,34,53
"E01006720",2011,"Liverpool 035A","Total",2108,1969,69,32,38
"E01006721",2011,"Liverpool 038C","Total",1655,1509,71,32,43
"E01006722",2011,"Liverpool 038D","Total",1793,1695,59,18,21
"E01006723",2011,"Liverpool 038E","Total",1875,1743,71,24,37
"E01006724",2011,"Liverpool 038F","Total",1790,1670,64,21,35
"E01006725",2011,"Liverpool 035B","Total",1537,1391,68,32,46
"E01006726",2011,"Liverpool 035C","Total",1565,1436,62,25,42
"E01006727",2011,"Liverpool 035D","Total",1441,1304,85,24,28
"E01006728",2011,"Liverpool 035E","Total",1623,1483,70,34,36
"E01006729",2011,"Liverpool 008C","Total",1400,1243,75,44,38
"E01006730",2011,"Liverpool 011C","Total",1326,1153,67,38,68
"E01006731",2011,"Liverpool 011D","Total",1196,1053,53,33,57
"E01006732",2011,"Liverpool 011E","Total",1643,1425,79,45,94
"E01006734",2011,"Liverpool 005C","Total",1412,1256,67,35,54
"E01006735",2011,"Liverpool 005D","Total",1309,1146,58,43,62
"E01006736",2011,"Liverpool 005E","Total",1460,1271,74,40,75
"E01006737",2011,"Liverpool 005F","Total",1435,1213,100,39,83
"E01006738",2011,"Liverpool 058A","Total",1501,1321,78,38,64
"E01006739",2011,"Liverpool 058B","Total",1769,1586,79,41,63
"E01006740",2011,"Liverpool 057A","Total",1280,1144,50,39,47
"E01006741",2011,"Liverpool 058C","Total",1815,1574,92,54,95
"E01006742",2011,"Liverpool 057B","Total",1394,1207,97,36,54
"E01006743",2011,"Liverpool 058D","Total",2175,1941,113,44,77
"E01006744",2011,"Liverpool 057C","Total",1482,1328,79,28,47
"E01006745",2011,"Liverpool 057D","Total",1879,1668,85,53,73
"E01006746",2011,"Liverpool 030E","Total",1513,1353,70,28,62
"E01006747",2011,"Liverpool 031B","Total",3552,3379,114,30,29
"E01006748",2011,"Liverpool 031C","Total",1936,1821,66,18,31
"E01006751",2011,"Liverpool 031F","Total",2572,2373,89,44,66
"E01006752",2011,"Liverpool 035F","Total",1012,908,53,19,32
"E01006753",2011,"Liverpool 059A","Total",1557,1372,73,33,79
"E01006754",2011,"Liverpool 059B","Total",1627,1456,61,44,66
"E01006755",2011,"Liverpool 059C","Total",1587,1417,69,45,56
"E01006756",2011,"Liverpool 059D","Total",1820,1631,71,37,81
"E01006757",2011,"Liverpool 059E","Total",1491,1360,43,31,57
"E01006758",2011,"Liverpool 059F","Total",1527,1345,76,44,62
"E01006759",2011,"Liverpool 028D","Total",1095,964,71,24,36
"E01006760",2011,"Liverpool 028E","Total",1611,1466,83,27,35
"E01006761",2011,"Liverpool 020B","Total",1644,1463,100,29,52
"E01006762",2011,"Liverpool 015E","Total",1692,1478,85,38,91
"E01006763",2011,"Liverpool 020C","Total",1471,1282,104,39,46
"E01006764",2011,"Liverpool 020D","Total",1522,1364,84,32,42
"E01006765",2011,"Liverpool 020E","Total",1468,1266,97,39,66
"E01006766",2011,"Liverpool 019E","Total",1266,1143,62,27,34
"E01006767",2011,"Liverpool 019F","Total",1787,1603,94,43,47
"E01006768",2011,"Liverpool 020F","Total",1359,1193,97,24,45
"E01006769",2011,"Liverpool 040B","Total",1270,1140,51,18,61
"E01006770",2011,"Liverpool 040C","Total",1002,871,58,22,51
"E01006771",2011,"Liverpool 040D","Total",1425,1247,49,43,86
"E01006772",2011,"Liverpool 040E","Total",1091,947,76,25,43
"E01006773",2011,"Liverpool 036D","Total",1379,1192,110,19,58
"E01006774",2011,"Liverpool 036E","Total",1445,1262,128,23,32
"E01006775",2011,"Liverpool 040F","Total",1319,1132,61,57,69
"E01006776",2011,"Liverpool 022B","Total",1677,1515,54,40,68
"E01006778",2011,"Liverpool 014E","Total",2205,1952,105,55,93
"E01006779",2011,"Liverpool 022D","Total",1968,1706,96,55,111
"E01006780",2011,"Liverpool 002D","Total",1465,1286,92,34,53
"E01006781",2011,"Liverpool 003A","Total",1470,1274,126,28,42
"E01006782",2011,"Liverpool 003B","Total",1560,1378,120,22,40
"E01006783",2011,"Liverpool 002E","Total",1548,1368,92,33,55
"E01006784",2011,"Liverpool 003C","Total",1347,1206,83,28,30
"E01006785",2011,"Liverpool 003D","Total",1769,1569,99,34,67
"E01006786",2011,"Liverpool 003E","Total",1820,1573,126,50,71
"E01006787",2011,"Liverpool 006A","Total",2330,2128,107,42,53
"E01006788",2011,"Liverpool 006B","Total",1825,1597,122,37,69
"E01006790",2011,"Liverpool 006C","Total",1587,1426,77,29,55
"E01006791",2011,"Liverpool 006D","Total",1674,1483,81,31,79
"E01006792",2011,"Liverpool 046A","Total",1368,1205,111,19,33
"E01006793",2011,"Liverpool 051A","Total",1494,1322,105,34,33
"E01006794",2011,"Liverpool 046B","Total",1593,1394,126,32,41
"E01006795",2011,"Liverpool 051B","Total",1407,1221,128,20,38
"E01006796",2011,"Liverpool 047E","Total",1591,1365,158,29,39
"E01006797",2011,"Liverpool 051C","Total",1499,1296,99,33,71
"E01006798",2011,"Liverpool 051D","Total",1410,1206,142,19,43
"E01006799",2011,"Liverpool 051E","Total",1821,1591,142,31,57
"E01006800",2011,"Liverpool 046C","Total",1401,1171,143,34,53
"E01006801",2011,"Liverpool 046D","Total",1355,1167,130,29,29
"E01032505",2011,"Liverpool 050F","Total",1317,1125,104,33,55
"E01032506",2011,"Liverpool 050G","Total",1403,1273,68,30,32
"E01032507",2011,"Liverpool 050H","Total",1539,1393,86,18,42
"E01032508",2011,"Liverpool 027G","Total",1723,1545,80,37,61
"E01032509",2011,"Liverpool 027H","Total",1434,1289,72,24,49
"E01032510",2011,"Liverpool 008F","Total",1809,1609,102,33,65
"E01032511",2011,"Liverpool 008G","Total",1378,1191,93,28,66
"E01033747",2011,"Liverpool 018F","Total",1043,921,42,35,45
"E01033748",2011,"Liverpool 050I","Total",1277,1198,63,8,8
"E01033749",2011,"Liverpool 042F","Total",1153,1130,19,2,2
"E01033750",2011,"Liverpool 061A","Total",1448,1366,63,10,9
"E01033751",2011,"Liverpool 062A","Total",1873,1775,67,13,18
"E01033752",2011,"Liverpool 062B","Total",1196,1160,29,3,4
"E01033753",2011,"Liverpool 062C","Total",1051,1013,30,5,3
"E01033754",2011,"Liverpool 061B","Total",1452,1348,57,16,31
"E01033755",2011,"Liverpool 062D","Total",1082,1044,34,3,1
"E01033756",2011,"Liverpool 061C","Total",1185,1133,41,5,6
"E01033757",2011,"Liverpool 037E","Total",1025,971,40,9,5
"E01033758",2011,"Liverpool 060B","Total",1730,1667,48,7,8
"E01033759",2011,"Liverpool 010F","Total",1147,1017,52,35,43
"E01033760",2011,"Liverpool 060C","Total",2115,2056,55,4,0
"E01033761",2011,"Liverpool 060D","Total",1372,1327,42,2,1
"E01033762",2011,"Liverpool 060E","Total",1791,1726,44,14,7
"E01033763",2011,"Liverpool 031G","Total",1527,1391,60,26,50
"E01033764",2011,"Liverpool 022E","Total",2202,1935,106,63,98
"E01033765",2011,"Liverpool 061D","Total",1351,1192,72,37,50
"E01033766",2011,"Liverpool 042G","Total",1075,989,47,14,25
"E01033767",2011,"Liverpool 050J","Total",1067,967,54,14,32
"E01033768",2011,"Liverpool 037F","Total",1223,1135,62,16,10
