"lsoa11cd","date","lsoa11nm","Rural Urban","Qualifications: All categories: Highest level of qualification; measures: Value","Qualifications: No qualifications; measures: Value","Qualifications: Highest level of qualification: Level 1 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 2 qualifications; measures: Value","Qualifications: Highest level of qualification: Apprenticeship; measures: Value","Qualifications: Highest level of qualification: Level 3 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 4 qualifications and above; measures: Value","Qualifications: Highest level of qualification: Other qualifications; measures: Value","Qualifications: Schoolchildren and full-time students: Age 16 to 17; measures: Value","Qualifications: Schoolchildren and full-time students: Age 18 and over; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: In employment; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: Unemployed; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically inactive; measures: Value"
"E01006536",2011,"Liverpool 054C","Total",1545,533,234,239,41,185,270,43,59,58,24,6,28
"E01006537",2011,"Liverpool 055D","Total",1847,398,264,320,58,247,419,141,40,83,31,10,42
"E01006538",2011,"Liverpool 055E","Total",1101,267,162,180,49,146,262,35,38,39,23,1,15
"E01006539",2011,"Liverpool 047B","Total",1237,195,105,162,25,119,600,31,42,61,34,1,26
"E01006540",2011,"Liverpool 024A","Total",1218,483,217,179,24,100,135,80,38,83,23,16,44
"E01006541",2011,"Liverpool 015A","Total",1350,505,241,201,66,136,156,45,38,47,21,4,22
"E01006542",2011,"Liverpool 018A","Total",1149,425,182,161,32,127,165,57,43,50,24,1,24
"E01006543",2011,"Liverpool 015B","Total",1053,311,193,180,54,143,145,27,37,55,28,5,22
"E01006544",2011,"Liverpool 015C","Total",1304,515,223,249,30,124,115,48,54,64,19,6,39
"E01006545",2011,"Liverpool 019A","Total",1174,353,209,217,33,151,165,46,34,63,25,5,33
"E01006546",2011,"Liverpool 019B","Total",1016,339,197,163,27,134,123,33,31,43,16,6,21
"E01006547",2011,"Liverpool 019C","Total",1197,457,195,166,34,127,170,48,41,76,22,6,48
"E01006548",2011,"Liverpool 019D","Total",1328,472,212,210,28,181,160,65,33,122,36,12,74
"E01006549",2011,"Liverpool 043B","Total",1536,269,100,156,11,289,619,92,11,264,77,26,161
"E01006550",2011,"Liverpool 038A","Total",1499,98,58,110,7,853,341,32,11,960,235,64,661
"E01006551",2011,"Liverpool 048E","Total",1485,438,76,124,26,443,322,56,9,437,84,45,308
"E01006552",2011,"Liverpool 039A","Total",1452,385,197,171,17,156,388,138,34,209,48,40,121
"E01006553",2011,"Liverpool 042A","Total",1705,146,83,145,11,690,595,35,29,804,235,71,498
"E01006554",2011,"Liverpool 048F","Total",1530,143,83,102,9,579,563,51,20,612,166,48,398
"E01006556",2011,"Liverpool 039B","Total",1595,586,222,169,14,185,271,148,43,207,59,21,127
"E01006557",2011,"Liverpool 038B","Total",1915,143,78,159,18,1020,438,59,18,1187,270,101,816
"E01006558",2011,"Liverpool 018B","Total",1131,493,172,199,31,86,91,59,37,23,9,0,14
"E01006560",2011,"Liverpool 023A","Total",1576,819,213,224,32,119,109,60,36,66,16,12,35
"E01006562",2011,"Liverpool 018E","Total",1185,523,197,188,23,115,85,54,45,53,21,4,27
"E01006563",2011,"Liverpool 024B","Total",1408,726,187,191,36,91,106,71,33,56,20,8,27
"E01006564",2011,"Liverpool 023B","Total",1477,698,197,158,41,147,182,54,32,52,20,3,29
"E01006565",2011,"Liverpool 029A","Total",1275,454,220,175,51,137,192,46,31,51,24,7,20
"E01006566",2011,"Liverpool 032A","Total",1234,318,169,192,40,171,289,55,46,53,29,3,21
"E01006567",2011,"Liverpool 026A","Total",1439,584,210,200,49,150,210,36,34,66,31,9,24
"E01006568",2011,"Liverpool 026B","Total",1306,349,177,227,40,181,296,36,36,51,21,12,18
"E01006569",2011,"Liverpool 029B","Total",1214,493,176,185,46,102,172,40,42,44,17,8,15
"E01006570",2011,"Liverpool 026C","Total",1221,299,165,196,54,162,309,36,36,62,32,4,26
"E01006571",2011,"Liverpool 026D","Total",1210,507,149,204,37,127,141,45,40,45,14,7,24
"E01006572",2011,"Liverpool 025A","Total",909,380,134,139,20,113,95,28,22,42,16,7,18
"E01006573",2011,"Liverpool 029C","Total",1223,458,167,188,32,136,199,43,28,37,10,5,22
"E01006574",2011,"Liverpool 025B","Total",1094,412,163,189,32,122,135,41,40,36,11,8,16
"E01006575",2011,"Liverpool 034A","Total",1087,315,146,172,35,118,265,36,37,53,23,3,27
"E01006576",2011,"Liverpool 034B","Total",1394,297,187,246,60,197,371,36,28,63,24,5,34
"E01006577",2011,"Liverpool 034C","Total",1236,224,151,187,51,157,431,35,50,54,25,8,21
"E01006578",2011,"Liverpool 036A","Total",1108,234,137,189,32,160,324,32,24,52,19,8,25
"E01006579",2011,"Liverpool 034D","Total",1317,263,168,215,44,150,424,53,38,45,26,0,18
"E01006580",2011,"Liverpool 036B","Total",1111,159,135,207,32,148,388,42,47,52,29,2,21
"E01006581",2011,"Liverpool 036C","Total",1264,183,148,192,42,189,478,32,31,90,39,3,47
"E01006582",2011,"Liverpool 041A","Total",1309,170,119,203,51,168,559,39,65,85,31,8,46
"E01006583",2011,"Liverpool 047C","Total",1524,134,105,227,28,509,476,45,33,539,166,96,277
"E01006584",2011,"Liverpool 034E","Total",1147,261,168,196,43,171,261,47,39,38,19,7,12
"E01006585",2011,"Liverpool 032B","Total",1136,463,175,166,22,115,135,60,24,57,12,17,28
"E01006586",2011,"Liverpool 032C","Total",1606,466,206,200,42,227,390,75,35,113,33,14,65
"E01006587",2011,"Liverpool 032D","Total",1354,331,172,207,42,164,378,60,27,64,25,5,34
"E01006588",2011,"Liverpool 042C","Total",1402,242,107,179,43,246,542,43,26,162,49,20,93
"E01006589",2011,"Liverpool 041B","Total",1234,218,160,198,48,149,424,37,36,71,32,8,31
"E01006590",2011,"Liverpool 042D","Total",1457,176,131,149,19,325,614,43,22,261,67,19,175
"E01006591",2011,"Liverpool 041C","Total",1374,159,123,155,30,242,642,23,44,183,67,14,102
"E01006592",2011,"Liverpool 041D","Total",1327,142,111,139,25,168,713,29,38,102,30,6,65
"E01006593",2011,"Liverpool 042E","Total",1324,155,110,148,19,288,572,32,27,247,61,18,168
"E01006594",2011,"Liverpool 047D","Total",1191,146,119,158,37,128,571,32,38,66,23,1,42
"E01006595",2011,"Liverpool 049B","Total",1476,286,131,207,39,189,580,44,32,81,34,2,44
"E01006596",2011,"Liverpool 049C","Total",1228,215,121,160,40,157,495,40,28,71,28,6,37
"E01006597",2011,"Liverpool 041E","Total",1395,169,113,176,30,160,713,34,39,80,24,4,52
"E01006598",2011,"Liverpool 010A","Total",1038,505,147,163,17,93,83,30,36,53,12,10,31
"E01006599",2011,"Liverpool 010B","Total",814,341,118,157,15,70,77,36,37,33,13,6,14
"E01006600",2011,"Liverpool 011A","Total",1173,493,156,215,29,126,112,42,41,51,21,6,24
"E01006603",2011,"Liverpool 011B","Total",1177,503,177,176,33,129,124,35,31,47,16,6,25
"E01006604",2011,"Liverpool 016A","Total",1130,418,210,190,31,128,125,28,37,38,13,6,19
"E01006605",2011,"Liverpool 016B","Total",1270,530,191,192,37,130,148,42,30,61,22,8,31
"E01006606",2011,"Liverpool 020A","Total",1267,436,210,194,42,161,177,47,26,42,15,5,21
"E01006607",2011,"Liverpool 008A","Total",1227,533,202,189,25,141,96,41,45,69,25,8,36
"E01006608",2011,"Liverpool 009A","Total",998,340,145,179,28,132,148,26,22,44,18,9,17
"E01006609",2011,"Liverpool 009B","Total",1060,357,185,188,32,113,152,33,35,51,14,5,32
"E01006610",2011,"Liverpool 009C","Total",1141,459,162,193,32,136,125,34,40,54,20,8,26
"E01006611",2011,"Liverpool 012A","Total",1055,441,164,199,30,101,82,38,19,46,18,13,15
"E01006612",2011,"Liverpool 008B","Total",1214,536,173,189,43,134,101,38,20,54,19,5,29
"E01006613",2011,"Liverpool 009D","Total",1152,506,142,180,40,133,113,38,35,59,22,8,29
"E01006614",2011,"Liverpool 012B","Total",1084,415,172,176,32,126,117,46,17,43,18,4,20
"E01006615",2011,"Liverpool 012C","Total",1071,424,160,171,38,122,116,40,23,48,20,4,24
"E01006616",2011,"Liverpool 015D","Total",1185,463,175,177,40,142,146,42,36,44,17,7,20
"E01006617",2011,"Liverpool 021A","Total",1216,280,161,189,55,165,316,50,38,47,22,8,17
"E01006618",2011,"Liverpool 016C","Total",1391,528,232,224,43,150,163,51,49,61,18,2,40
"E01006619",2011,"Liverpool 021B","Total",1339,341,176,211,52,184,327,48,29,67,28,8,31
"E01006620",2011,"Liverpool 021C","Total",1197,338,144,198,43,152,283,39,31,47,28,2,17
"E01006621",2011,"Liverpool 021D","Total",1249,247,153,212,55,172,379,31,36,89,31,8,50
"E01006622",2011,"Liverpool 021E","Total",1238,237,172,234,59,164,329,43,39,55,32,6,16
"E01006623",2011,"Liverpool 013A","Total",1223,295,189,176,66,152,306,39,41,67,30,6,31
"E01006624",2011,"Liverpool 013B","Total",1294,422,199,213,56,130,222,52,35,55,24,3,28
"E01006625",2011,"Liverpool 016D","Total",1171,328,165,177,58,157,237,49,44,46,29,1,16
"E01006626",2011,"Liverpool 016E","Total",1246,317,178,212,52,157,280,50,36,71,28,7,36
"E01006627",2011,"Liverpool 013C","Total",1152,315,161,171,48,157,268,32,27,40,21,5,14
"E01006628",2011,"Liverpool 052D","Total",1632,246,136,204,38,320,642,46,35,412,106,52,254
"E01006629",2011,"Liverpool 052E","Total",1116,294,124,149,30,130,351,38,23,64,28,3,33
"E01006630",2011,"Liverpool 044B","Total",1029,483,140,148,16,93,112,37,42,58,18,9,31
"E01006632",2011,"Liverpool 044C","Total",1465,592,216,207,29,183,169,69,35,75,21,11,43
"E01006633",2011,"Liverpool 050B","Total",1151,592,149,144,24,90,109,43,35,41,11,3,27
"E01006637",2011,"Liverpool 017A","Total",1161,419,169,199,29,117,157,71,44,70,32,8,30
"E01006638",2011,"Liverpool 017B","Total",934,411,138,153,21,83,88,40,35,51,20,9,22
"E01006639",2011,"Liverpool 017C","Total",1177,328,198,189,32,158,225,47,32,49,21,0,28
"E01006640",2011,"Liverpool 021F","Total",1496,367,195,256,73,184,373,48,37,55,23,4,28
"E01006641",2011,"Liverpool 025C","Total",1267,288,169,200,26,175,346,63,24,35,14,2,19
"E01006642",2011,"Liverpool 025D","Total",1014,468,160,157,26,95,80,28,41,52,17,6,29
"E01006643",2011,"Liverpool 025E","Total",1357,484,244,235,23,127,186,58,48,73,22,6,45
"E01006644",2011,"Liverpool 017D","Total",1643,575,257,260,41,200,246,64,47,69,23,11,35
"E01006645",2011,"Liverpool 017E","Total",1161,554,168,155,35,112,108,29,31,43,13,5,25
"E01006646",2011,"Liverpool 023C","Total",1633,600,178,178,21,179,397,80,37,180,45,15,120
"E01006647",2011,"Liverpool 024C","Total",1071,569,155,143,18,69,77,40,43,43,14,5,24
"E01006648",2011,"Liverpool 023D","Total",1895,659,184,218,31,263,460,80,42,253,80,29,141
"E01006651",2011,"Liverpool 001A","Total",1248,187,187,268,43,218,300,45,45,66,34,4,28
"E01006652",2011,"Liverpool 002A","Total",1211,321,234,194,55,142,234,31,30,46,20,3,23
"E01006653",2011,"Liverpool 001B","Total",1211,438,185,155,48,165,182,38,27,45,17,4,24
"E01006654",2011,"Liverpool 005A","Total",1236,401,183,213,42,166,196,35,24,65,42,3,20
"E01006655",2011,"Liverpool 001C","Total",1410,456,196,231,49,148,282,48,45,43,19,4,20
"E01006656",2011,"Liverpool 002B","Total",1221,304,195,237,58,163,240,24,28,44,13,3,28
"E01006657",2011,"Liverpool 002C","Total",978,297,158,179,37,135,146,26,24,30,16,2,12
"E01006658",2011,"Liverpool 001D","Total",1067,463,158,163,32,116,92,43,28,35,18,6,11
"E01006659",2011,"Liverpool 005B","Total",1574,570,307,253,50,135,175,84,22,43,15,7,21
"E01006660",2011,"Liverpool 001E","Total",1136,440,144,188,30,127,151,56,30,42,12,2,28
"E01006661",2011,"Liverpool 004A","Total",1350,644,199,194,32,128,112,41,34,47,17,9,21
"E01006662",2011,"Liverpool 004B","Total",1439,658,165,205,25,122,194,70,31,52,25,3,22
"E01006663",2011,"Liverpool 004C","Total",896,311,145,148,28,110,129,25,24,18,9,2,7
"E01006664",2011,"Liverpool 004D","Total",1406,576,205,233,31,132,166,63,39,31,14,6,11
"E01006665",2011,"Liverpool 007A","Total",1219,256,204,222,44,162,299,32,43,57,25,6,26
"E01006666",2011,"Liverpool 007B","Total",1156,167,182,257,50,172,286,42,43,84,41,8,35
"E01006667",2011,"Liverpool 007C","Total",1205,402,169,190,45,151,203,45,26,37,15,4,17
"E01006668",2011,"Liverpool 007D","Total",1163,197,181,226,46,166,308,39,44,54,26,3,25
"E01006669",2011,"Liverpool 004E","Total",1142,236,181,210,40,179,245,51,36,83,27,15,41
"E01006670",2011,"Liverpool 007E","Total",1210,260,181,199,56,178,279,57,36,58,31,5,22
"E01006671",2011,"Liverpool 013D","Total",1105,328,172,177,39,108,235,46,47,64,23,9,32
"E01006672",2011,"Liverpool 010E","Total",1445,549,241,238,30,137,169,81,47,67,31,4,31
"E01006673",2011,"Liverpool 037D","Total",1511,484,157,168,23,194,376,109,48,230,72,30,128
"E01006674",2011,"Liverpool 039C","Total",1355,551,173,163,14,96,236,122,61,133,30,22,80
"E01006675",2011,"Liverpool 043C","Total",1702,383,126,151,6,183,756,97,7,170,67,15,86
"E01006676",2011,"Liverpool 044D","Total",1283,503,178,153,12,143,200,94,50,131,36,22,72
"E01006677",2011,"Liverpool 043D","Total",753,346,91,101,8,67,103,37,19,54,14,8,32
"E01006678",2011,"Liverpool 044E","Total",1774,698,209,239,24,230,296,78,43,159,34,17,106
"E01006679",2011,"Liverpool 039D","Total",1578,622,227,167,20,124,284,134,70,185,43,31,110
"E01006680",2011,"Liverpool 053B","Total",1310,202,177,197,54,174,464,42,47,56,33,3,20
"E01006681",2011,"Liverpool 054D","Total",1342,333,169,218,45,162,370,45,30,67,28,4,35
"E01006682",2011,"Liverpool 053C","Total",1068,143,128,161,34,122,448,32,30,45,22,1,21
"E01006683",2011,"Liverpool 053D","Total",1254,203,153,191,50,162,454,41,32,56,20,12,24
"E01006684",2011,"Liverpool 056B","Total",1796,219,184,235,44,209,860,45,44,54,22,3,29
"E01006685",2011,"Liverpool 056C","Total",1264,233,120,161,47,182,491,30,32,91,33,10,48
"E01006686",2011,"Liverpool 053E","Total",1196,218,159,191,49,163,374,42,47,70,23,4,43
"E01006687",2011,"Liverpool 056D","Total",1669,318,117,187,32,161,811,43,29,52,19,5,28
"E01006688",2011,"Liverpool 056E","Total",1286,273,143,189,44,130,457,50,28,54,24,3,26
"E01006689",2011,"Liverpool 049D","Total",1365,237,153,207,54,176,499,39,37,57,33,4,20
"E01006690",2011,"Liverpool 028A","Total",1295,404,166,147,33,194,258,93,19,154,51,27,76
"E01006691",2011,"Liverpool 030A","Total",1163,363,166,151,19,127,203,134,29,146,56,15,74
"E01006692",2011,"Liverpool 028B","Total",1748,557,255,247,33,185,350,121,43,142,39,20,83
"E01006693",2011,"Liverpool 024D","Total",1337,682,144,166,60,100,123,62,29,51,18,4,29
"E01006694",2011,"Liverpool 030B","Total",1481,489,197,237,25,146,276,111,34,171,80,17,74
"E01006695",2011,"Liverpool 028C","Total",1549,410,203,256,42,179,325,134,28,184,62,24,98
"E01006696",2011,"Liverpool 030C","Total",1372,489,162,191,27,153,247,103,34,177,45,17,115
"E01006697",2011,"Liverpool 030D","Total",1457,491,203,197,38,176,225,127,42,147,52,20,75
"E01006698",2011,"Liverpool 012D","Total",1324,449,233,215,43,184,161,39,45,58,29,3,26
"E01006699",2011,"Liverpool 014A","Total",1275,613,173,186,26,122,92,63,46,59,16,13,30
"E01006700",2011,"Liverpool 012E","Total",1177,492,187,166,31,137,120,44,40,52,17,9,26
"E01006701",2011,"Liverpool 014B","Total",1174,451,168,186,43,152,123,51,34,40,15,3,22
"E01006702",2011,"Liverpool 014C","Total",1277,580,167,190,28,140,111,61,35,63,22,6,35
"E01006703",2011,"Liverpool 014D","Total",1319,650,185,172,31,128,100,53,30,60,20,3,37
"E01006705",2011,"Liverpool 009E","Total",1157,349,186,222,29,176,145,50,28,59,21,11,27
"E01006706",2011,"Liverpool 045A","Total",1086,534,159,149,28,105,72,39,31,52,18,6,28
"E01006707",2011,"Liverpool 045B","Total",1067,559,136,149,23,95,61,44,30,40,16,4,20
"E01006708",2011,"Liverpool 045C","Total",1431,536,212,213,42,197,193,38,49,54,23,2,29
"E01006709",2011,"Liverpool 040A","Total",1211,470,172,188,32,143,168,38,32,59,18,3,38
"E01006710",2011,"Liverpool 045D","Total",1191,391,199,247,41,150,110,53,41,44,18,3,23
"E01006711",2011,"Liverpool 027A","Total",1225,367,193,230,32,156,214,33,39,65,24,7,34
"E01006712",2011,"Liverpool 029D","Total",1045,313,176,178,30,123,198,27,27,32,8,5,19
"E01006713",2011,"Liverpool 029E","Total",1113,324,206,181,36,127,204,35,28,32,12,7,12
"E01006716",2011,"Liverpool 032E","Total",1263,489,169,191,34,131,205,44,23,48,16,5,27
"E01006717",2011,"Liverpool 027D","Total",1173,270,171,221,64,151,246,50,41,56,27,6,23
"E01006718",2011,"Liverpool 027E","Total",1296,369,186,216,38,175,261,51,36,69,24,12,33
"E01006719",2011,"Liverpool 027F","Total",1209,328,189,221,43,192,191,45,36,66,12,10,44
"E01006720",2011,"Liverpool 035A","Total",1663,453,158,176,21,349,378,128,32,387,108,33,246
"E01006721",2011,"Liverpool 038C","Total",1376,429,138,163,25,244,298,79,32,219,64,16,139
"E01006722",2011,"Liverpool 038D","Total",1591,225,88,138,15,694,357,74,29,775,237,81,456
"E01006723",2011,"Liverpool 038E","Total",1701,299,106,178,11,644,389,74,18,709,184,38,487
"E01006724",2011,"Liverpool 038F","Total",1671,183,91,118,16,830,382,51,18,891,203,66,622
"E01006725",2011,"Liverpool 035B","Total",1284,377,146,176,39,213,281,52,26,113,42,17,52
"E01006726",2011,"Liverpool 035C","Total",1325,281,132,150,14,354,342,52,24,371,118,22,230
"E01006727",2011,"Liverpool 035D","Total",1215,286,150,156,30,198,342,53,26,127,46,10,71
"E01006728",2011,"Liverpool 035E","Total",1328,437,179,170,13,228,258,43,18,170,48,25,97
"E01006729",2011,"Liverpool 008C","Total",1018,407,173,183,34,99,76,46,47,64,24,8,29
"E01006730",2011,"Liverpool 011C","Total",1048,448,163,179,29,102,100,27,38,60,28,11,21
"E01006731",2011,"Liverpool 011D","Total",940,392,128,171,26,95,105,23,22,44,13,5,25
"E01006732",2011,"Liverpool 011E","Total",1177,511,196,220,26,116,81,27,52,65,12,5,48
"E01006734",2011,"Liverpool 005C","Total",1058,419,153,182,29,127,94,54,33,57,17,14,26
"E01006735",2011,"Liverpool 005D","Total",1030,456,162,156,18,96,113,29,34,51,17,10,24
"E01006736",2011,"Liverpool 005E","Total",1167,456,197,185,28,105,146,50,43,62,24,12,26
"E01006737",2011,"Liverpool 005F","Total",1152,466,173,231,24,118,103,37,49,62,18,14,30
"E01006738",2011,"Liverpool 058A","Total",1183,489,212,190,35,114,103,40,36,51,16,2,32
"E01006739",2011,"Liverpool 058B","Total",1342,544,239,223,36,125,112,63,40,58,26,3,29
"E01006740",2011,"Liverpool 057A","Total",1018,440,170,136,13,69,106,84,37,36,15,5,16
"E01006741",2011,"Liverpool 058C","Total",1470,633,250,235,36,162,93,61,46,55,21,7,25
"E01006742",2011,"Liverpool 057B","Total",1152,346,171,197,31,128,231,48,37,48,21,3,24
"E01006743",2011,"Liverpool 058D","Total",1727,499,274,281,62,203,329,79,36,83,34,3,45
"E01006744",2011,"Liverpool 057C","Total",1209,323,182,180,27,144,301,52,25,42,26,3,13
"E01006745",2011,"Liverpool 057D","Total",1520,390,214,259,31,211,324,91,31,76,29,3,44
"E01006746",2011,"Liverpool 030E","Total",1317,487,145,130,22,257,196,80,32,338,106,35,197
"E01006747",2011,"Liverpool 031B","Total",3422,399,141,365,16,1503,665,333,26,2497,526,276,1695
"E01006748",2011,"Liverpool 031C","Total",1768,336,123,121,21,661,381,125,15,925,224,79,622
"E01006751",2011,"Liverpool 031F","Total",2214,613,189,191,21,503,446,251,50,1001,172,113,716
"E01006752",2011,"Liverpool 035F","Total",839,263,103,107,12,106,178,70,17,114,34,8,72
"E01006753",2011,"Liverpool 059A","Total",1184,505,223,203,31,103,91,28,29,56,23,8,25
"E01006754",2011,"Liverpool 059B","Total",1317,540,217,204,34,123,96,103,44,42,18,2,22
"E01006755",2011,"Liverpool 059C","Total",1201,558,200,167,17,105,101,53,38,35,9,5,21
"E01006756",2011,"Liverpool 059D","Total",1348,546,221,231,33,139,106,72,42,47,11,10,26
"E01006757",2011,"Liverpool 059E","Total",1095,424,202,177,34,115,96,47,52,37,13,4,20
"E01006758",2011,"Liverpool 059F","Total",1157,481,181,215,22,107,104,47,42,43,14,2,27
"E01006759",2011,"Liverpool 028D","Total",902,237,152,135,24,116,193,45,30,52,23,5,24
"E01006760",2011,"Liverpool 028E","Total",1426,460,195,201,22,191,273,84,24,152,53,9,87
"E01006761",2011,"Liverpool 020B","Total",1374,481,251,199,34,143,216,50,30,62,27,5,30
"E01006762",2011,"Liverpool 015E","Total",1345,541,220,201,54,133,141,55,38,55,24,6,25
"E01006763",2011,"Liverpool 020C","Total",1159,346,200,213,45,124,193,38,37,56,16,7,33
"E01006764",2011,"Liverpool 020D","Total",1214,342,192,223,32,151,209,65,43,83,31,8,44
"E01006765",2011,"Liverpool 020E","Total",1192,363,174,239,38,153,175,50,48,50,22,4,24
"E01006766",2011,"Liverpool 019E","Total",969,363,164,137,19,129,110,47,20,64,31,4,29
"E01006767",2011,"Liverpool 019F","Total",1388,368,228,236,32,210,260,54,38,123,33,13,77
"E01006768",2011,"Liverpool 020F","Total",1159,306,138,199,32,159,265,60,38,67,20,9,38
"E01006769",2011,"Liverpool 040B","Total",1059,510,115,170,35,95,98,36,26,30,8,4,17
"E01006770",2011,"Liverpool 040C","Total",808,322,131,114,37,74,85,45,22,29,9,3,17
"E01006771",2011,"Liverpool 040D","Total",1172,538,174,181,25,117,96,41,49,47,19,2,26
"E01006772",2011,"Liverpool 040E","Total",918,318,126,141,25,119,143,46,26,38,17,5,16
"E01006773",2011,"Liverpool 036D","Total",1138,250,154,176,53,154,304,47,25,54,20,4,30
"E01006774",2011,"Liverpool 036E","Total",1170,206,170,191,40,181,340,42,43,75,29,5,41
"E01006775",2011,"Liverpool 040F","Total",1092,553,135,169,25,100,85,25,30,50,20,3,27
"E01006776",2011,"Liverpool 022B","Total",1433,626,172,168,33,132,245,57,30,71,24,2,45
"E01006778",2011,"Liverpool 014E","Total",1864,805,255,257,38,193,239,77,60,102,29,22,50
"E01006779",2011,"Liverpool 022D","Total",1591,833,207,195,29,123,132,72,49,74,25,4,45
"E01006780",2011,"Liverpool 002D","Total",1196,309,245,202,34,155,213,38,37,39,20,1,17
"E01006781",2011,"Liverpool 003A","Total",1223,284,216,215,47,171,256,34,32,64,34,6,24
"E01006782",2011,"Liverpool 003B","Total",1280,332,217,225,42,200,224,40,33,71,40,8,23
"E01006783",2011,"Liverpool 002E","Total",1213,336,186,223,30,166,223,49,44,42,20,3,19
"E01006784",2011,"Liverpool 003C","Total",1088,224,165,233,34,186,213,33,33,47,23,6,18
"E01006785",2011,"Liverpool 003D","Total",1438,374,239,252,47,189,288,49,43,62,32,3,27
"E01006786",2011,"Liverpool 003E","Total",1458,347,269,243,68,193,292,46,29,59,32,5,21
"E01006787",2011,"Liverpool 006A","Total",2036,678,325,353,48,246,257,129,36,129,51,11,67
"E01006788",2011,"Liverpool 006B","Total",1404,371,207,277,61,185,247,56,37,69,30,6,32
"E01006790",2011,"Liverpool 006C","Total",1276,492,168,238,38,150,148,42,36,75,20,10,45
"E01006791",2011,"Liverpool 006D","Total",1411,620,171,212,40,137,151,80,32,52,20,3,29
"E01006792",2011,"Liverpool 046A","Total",1153,164,118,168,46,114,512,31,30,36,15,3,18
"E01006793",2011,"Liverpool 051A","Total",1253,288,129,179,39,155,418,45,26,59,21,3,35
"E01006794",2011,"Liverpool 046B","Total",1349,252,131,197,53,146,533,37,27,57,26,5,24
"E01006795",2011,"Liverpool 051B","Total",1183,188,124,159,45,145,494,28,34,49,22,3,24
"E01006796",2011,"Liverpool 047E","Total",1304,158,129,185,25,124,644,39,48,70,21,3,46
"E01006797",2011,"Liverpool 051C","Total",1247,390,188,181,39,162,250,37,33,61,34,6,21
"E01006798",2011,"Liverpool 051D","Total",1215,218,144,193,46,147,422,45,29,48,22,6,20
"E01006799",2011,"Liverpool 051E","Total",1660,671,150,171,56,139,415,58,17,42,18,3,21
"E01006800",2011,"Liverpool 046C","Total",1246,301,136,182,73,146,351,57,28,38,8,3,27
