"lsoa11cd","date","lsoa11nm","Rural Urban","NS-SeC: All categories: NS-SeC; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: Not classified; measures: Value","NS-SeC: L15 Full-time students; measures: Value","NS-SeC: L17 Not classifiable for other reasons; measures: Value"
"E01006525",2011,"Liverpool 049A","Total",942,135,31,0,31,104,59,33,9,3,264,185,151,11,20,3,41,38,158,109,34,11,4,76,26,26,0,50,50,0,42,25,17,16,1,87,29,29,3,9,1,11,5,58,13,4,20,20,1,24,11,13,98,98,0
"E01006526",2011,"Liverpool 048C","Total",1029,131,20,0,20,111,80,15,13,3,302,222,181,15,20,6,42,38,137,94,34,9,0,79,21,21,0,58,56,2,61,33,28,19,9,98,23,36,12,13,0,7,7,83,11,6,30,35,1,60,42,18,78,78,0
"E01006527",2011,"Liverpool 053A","Total",1103,131,25,0,25,106,81,17,8,0,235,177,140,17,16,4,35,23,133,91,28,14,0,69,18,18,0,51,51,0,68,50,18,16,2,138,42,53,5,13,0,17,8,96,22,6,23,45,0,49,26,23,184,184,0
"E01006528",2011,"Liverpool 052C","Total",1157,168,21,0,21,147,85,35,25,2,262,177,144,13,16,4,48,37,168,101,47,16,4,76,23,23,0,53,53,0,57,38,19,15,4,105,23,46,6,12,1,10,7,81,14,5,22,40,0,60,29,31,180,180,0
"E01006529",2011,"Liverpool 048D","Total",1007,150,17,0,17,133,96,22,12,3,292,223,190,16,17,0,36,33,137,93,26,16,2,57,10,10,0,47,45,2,51,33,18,12,6,109,31,44,4,17,0,6,7,82,22,5,23,32,0,42,25,17,87,87,0
"E01006530",2011,"Liverpool 055A","Total",1005,98,27,0,27,71,47,21,2,1,278,191,169,16,5,1,46,41,173,100,59,10,4,64,22,22,0,42,42,0,89,47,42,32,10,126,44,53,4,9,0,12,4,67,15,11,16,24,1,22,15,7,88,88,0
"E01006531",2011,"Liverpool 055B","Total",997,97,26,0,26,71,40,28,3,0,265,175,150,12,10,3,48,42,174,119,41,9,5,76,30,30,0,46,46,0,72,31,41,31,10,123,38,34,11,13,0,21,6,71,10,9,23,29,0,32,25,7,87,87,0
"E01006532",2011,"Liverpool 047A","Total",1132,224,38,1,37,186,106,33,44,3,348,248,192,18,33,5,79,21,120,78,30,9,3,139,71,70,1,68,68,0,42,19,23,18,5,85,32,25,3,6,0,17,2,37,12,3,13,8,1,33,21,12,104,104,0
"E01006533",2011,"Liverpool 055C","Total",992,114,17,0,17,97,59,19,16,3,235,165,141,12,12,0,43,27,145,99,26,13,7,83,35,34,1,48,47,1,72,37,35,29,6,137,38,53,7,16,0,19,4,74,12,8,23,29,2,57,37,20,75,75,0
"E01006534",2011,"Liverpool 054A","Total",1158,103,20,0,20,83,57,18,7,1,209,123,103,12,7,1,56,30,144,94,37,11,2,87,31,31,0,56,56,0,82,39,43,34,9,201,66,71,11,27,0,15,11,132,23,10,28,69,2,76,53,23,124,124,0
"E01006535",2011,"Liverpool 054B","Total",1222,97,20,0,20,77,47,19,9,2,247,162,131,14,15,2,44,41,184,106,62,10,6,60,18,18,0,42,42,0,85,43,42,34,8,193,63,72,11,20,2,11,14,128,26,9,32,60,1,119,96,23,109,109,0
"E01006536",2011,"Liverpool 054C","Total",1386,71,12,0,12,59,33,20,5,1,207,122,104,7,11,0,50,35,203,116,63,16,8,83,22,21,1,61,60,1,87,52,35,26,9,264,84,105,21,29,2,15,8,224,31,16,61,115,1,130,83,47,117,117,0
"E01006537",2011,"Liverpool 055D","Total",1728,135,27,0,27,108,60,31,15,2,335,208,177,19,8,4,69,58,264,138,89,25,12,125,37,37,0,88,87,1,155,78,77,60,17,304,118,98,14,45,0,21,8,194,31,25,56,80,2,93,63,30,123,123,0
"E01006538",2011,"Liverpool 055E","Total",972,88,21,0,21,67,40,21,6,0,187,122,104,10,6,2,36,29,146,89,46,9,2,64,12,12,0,52,52,0,105,47,58,42,16,144,45,50,9,20,0,16,4,113,28,5,39,39,2,48,39,9,77,77,0
"E01006539",2011,"Liverpool 047B","Total",1117,257,45,1,44,212,127,37,44,4,297,216,173,11,29,3,56,25,126,96,18,11,1,118,53,52,1,65,65,0,27,6,21,16,5,85,21,35,2,4,0,14,9,39,14,6,9,10,0,65,52,13,103,103,0
"E01006540",2011,"Liverpool 024A","Total",1139,28,6,0,6,22,17,4,1,0,122,76,63,9,4,0,29,17,93,51,31,8,3,48,14,14,0,34,34,0,73,43,30,27,3,188,58,89,13,11,0,14,3,201,33,31,31,106,0,265,180,85,121,121,0
"E01006541",2011,"Liverpool 015A","Total",1211,51,14,0,14,37,16,17,4,0,167,97,91,4,2,0,43,27,206,152,34,15,5,78,12,12,0,66,66,0,96,46,50,38,12,208,56,80,13,41,1,10,7,197,30,21,60,86,0,123,89,34,85,85,0
"E01006542",2011,"Liverpool 018A","Total",1025,38,13,0,13,25,14,8,2,1,124,79,67,7,4,1,25,20,125,70,39,14,2,62,12,12,0,50,50,0,65,39,26,20,6,171,47,83,10,18,0,10,3,196,30,23,56,85,2,152,122,30,92,92,0
"E01006543",2011,"Liverpool 015B","Total",966,40,12,0,12,28,15,11,2,0,147,86,75,4,6,1,32,29,172,108,49,11,4,81,17,17,0,64,64,0,81,46,35,30,5,166,49,58,7,29,0,14,9,145,15,13,57,59,1,42,29,13,92,92,0
"E01006544",2011,"Liverpool 015C","Total",1190,23,4,0,4,19,11,7,1,0,129,68,59,5,4,0,46,15,164,99,42,16,7,59,12,12,0,47,47,0,85,48,37,35,2,234,90,85,11,22,1,23,2,207,33,14,51,108,1,171,134,37,118,118,0
"E01006545",2011,"Liverpool 019A","Total",1083,40,5,0,5,35,20,14,1,0,158,87,79,3,5,0,28,43,180,111,50,13,6,58,7,7,0,51,51,0,93,51,42,34,8,197,58,77,15,28,1,16,2,183,34,14,54,80,1,77,49,28,97,97,0
"E01006546",2011,"Liverpool 019B","Total",942,29,11,0,11,18,9,8,1,0,121,71,64,2,5,0,25,25,152,85,52,11,4,61,12,12,0,49,49,0,63,38,25,20,5,196,64,92,8,18,0,11,3,147,21,22,34,68,2,99,61,38,74,74,0
"E01006547",2011,"Liverpool 019C","Total",1125,30,5,0,5,25,12,9,4,0,130,78,58,8,12,0,30,22,127,77,40,7,3,89,15,15,0,74,74,0,71,39,32,30,2,183,45,88,7,29,0,8,6,202,40,19,49,93,1,176,113,63,117,117,0
"E01006548",2011,"Liverpool 019D","Total",1177,25,7,0,7,18,9,7,1,1,141,87,76,7,4,0,25,29,155,80,42,28,5,62,22,22,0,40,40,0,87,52,35,31,4,206,46,102,12,22,1,17,6,193,36,9,47,99,2,153,111,42,155,155,0
"E01006549",2011,"Liverpool 043B","Total",1456,167,22,0,22,145,102,25,16,2,302,241,182,17,35,7,45,16,114,57,46,9,2,92,31,31,0,61,59,2,73,44,29,26,3,150,29,96,2,10,0,9,4,95,24,8,32,31,0,188,139,49,275,275,0
"E01006550",2011,"Liverpool 038A","Total",1466,70,8,0,8,62,51,7,4,0,151,105,81,9,13,2,29,17,65,41,16,7,1,33,6,6,0,27,27,0,30,21,9,7,2,62,25,21,2,7,0,3,4,41,16,4,10,11,0,43,26,17,971,971,0
"E01006551",2011,"Liverpool 048E","Total",1298,122,18,1,17,104,59,26,18,1,184,140,99,13,25,3,37,7,85,46,29,10,0,57,17,17,0,40,40,0,43,29,14,11,3,119,28,63,0,15,0,7,6,111,23,12,30,46,0,131,102,29,446,446,0
"E01006552",2011,"Liverpool 039A","Total",1403,87,9,0,9,78,50,26,2,0,162,120,90,3,25,2,26,16,116,58,34,19,5,124,32,32,0,92,92,0,67,39,28,24,4,176,41,99,0,24,0,10,2,138,20,12,25,79,2,290,220,70,243,243,0
"E01006553",2011,"Liverpool 042A","Total",1673,170,14,0,14,156,110,38,7,1,225,162,137,8,16,1,44,19,122,73,35,14,0,57,14,14,0,43,43,0,40,28,12,11,1,104,39,40,2,12,0,2,9,59,15,9,15,19,1,63,46,17,833,833,0
"E01006554",2011,"Liverpool 048F","Total",1500,191,23,2,21,168,120,24,21,3,241,179,131,14,30,4,47,15,80,38,31,8,3,76,24,24,0,52,50,2,35,27,8,8,0,86,22,47,3,5,0,6,3,68,22,5,8,32,1,91,59,32,632,632,0
"E01006556",2011,"Liverpool 039B","Total",1510,38,4,0,4,34,22,6,6,0,130,82,73,3,5,1,35,13,113,50,40,18,5,101,33,33,0,68,68,0,82,54,28,26,2,199,57,102,12,13,0,12,3,182,37,18,27,100,0,415,330,85,250,250,0
"E01006557",2011,"Liverpool 038B","Total",1874,78,10,0,10,68,44,13,9,2,154,122,99,12,10,1,23,9,88,54,25,8,1,48,14,14,0,34,33,1,36,23,13,10,3,122,50,48,6,7,0,7,4,71,28,6,7,30,0,72,54,18,1205,1205,0
"E01006558",2011,"Liverpool 018B","Total",1057,15,2,0,2,13,8,5,0,0,116,62,54,5,2,1,30,24,110,63,37,5,5,49,13,13,0,36,35,1,69,42,27,26,1,207,48,95,17,19,1,21,6,237,35,21,44,137,0,194,133,61,60,60,0
"E01006560",2011,"Liverpool 023A","Total",1419,19,3,0,3,16,14,2,0,0,93,59,52,5,2,0,18,16,127,77,32,15,3,62,18,18,0,44,44,0,88,56,32,26,6,312,75,121,30,53,1,28,4,347,38,46,66,196,1,272,195,77,99,99,0
"E01006562",2011,"Liverpool 018E","Total",1109,17,6,0,6,11,4,6,1,0,116,51,42,5,2,2,41,24,121,66,38,15,2,64,11,11,0,53,53,0,50,28,22,19,3,227,63,109,6,32,0,10,7,222,34,27,43,118,0,195,150,45,97,97,0
"E01006563",2011,"Liverpool 024B","Total",1224,15,6,0,6,9,5,4,0,0,129,82,77,3,1,1,28,19,127,76,35,11,5,64,16,16,0,48,48,0,69,42,27,19,8,225,55,120,6,34,0,9,1,247,27,26,63,131,0,260,186,74,88,88,0
"E01006564",2011,"Liverpool 023B","Total",1354,31,12,0,12,19,13,5,1,0,150,99,83,7,9,0,34,17,173,109,46,13,5,80,12,12,0,68,68,0,120,61,59,49,10,287,66,112,17,77,1,12,2,282,40,28,55,157,2,147,98,49,84,84,0
"E01006565",2011,"Liverpool 029A","Total",1119,38,6,0,6,32,15,15,2,0,184,118,103,12,2,1,41,25,182,109,46,21,6,67,10,10,0,57,57,0,75,41,34,28,6,210,58,95,13,21,1,20,2,164,28,13,46,77,0,117,88,29,82,82,0
"E01006566",2011,"Liverpool 032A","Total",1078,74,13,0,13,61,38,17,6,0,221,158,139,9,9,1,43,20,157,102,37,11,7,86,16,16,0,70,70,0,80,48,32,28,4,181,47,77,8,22,0,20,7,119,17,14,38,50,0,61,41,20,99,99,0
"E01006567",2011,"Liverpool 026A","Total",1237,87,18,0,18,69,47,18,4,0,164,101,89,9,3,0,34,29,161,102,48,8,3,106,29,29,0,77,76,1,78,45,33,30,3,190,57,75,11,31,0,16,0,202,20,22,71,89,0,151,111,40,98,98,0
"E01006568",2011,"Liverpool 026B","Total",1145,80,19,0,19,61,38,20,3,0,244,171,148,10,11,2,46,27,217,130,59,24,4,61,11,11,0,50,49,1,73,48,25,21,4,170,46,73,10,24,0,11,6,113,14,12,43,44,0,100,64,36,87,87,0
"E01006569",2011,"Liverpool 029B","Total",1035,52,10,0,10,42,28,11,2,1,136,77,66,3,8,0,34,25,133,84,35,14,0,78,17,17,0,61,59,2,75,42,33,27,6,194,52,84,9,31,0,15,3,164,22,17,48,76,1,121,80,41,82,82,0
"E01006570",2011,"Liverpool 026C","Total",1082,91,16,0,16,75,42,30,3,0,273,173,144,13,15,1,57,43,170,100,50,11,9,91,29,29,0,62,62,0,60,27,33,27,6,147,42,64,11,14,0,12,4,101,22,12,33,33,1,51,35,16,98,98,0
"E01006571",2011,"Liverpool 026D","Total",1050,26,9,0,9,17,7,7,2,1,146,89,84,4,1,0,31,26,138,86,27,19,6,71,13,13,0,58,58,0,59,37,22,19,3,201,67,87,9,18,2,14,4,200,23,16,64,95,2,124,97,27,85,85,0
"E01006572",2011,"Liverpool 025A","Total",834,12,4,0,4,8,6,2,0,0,104,63,53,7,2,1,23,18,95,57,22,11,5,52,7,6,1,45,44,1,71,52,19,17,2,194,58,87,9,22,2,14,2,132,21,15,31,64,1,111,82,29,63,63,0
"E01006573",2011,"Liverpool 029C","Total",1055,47,11,0,11,36,23,13,0,0,167,94,91,0,3,0,40,33,171,109,38,21,3,68,4,4,0,64,64,0,69,36,33,31,2,230,65,110,6,27,0,17,5,143,22,13,29,79,0,95,57,38,65,65,0
"E01006574",2011,"Liverpool 025B","Total",966,30,7,0,7,23,13,10,0,0,134,87,83,2,2,0,32,15,122,60,40,17,5,79,28,28,0,51,50,1,68,35,33,29,4,212,64,81,10,35,0,16,6,141,13,13,41,74,0,105,72,33,75,75,0
"E01006575",2011,"Liverpool 034A","Total",956,75,13,0,13,62,40,16,6,0,199,142,125,11,5,1,35,22,147,85,40,15,7,77,19,19,0,58,58,0,68,37,31,26,5,159,46,53,9,24,0,24,3,89,11,10,22,45,1,52,36,16,90,90,0
"E01006576",2011,"Liverpool 034B","Total",1264,119,31,0,31,88,45,29,11,3,355,222,184,20,16,2,75,58,214,134,53,14,13,95,23,23,0,72,72,0,79,45,34,28,6,160,52,58,13,13,0,18,6,115,15,11,46,43,0,36,22,14,91,91,0
"E01006577",2011,"Liverpool 034C","Total",1106,150,27,0,27,123,82,21,17,3,321,210,180,17,9,4,61,50,187,117,44,18,8,79,16,16,0,63,63,0,60,32,28,28,0,110,40,31,6,14,2,11,6,71,21,5,17,28,0,24,16,8,104,104,0
"E01006578",2011,"Liverpool 036A","Total",1020,100,24,0,24,76,40,26,9,1,266,185,155,19,8,3,47,34,174,111,49,9,5,83,20,20,0,63,63,0,78,31,47,44,3,136,44,50,6,14,0,17,5,71,14,9,23,24,1,36,22,14,76,76,0
"E01006579",2011,"Liverpool 034D","Total",1177,147,22,0,22,125,84,34,6,1,315,206,184,12,8,2,71,38,195,135,44,11,5,102,30,30,0,72,72,0,69,32,37,31,6,145,59,38,10,17,0,16,5,80,18,6,32,24,0,42,27,15,82,82,0
"E01006580",2011,"Liverpool 036B","Total",1015,132,29,0,29,103,63,24,14,2,302,199,161,17,18,3,58,45,159,109,36,10,4,80,25,25,0,55,55,0,55,25,30,27,3,104,30,32,4,12,1,16,9,52,6,4,21,21,0,32,19,13,99,99,0
"E01006581",2011,"Liverpool 036C","Total",1152,163,29,0,29,134,87,36,10,1,323,224,184,24,13,3,61,38,202,140,46,13,3,77,29,29,0,48,48,0,67,28,39,35,4,107,34,36,5,13,0,14,5,59,15,5,26,13,0,34,24,10,120,120,0
"E01006582",2011,"Liverpool 041A","Total",1192,184,38,0,38,146,87,35,22,2,354,251,223,11,16,1,58,45,173,117,42,9,5,90,25,25,0,65,64,1,57,22,35,31,4,99,34,37,3,9,1,8,7,51,22,3,13,13,0,34,24,10,150,150,0
"E01006583",2011,"Liverpool 047C","Total",1408,155,34,0,34,121,65,30,21,5,281,195,150,17,25,3,53,33,155,117,24,10,4,93,40,40,0,53,53,0,27,17,10,9,1,61,29,13,1,9,0,6,3,31,8,3,11,9,0,33,22,11,572,572,0
"E01006584",2011,"Liverpool 034E","Total",1042,61,13,0,13,48,32,13,1,2,256,175,147,19,6,3,46,35,190,132,41,13,4,87,16,16,0,71,71,0,83,39,44,36,8,134,35,57,5,20,1,9,7,98,14,7,42,35,0,56,28,28,77,77,0
"E01006585",2011,"Liverpool 032B","Total",1005,47,13,0,13,34,22,8,4,0,144,78,65,9,4,0,28,38,134,79,31,20,4,63,22,22,0,41,41,0,68,34,34,28,6,199,57,91,4,25,2,16,4,170,25,18,45,81,1,99,72,27,81,81,0
"E01006586",2011,"Liverpool 032C","Total",1460,112,10,0,10,102,68,25,9,0,290,208,177,11,17,3,42,40,188,119,50,11,8,118,24,24,0,94,94,0,90,54,36,34,2,235,58,113,14,21,0,20,9,146,23,13,51,58,1,134,94,40,147,147,0
"E01006587",2011,"Liverpool 032D","Total",1280,121,31,0,31,90,56,24,8,2,293,197,165,17,12,3,46,50,199,117,60,19,3,111,40,40,0,71,71,0,58,36,22,21,1,167,50,76,8,15,0,15,3,142,30,13,39,60,0,98,68,30,91,91,0
"E01006588",2011,"Liverpool 042C","Total",1264,149,24,0,24,125,85,27,11,2,303,230,183,19,26,2,40,33,171,105,45,19,2,84,22,22,0,62,62,0,59,37,22,18,4,148,54,51,9,16,1,12,5,93,21,8,36,26,2,69,44,25,188,188,0
"E01006589",2011,"Liverpool 041B","Total",1116,139,31,0,31,108,67,29,11,1,293,216,183,15,14,4,48,29,194,131,44,12,7,87,20,20,0,67,66,1,72,31,41,39,2,118,37,47,5,10,0,17,2,75,15,5,28,27,0,31,24,7,107,107,0
"E01006590",2011,"Liverpool 042D","Total",1369,154,19,0,19,135,93,25,14,3,342,259,223,12,23,1,55,28,186,109,51,20,6,54,18,17,1,36,36,0,83,49,34,26,8,125,45,41,0,9,0,21,9,90,17,13,18,41,1,52,30,22,283,283,0
"E01006591",2011,"Liverpool 041C","Total",1289,206,36,0,36,170,120,31,19,0,381,299,243,29,23,4,52,30,160,112,37,6,5,71,18,18,0,53,53,0,43,28,15,14,1,109,36,43,3,9,0,13,5,44,11,4,13,15,1,48,28,20,227,227,0
"E01006592",2011,"Liverpool 041D","Total",1136,273,32,0,32,241,140,41,58,2,330,251,211,9,25,6,51,28,130,82,34,9,5,98,29,29,0,69,69,0,28,16,12,8,4,69,22,24,2,12,0,7,2,41,15,6,9,11,0,28,15,13,139,139,0
"E01006593",2011,"Liverpool 042E","Total",1255,154,25,0,25,129,97,27,3,2,319,246,214,8,21,3,48,25,165,89,52,17,7,65,14,13,1,51,51,0,64,50,14,11,3,102,42,41,1,0,0,13,5,74,21,3,26,24,0,38,25,13,274,274,0
"E01006594",2011,"Liverpool 047D","Total",1054,214,32,3,29,182,85,44,47,6,313,227,179,24,20,4,46,40,152,109,28,14,1,101,38,38,0,63,63,0,40,19,21,16,5,73,29,19,3,3,0,14,5,31,10,0,9,11,1,26,22,4,104,104,0
"E01006595",2011,"Liverpool 049B","Total",1313,178,26,0,26,152,103,36,8,5,340,266,232,26,8,0,39,35,222,147,55,14,6,80,20,20,0,60,60,0,76,40,36,33,3,146,56,45,11,10,1,18,5,101,17,6,34,44,0,58,35,23,112,112,0
"E01006596",2011,"Liverpool 049C","Total",1095,160,30,0,30,130,83,39,8,0,328,252,219,13,17,3,42,34,148,84,49,11,4,71,13,13,0,58,58,0,54,21,33,30,3,114,41,35,6,13,0,13,6,73,16,3,27,26,1,48,32,16,99,99,0
"E01006597",2011,"Liverpool 041E","Total",1232,270,55,0,55,215,126,37,48,4,386,284,245,10,25,4,65,37,148,103,35,6,4,94,28,28,0,66,66,0,53,37,16,14,2,94,32,37,6,4,2,10,3,35,9,3,12,11,0,33,20,13,119,119,0
