"lsoa11cd","date","lsoa11nm","Rural Urban","Proficiency in English: All categories: Proficiency in English; measures: Value","Proficiency in English: Main language is English (English or Welsh in Wales); measures: Value","Proficiency in English: Main language is not English (English or Welsh in Wales): Can speak English very well; measures: Value","Proficiency in English: Main language is not English (English or Welsh in Wales): Can speak English well; measures: Value","Proficiency in English: Main language is not English (English or Welsh in Wales): Cannot speak English well; measures: Value","Proficiency in English: Main language is not English (English or Welsh in Wales): Cannot speak English; measures: Value"
"E01006587",2011,"Liverpool 032D","Total",1575,1504,32,23,15,1
"E01006588",2011,"Liverpool 042C","Total",1527,1455,30,26,16,0
"E01006589",2011,"Liverpool 041B","Total",1455,1426,15,8,6,0
"E01006590",2011,"Liverpool 042D","Total",1604,1541,35,19,8,1
"E01006591",2011,"Liverpool 041C","Total",1569,1520,34,12,2,1
"E01006592",2011,"Liverpool 041D","Total",1541,1493,25,18,4,1
"E01006593",2011,"Liverpool 042E","Total",1476,1416,40,15,3,2
"E01006594",2011,"Liverpool 047D","Total",1381,1340,21,12,7,1
"E01006595",2011,"Liverpool 049B","Total",1670,1632,13,21,4,0
"E01006596",2011,"Liverpool 049C","Total",1410,1344,23,26,13,4
"E01006597",2011,"Liverpool 041E","Total",1614,1573,26,11,3,1
"E01006598",2011,"Liverpool 010A","Total",1303,1267,15,15,5,1
"E01006599",2011,"Liverpool 010B","Total",1040,992,18,13,17,0
"E01006600",2011,"Liverpool 011A","Total",1369,1355,6,7,0,1
"E01006603",2011,"Liverpool 011B","Total",1376,1365,4,1,6,0
"E01006604",2011,"Liverpool 016A","Total",1330,1314,8,8,0,0
"E01006605",2011,"Liverpool 016B","Total",1500,1475,14,7,4,0
"E01006606",2011,"Liverpool 020A","Total",1468,1438,13,11,4,2
"E01006607",2011,"Liverpool 008A","Total",1491,1476,6,5,2,2
"E01006608",2011,"Liverpool 009A","Total",1155,1145,1,6,3,0
"E01006609",2011,"Liverpool 009B","Total",1238,1207,2,19,9,1
"E01006610",2011,"Liverpool 009C","Total",1352,1331,5,8,6,2
"E01006611",2011,"Liverpool 012A","Total",1219,1183,10,11,10,5
"E01006612",2011,"Liverpool 008B","Total",1435,1427,2,4,1,1
"E01006613",2011,"Liverpool 009D","Total",1322,1308,5,2,4,3
"E01006614",2011,"Liverpool 012B","Total",1264,1233,7,9,14,1
"E01006615",2011,"Liverpool 012C","Total",1236,1215,4,6,11,0
"E01006616",2011,"Liverpool 015D","Total",1387,1361,6,14,4,2
"E01006617",2011,"Liverpool 021A","Total",1373,1349,13,10,1,0
"E01006618",2011,"Liverpool 016C","Total",1600,1594,1,2,3,0
"E01006619",2011,"Liverpool 021B","Total",1549,1524,14,7,4,0
"E01006620",2011,"Liverpool 021C","Total",1386,1371,6,4,5,0
"E01006621",2011,"Liverpool 021D","Total",1436,1397,20,14,5,0
"E01006622",2011,"Liverpool 021E","Total",1488,1479,4,4,1,0
"E01006623",2011,"Liverpool 013A","Total",1440,1380,19,16,21,4
"E01006624",2011,"Liverpool 013B","Total",1502,1445,19,14,22,2
"E01006625",2011,"Liverpool 016D","Total",1385,1371,4,3,7,0
"E01006626",2011,"Liverpool 016E","Total",1413,1385,9,13,5,1
"E01006627",2011,"Liverpool 013C","Total",1334,1313,9,9,3,0
"E01006628",2011,"Liverpool 052D","Total",1827,1738,54,22,13,0
"E01006629",2011,"Liverpool 052E","Total",1222,1182,23,11,6,0
"E01006630",2011,"Liverpool 044B","Total",1284,1223,20,20,14,7
"E01006632",2011,"Liverpool 044C","Total",1769,1640,40,70,8,11
"E01006633",2011,"Liverpool 050B","Total",1382,1334,11,22,9,6
"E01006637",2011,"Liverpool 017A","Total",1496,1389,48,32,21,6
"E01006638",2011,"Liverpool 017B","Total",1151,1097,19,22,13,0
"E01006639",2011,"Liverpool 017C","Total",1433,1408,7,12,5,1
"E01006640",2011,"Liverpool 021F","Total",1813,1745,30,25,12,1
"E01006641",2011,"Liverpool 025C","Total",1619,1490,68,37,16,8
"E01006642",2011,"Liverpool 025D","Total",1248,1215,14,12,6,1
"E01006643",2011,"Liverpool 025E","Total",1727,1675,29,12,8,3
"E01006644",2011,"Liverpool 017D","Total",1954,1904,21,14,9,6
"E01006645",2011,"Liverpool 017E","Total",1368,1339,15,8,6,0
"E01006646",2011,"Liverpool 023C","Total",1847,1658,91,72,21,5
"E01006647",2011,"Liverpool 024C","Total",1372,1333,8,15,13,3
"E01006648",2011,"Liverpool 023D","Total",2118,1937,93,66,20,2
"E01006651",2011,"Liverpool 001A","Total",1557,1530,12,8,7,0
"E01006652",2011,"Liverpool 002A","Total",1451,1409,19,16,5,2
"E01006653",2011,"Liverpool 001B","Total",1455,1425,15,10,3,2
"E01006654",2011,"Liverpool 005A","Total",1460,1419,18,14,6,3
"E01006655",2011,"Liverpool 001C","Total",1693,1610,59,16,8,0
"E01006656",2011,"Liverpool 002B","Total",1416,1403,4,6,2,1
"E01006657",2011,"Liverpool 002C","Total",1152,1141,4,3,3,1
"E01006658",2011,"Liverpool 001D","Total",1265,1227,23,9,6,0
"E01006659",2011,"Liverpool 005B","Total",1729,1630,37,43,17,2
"E01006660",2011,"Liverpool 001E","Total",1380,1296,57,23,2,2
"E01006661",2011,"Liverpool 004A","Total",1602,1563,15,8,12,4
"E01006662",2011,"Liverpool 004B","Total",1678,1618,26,25,7,2
"E01006663",2011,"Liverpool 004C","Total",1097,1079,11,2,4,1
"E01006664",2011,"Liverpool 004D","Total",1711,1602,22,28,53,6
"E01006665",2011,"Liverpool 007A","Total",1483,1461,14,4,3,1
"E01006666",2011,"Liverpool 007B","Total",1453,1389,24,19,18,3
"E01006667",2011,"Liverpool 007C","Total",1406,1372,12,13,5,4
"E01006668",2011,"Liverpool 007D","Total",1469,1434,17,13,3,2
"E01006669",2011,"Liverpool 004E","Total",1405,1354,13,14,20,4
"E01006670",2011,"Liverpool 007E","Total",1478,1424,9,26,17,2
"E01006671",2011,"Liverpool 013D","Total",1312,1258,15,17,18,4
"E01006672",2011,"Liverpool 010E","Total",1848,1753,31,38,22,4
"E01006673",2011,"Liverpool 037D","Total",1839,1314,194,182,110,39
"E01006674",2011,"Liverpool 039C","Total",1768,1187,211,241,112,17
"E01006675",2011,"Liverpool 043C","Total",1786,1482,118,128,45,13
"E01006676",2011,"Liverpool 044D","Total",1652,1307,152,120,63,10
"E01006677",2011,"Liverpool 043D","Total",974,798,53,53,55,15
"E01006678",2011,"Liverpool 044E","Total",2062,1893,56,80,29,4
"E01006679",2011,"Liverpool 039D","Total",2091,1358,230,276,193,34
"E01006680",2011,"Liverpool 053B","Total",1526,1482,26,9,7,2
"E01006681",2011,"Liverpool 054D","Total",1535,1487,12,23,12,1
"E01006682",2011,"Liverpool 053C","Total",1273,1252,13,5,3,0
"E01006683",2011,"Liverpool 053D","Total",1476,1438,16,15,5,2
"E01006684",2011,"Liverpool 056B","Total",2052,1990,39,13,8,2
"E01006685",2011,"Liverpool 056C","Total",1458,1424,20,9,5,0
"E01006686",2011,"Liverpool 053E","Total",1403,1384,10,6,2,1
"E01006687",2011,"Liverpool 056D","Total",1870,1799,43,15,12,1
"E01006688",2011,"Liverpool 056E","Total",1477,1425,37,7,7,1
"E01006689",2011,"Liverpool 049D","Total",1605,1581,18,6,0,0
"E01006690",2011,"Liverpool 028A","Total",1427,1176,92,110,40,9
"E01006691",2011,"Liverpool 030A","Total",1435,1124,84,136,72,19
"E01006692",2011,"Liverpool 028B","Total",2085,1829,99,104,49,4
"E01006693",2011,"Liverpool 024D","Total",1483,1389,24,44,19,7
"E01006694",2011,"Liverpool 030B","Total",1760,1484,103,99,65,9
"E01006695",2011,"Liverpool 028C","Total",1764,1483,94,131,43,13
"E01006696",2011,"Liverpool 030C","Total",1694,1439,95,106,51,3
"E01006697",2011,"Liverpool 030D","Total",1732,1417,107,126,70,12
"E01006698",2011,"Liverpool 012D","Total",1617,1601,6,4,5,1
"E01006699",2011,"Liverpool 014A","Total",1530,1450,22,29,24,5
"E01006700",2011,"Liverpool 012E","Total",1396,1355,14,14,9,4
"E01006701",2011,"Liverpool 014B","Total",1333,1287,20,10,13,3
"E01006702",2011,"Liverpool 014C","Total",1541,1479,27,16,18,1
"E01006703",2011,"Liverpool 014D","Total",1518,1450,41,15,12,0
"E01006705",2011,"Liverpool 009E","Total",1337,1291,18,9,17,2
"E01006706",2011,"Liverpool 045A","Total",1314,1304,4,1,5,0
"E01006707",2011,"Liverpool 045B","Total",1277,1266,7,2,2,0
"E01006708",2011,"Liverpool 045C","Total",1729,1700,12,10,5,2
"E01006709",2011,"Liverpool 040A","Total",1385,1378,5,0,2,0
"E01006710",2011,"Liverpool 045D","Total",1426,1423,0,1,2,0
"E01006711",2011,"Liverpool 027A","Total",1473,1403,27,34,8,1
"E01006712",2011,"Liverpool 029D","Total",1274,1234,21,10,7,2
"E01006713",2011,"Liverpool 029E","Total",1312,1284,11,16,0,1
"E01006716",2011,"Liverpool 032E","Total",1498,1403,29,26,37,3
"E01006717",2011,"Liverpool 027D","Total",1399,1348,24,15,9,3
"E01006718",2011,"Liverpool 027E","Total",1535,1486,13,25,9,2
"E01006719",2011,"Liverpool 027F","Total",1473,1449,4,13,5,2
"E01006720",2011,"Liverpool 035A","Total",1993,1482,186,162,143,20
"E01006721",2011,"Liverpool 038C","Total",1574,1395,69,77,25,8
"E01006722",2011,"Liverpool 038D","Total",1754,1494,120,75,50,15
"E01006723",2011,"Liverpool 038E","Total",1831,1646,91,69,20,5
"E01006724",2011,"Liverpool 038F","Total",1764,1653,67,31,10,3
"E01006725",2011,"Liverpool 035B","Total",1473,1398,23,25,23,4
"E01006726",2011,"Liverpool 035C","Total",1506,1298,77,82,39,10
"E01006727",2011,"Liverpool 035D","Total",1382,1303,41,25,11,2
"E01006728",2011,"Liverpool 035E","Total",1545,1422,42,45,29,7
"E01006729",2011,"Liverpool 008C","Total",1330,1308,9,10,3,0
"E01006730",2011,"Liverpool 011C","Total",1282,1253,17,6,6,0
"E01006731",2011,"Liverpool 011D","Total",1158,1122,8,13,11,4
"E01006732",2011,"Liverpool 011E","Total",1553,1506,18,19,8,2
"E01006734",2011,"Liverpool 005C","Total",1331,1243,40,26,19,3
"E01006735",2011,"Liverpool 005D","Total",1252,1222,19,9,2,0
"E01006736",2011,"Liverpool 005E","Total",1408,1355,22,20,11,0
"E01006737",2011,"Liverpool 005F","Total",1384,1360,10,9,1,4
"E01006738",2011,"Liverpool 058A","Total",1437,1429,3,3,2,0
"E01006739",2011,"Liverpool 058B","Total",1690,1642,24,12,11,1
"E01006740",2011,"Liverpool 057A","Total",1231,1124,39,47,20,1
"E01006741",2011,"Liverpool 058C","Total",1754,1736,12,5,1,0
"E01006742",2011,"Liverpool 057B","Total",1336,1310,6,9,9,2
"E01006743",2011,"Liverpool 058D","Total",2062,1938,52,47,18,7
"E01006744",2011,"Liverpool 057C","Total",1416,1379,24,8,5,0
"E01006745",2011,"Liverpool 057D","Total",1801,1701,41,44,13,2
"E01006746",2011,"Liverpool 030E","Total",1474,1297,68,86,20,3
"E01006747",2011,"Liverpool 031B","Total",3522,2732,246,484,57,3
"E01006748",2011,"Liverpool 031C","Total",1903,1563,148,162,29,1
"E01006751",2011,"Liverpool 031F","Total",2503,1867,178,361,87,10
"E01006752",2011,"Liverpool 035F","Total",977,759,61,112,35,10
"E01006753",2011,"Liverpool 059A","Total",1471,1451,6,11,3,0
"E01006754",2011,"Liverpool 059B","Total",1555,1434,21,50,44,6
"E01006755",2011,"Liverpool 059C","Total",1505,1461,12,20,11,1
"E01006756",2011,"Liverpool 059D","Total",1708,1600,37,39,27,5
"E01006757",2011,"Liverpool 059E","Total",1402,1358,12,14,14,4
"E01006758",2011,"Liverpool 059F","Total",1440,1399,15,14,11,1
"E01006759",2011,"Liverpool 028D","Total",1066,999,30,18,17,2
"E01006760",2011,"Liverpool 028E","Total",1565,1365,65,80,46,9
"E01006761",2011,"Liverpool 020B","Total",1600,1528,27,27,15,3
"E01006762",2011,"Liverpool 015E","Total",1627,1581,15,19,9,3
"E01006763",2011,"Liverpool 020C","Total",1405,1383,12,5,4,1
"E01006764",2011,"Liverpool 020D","Total",1455,1371,28,30,20,6
"E01006765",2011,"Liverpool 020E","Total",1427,1381,24,13,9,0
"E01006766",2011,"Liverpool 019E","Total",1199,1118,25,27,21,8
"E01006767",2011,"Liverpool 019F","Total",1679,1597,25,23,27,7
"E01006768",2011,"Liverpool 020F","Total",1327,1226,48,31,19,3
"E01006769",2011,"Liverpool 040B","Total",1237,1209,7,14,6,1
"E01006770",2011,"Liverpool 040C","Total",964,947,3,7,4,3
"E01006771",2011,"Liverpool 040D","Total",1375,1351,9,6,7,2
"E01006772",2011,"Liverpool 040E","Total",1064,1041,11,8,3,1
"E01006773",2011,"Liverpool 036D","Total",1342,1322,12,4,3,1
"E01006774",2011,"Liverpool 036E","Total",1397,1351,18,15,11,2
"E01006775",2011,"Liverpool 040F","Total",1288,1269,2,7,9,1
"E01006776",2011,"Liverpool 022B","Total",1624,1589,16,10,5,4
"E01006778",2011,"Liverpool 014E","Total",2129,2015,35,49,27,3
"E01006779",2011,"Liverpool 022D","Total",1900,1851,15,23,11,0
"E01006780",2011,"Liverpool 002D","Total",1426,1408,17,1,0,0
"E01006781",2011,"Liverpool 003A","Total",1432,1416,2,4,8,2
"E01006782",2011,"Liverpool 003B","Total",1500,1469,13,11,6,1
"E01006783",2011,"Liverpool 002E","Total",1494,1472,7,12,3,0
"E01006784",2011,"Liverpool 003C","Total",1293,1275,14,1,2,1
"E01006785",2011,"Liverpool 003D","Total",1705,1672,16,11,4,2
"E01006786",2011,"Liverpool 003E","Total",1757,1731,9,7,8,2
"E01006787",2011,"Liverpool 006A","Total",2284,2152,32,68,31,1
"E01006788",2011,"Liverpool 006B","Total",1732,1694,18,12,8,0
"E01006790",2011,"Liverpool 006C","Total",1514,1478,17,9,5,5
"E01006791",2011,"Liverpool 006D","Total",1616,1543,19,27,27,0
"E01006792",2011,"Liverpool 046A","Total",1333,1306,17,7,2,1
"E01006793",2011,"Liverpool 051A","Total",1450,1405,27,14,3,1
"E01006794",2011,"Liverpool 046B","Total",1543,1502,25,10,4,2
"E01006795",2011,"Liverpool 051B","Total",1362,1339,14,4,5,0
"E01006796",2011,"Liverpool 047E","Total",1548,1458,37,26,25,2
"E01006797",2011,"Liverpool 051C","Total",1449,1439,4,4,0,2
"E01006798",2011,"Liverpool 051D","Total",1367,1339,11,7,8,2
"E01006799",2011,"Liverpool 051E","Total",1785,1761,14,8,1,1
"E01006800",2011,"Liverpool 046C","Total",1368,1335,15,10,8,0
"E01006801",2011,"Liverpool 046D","Total",1326,1299,6,8,11,2
"E01032505",2011,"Liverpool 050F","Total",1268,1195,24,26,17,6
"E01032506",2011,"Liverpool 050G","Total",1349,1269,34,28,13,5
"E01032507",2011,"Liverpool 050H","Total",1485,1434,31,13,7,0
"E01032508",2011,"Liverpool 027G","Total",1655,1578,33,25,16,3
"E01032509",2011,"Liverpool 027H","Total",1349,1293,17,23,13,3
"E01032510",2011,"Liverpool 008F","Total",1714,1658,30,17,7,2
"E01032511",2011,"Liverpool 008G","Total",1335,1312,12,7,3,1
"E01033747",2011,"Liverpool 018F","Total",1002,941,16,27,16,2
"E01033748",2011,"Liverpool 050I","Total",1242,1138,53,33,14,4
"E01033749",2011,"Liverpool 042F","Total",1146,1069,48,25,4,0
"E01033750",2011,"Liverpool 061A","Total",1413,1272,80,46,11,4
"E01033751",2011,"Liverpool 062A","Total",1855,1721,64,58,12,0
"E01033752",2011,"Liverpool 062B","Total",1176,961,108,97,8,2
"E01033753",2011,"Liverpool 062C","Total",1035,820,112,89,14,0
"E01033754",2011,"Liverpool 061B","Total",1431,1237,104,75,12,3
"E01033755",2011,"Liverpool 062D","Total",1064,889,77,79,18,1
"E01033756",2011,"Liverpool 061C","Total",1175,876,141,144,13,1
"E01033757",2011,"Liverpool 037E","Total",1011,740,86,159,22,4
"E01033758",2011,"Liverpool 060B","Total",1719,1136,169,372,41,1
"E01033759",2011,"Liverpool 010F","Total",1091,1057,13,15,5,1
"E01033760",2011,"Liverpool 060C","Total",2112,1613,171,261,67,0
"E01033761",2011,"Liverpool 060D","Total",1362,1121,119,109,10,3
"E01033762",2011,"Liverpool 060E","Total",1783,1537,99,116,29,2
"E01033763",2011,"Liverpool 031G","Total",1509,1302,68,96,38,5
"E01033764",2011,"Liverpool 022E","Total",2144,2033,49,38,22,2
"E01033765",2011,"Liverpool 061D","Total",1300,1237,23,19,20,1
"E01033766",2011,"Liverpool 042G","Total",1047,999,23,17,5,3
"E01033767",2011,"Liverpool 050J","Total",1026,930,43,41,8,4
"E01033768",2011,"Liverpool 037F","Total",1195,1064,51,53,20,7
