"lsoa11cd","date","lsoa11nm","Rural Urban","Area/Population Density: All usual residents; measures: Value","Area/Population Density: Area Hectares; measures: Value","Area/Population Density: Density (number of persons per hectare); measures: Value"
"E01006557",2011,"Liverpool 038B","Total",2054,17.59,116.8
"E01006558",2011,"Liverpool 018B","Total",1357,10.6,128
"E01006560",2011,"Liverpool 023A","Total",1860,38.81,47.9
"E01006562",2011,"Liverpool 018E","Total",1514,13.29,113.9
"E01006563",2011,"Liverpool 024B","Total",1744,28.52,61.2
"E01006564",2011,"Liverpool 023B","Total",1721,30.35,56.7
"E01006565",2011,"Liverpool 029A","Total",1549,21.57,71.8
"E01006566",2011,"Liverpool 032A","Total",1506,18.38,81.9
"E01006567",2011,"Liverpool 026A","Total",1655,59.09,28
"E01006568",2011,"Liverpool 026B","Total",1617,32.94,49.1
"E01006569",2011,"Liverpool 029B","Total",1429,34.9,40.9
"E01006570",2011,"Liverpool 026C","Total",1479,43.92,33.7
"E01006571",2011,"Liverpool 026D","Total",1470,40.33,36.4
"E01006572",2011,"Liverpool 025A","Total",1207,13.82,87.3
"E01006573",2011,"Liverpool 029C","Total",1501,14.33,104.7
"E01006574",2011,"Liverpool 025B","Total",1388,20.06,69.2
"E01006575",2011,"Liverpool 034A","Total",1294,25.64,50.5
"E01006576",2011,"Liverpool 034B","Total",1693,33.04,51.2
"E01006577",2011,"Liverpool 034C","Total",1503,37.73,39.8
"E01006578",2011,"Liverpool 036A","Total",1380,21.62,63.8
"E01006579",2011,"Liverpool 034D","Total",1643,27.28,60.2
"E01006580",2011,"Liverpool 036B","Total",1335,37.8,35.3
"E01006581",2011,"Liverpool 036C","Total",1559,23.56,66.2
"E01006582",2011,"Liverpool 041A","Total",1642,48.26,34
"E01006583",2011,"Liverpool 047C","Total",1758,74.43,23.6
"E01006584",2011,"Liverpool 034E","Total",1393,29.37,47.4
"E01006585",2011,"Liverpool 032B","Total",1354,23.58,57.4
"E01006586",2011,"Liverpool 032C","Total",1899,36.75,51.7
"E01006587",2011,"Liverpool 032D","Total",1624,28.52,56.9
"E01006588",2011,"Liverpool 042C","Total",1569,36.27,43.3
"E01006589",2011,"Liverpool 041B","Total",1518,28.42,53.4
"E01006590",2011,"Liverpool 042D","Total",1642,26.67,61.6
"E01006591",2011,"Liverpool 041C","Total",1633,18.63,87.7
"E01006592",2011,"Liverpool 041D","Total",1565,37.63,41.6
"E01006593",2011,"Liverpool 042E","Total",1541,18.17,84.8
"E01006594",2011,"Liverpool 047D","Total",1410,29.77,47.4
"E01006595",2011,"Liverpool 049B","Total",1745,19.41,89.9
"E01006596",2011,"Liverpool 049C","Total",1451,24.22,59.9
"E01006597",2011,"Liverpool 041E","Total",1667,29.57,56.4
"E01006598",2011,"Liverpool 010A","Total",1361,21.62,63
"E01006599",2011,"Liverpool 010B","Total",1121,20.12,55.7
"E01006600",2011,"Liverpool 011A","Total",1407,24.51,57.4
"E01006603",2011,"Liverpool 011B","Total",1410,27.01,52.2
"E01006604",2011,"Liverpool 016A","Total",1367,31.42,43.5
"E01006605",2011,"Liverpool 016B","Total",1531,28.25,54.2
"E01006606",2011,"Liverpool 020A","Total",1521,45.21,33.6
"E01006607",2011,"Liverpool 008A","Total",1531,20.22,75.7
"E01006608",2011,"Liverpool 009A","Total",1215,29.87,40.7
"E01006609",2011,"Liverpool 009B","Total",1283,12.99,98.8
"E01006610",2011,"Liverpool 009C","Total",1397,17.72,78.8
"E01006611",2011,"Liverpool 012A","Total",1291,8.61,149.9
"E01006612",2011,"Liverpool 008B","Total",1495,28.57,52.3
"E01006613",2011,"Liverpool 009D","Total",1360,60.43,22.5
"E01006614",2011,"Liverpool 012B","Total",1322,7.94,166.5
"E01006615",2011,"Liverpool 012C","Total",1302,15.02,86.7
"E01006616",2011,"Liverpool 015D","Total",1428,26.79,53.3
"E01006617",2011,"Liverpool 021A","Total",1421,37.4,38
"E01006618",2011,"Liverpool 016C","Total",1639,28.44,57.6
"E01006619",2011,"Liverpool 021B","Total",1599,38.34,41.7
"E01006620",2011,"Liverpool 021C","Total",1417,23.03,61.5
"E01006621",2011,"Liverpool 021D","Total",1468,65.01,22.6
"E01006622",2011,"Liverpool 021E","Total",1519,21.6,70.3
"E01006623",2011,"Liverpool 013A","Total",1462,47.1,31
"E01006624",2011,"Liverpool 013B","Total",1556,40.82,38.1
"E01006625",2011,"Liverpool 016D","Total",1416,21.95,64.5
"E01006626",2011,"Liverpool 016E","Total",1448,25.43,56.9
"E01006627",2011,"Liverpool 013C","Total",1378,111.73,12.3
"E01006628",2011,"Liverpool 052D","Total",1874,55.94,33.5
"E01006629",2011,"Liverpool 052E","Total",1255,25.36,49.5
"E01006630",2011,"Liverpool 044B","Total",1338,32.98,40.6
"E01006632",2011,"Liverpool 044C","Total",1842,20.31,90.7
"E01006633",2011,"Liverpool 050B","Total",1432,21.19,67.6
"E01006637",2011,"Liverpool 017A","Total",1596,23.12,69
"E01006638",2011,"Liverpool 017B","Total",1219,22.09,55.2
"E01006639",2011,"Liverpool 017C","Total",1509,40.59,37.2
"E01006640",2011,"Liverpool 021F","Total",1880,61.71,30.5
"E01006641",2011,"Liverpool 025C","Total",1740,18.53,93.9
"E01006642",2011,"Liverpool 025D","Total",1290,18.6,69.4
"E01006643",2011,"Liverpool 025E","Total",1822,21.92,83.1
"E01006644",2011,"Liverpool 017D","Total",2040,38.14,53.5
"E01006645",2011,"Liverpool 017E","Total",1424,31.86,44.7
"E01006646",2011,"Liverpool 023C","Total",1899,69.03,27.5
"E01006647",2011,"Liverpool 024C","Total",1422,34.42,41.3
"E01006648",2011,"Liverpool 023D","Total",2175,66.46,32.7
"E01006651",2011,"Liverpool 001A","Total",1642,29.93,54.9
"E01006652",2011,"Liverpool 002A","Total",1505,23.81,63.2
"E01006653",2011,"Liverpool 001B","Total",1520,42.68,35.6
"E01006654",2011,"Liverpool 005A","Total",1513,63.68,23.8
"E01006655",2011,"Liverpool 001C","Total",1758,38.81,45.3
"E01006656",2011,"Liverpool 002B","Total",1493,25.69,58.1
"E01006657",2011,"Liverpool 002C","Total",1211,13.12,92.3
"E01006658",2011,"Liverpool 001D","Total",1300,17.19,75.6
"E01006659",2011,"Liverpool 005B","Total",1765,161.04,11
"E01006660",2011,"Liverpool 001E","Total",1433,98.06,14.6
"E01006661",2011,"Liverpool 004A","Total",1663,33.1,50.2
"E01006662",2011,"Liverpool 004B","Total",1775,89.27,19.9
"E01006663",2011,"Liverpool 004C","Total",1153,112.79,10.2
"E01006664",2011,"Liverpool 004D","Total",1795,31.57,56.9
"E01006665",2011,"Liverpool 007A","Total",1555,70.47,22.1
"E01006666",2011,"Liverpool 007B","Total",1504,23.46,64.1
"E01006667",2011,"Liverpool 007C","Total",1453,53.83,27
"E01006668",2011,"Liverpool 007D","Total",1534,23.38,65.6
"E01006669",2011,"Liverpool 004E","Total",1470,22.49,65.4
"E01006670",2011,"Liverpool 007E","Total",1526,65,23.5
"E01006671",2011,"Liverpool 013D","Total",1355,90.51,15
"E01006672",2011,"Liverpool 010E","Total",1955,36.59,53.4
"E01006673",2011,"Liverpool 037D","Total",1937,29.13,66.5
"E01006674",2011,"Liverpool 039C","Total",1885,20.66,91.2
"E01006675",2011,"Liverpool 043C","Total",1824,48.76,37.4
"E01006676",2011,"Liverpool 044D","Total",1753,14.88,117.8
"E01006677",2011,"Liverpool 043D","Total",1040,12.9,80.6
"E01006678",2011,"Liverpool 044E","Total",2127,33.43,63.6
"E01006679",2011,"Liverpool 039D","Total",2232,34.73,64.3
"E01006680",2011,"Liverpool 053B","Total",1569,44.54,35.2
"E01006681",2011,"Liverpool 054D","Total",1585,35.16,45.1
"E01006682",2011,"Liverpool 053C","Total",1310,21.61,60.6
"E01006683",2011,"Liverpool 053D","Total",1510,25.91,58.3
"E01006684",2011,"Liverpool 056B","Total",2138,62.84,34
"E01006685",2011,"Liverpool 056C","Total",1484,29.11,51
"E01006686",2011,"Liverpool 053E","Total",1433,19.14,74.9
"E01006687",2011,"Liverpool 056D","Total",1952,85.59,22.8
"E01006688",2011,"Liverpool 056E","Total",1524,25.09,60.7
"E01006689",2011,"Liverpool 049D","Total",1651,42.74,38.6
"E01006690",2011,"Liverpool 028A","Total",1492,79.9,18.7
"E01006691",2011,"Liverpool 030A","Total",1503,18.92,79.4
"E01006692",2011,"Liverpool 028B","Total",2180,53.5,40.7
"E01006693",2011,"Liverpool 024D","Total",1511,30.89,48.9
"E01006694",2011,"Liverpool 030B","Total",1864,13.15,141.7
"E01006695",2011,"Liverpool 028C","Total",1821,16.14,112.8
"E01006696",2011,"Liverpool 030C","Total",1744,20.77,84
"E01006697",2011,"Liverpool 030D","Total",1845,12.79,144.3
"E01006698",2011,"Liverpool 012D","Total",1716,13.51,127
"E01006699",2011,"Liverpool 014A","Total",1594,19.64,81.2
"E01006700",2011,"Liverpool 012E","Total",1438,14.63,98.3
"E01006701",2011,"Liverpool 014B","Total",1380,25.01,55.2
"E01006702",2011,"Liverpool 014C","Total",1618,19.55,82.8
"E01006703",2011,"Liverpool 014D","Total",1561,25.73,60.7
"E01006705",2011,"Liverpool 009E","Total",1409,13.4,105.1
"E01006706",2011,"Liverpool 045A","Total",1346,59,22.8
"E01006707",2011,"Liverpool 045B","Total",1323,62.87,21
"E01006708",2011,"Liverpool 045C","Total",1805,118.61,15.2
"E01006709",2011,"Liverpool 040A","Total",1438,24.13,59.6
"E01006710",2011,"Liverpool 045D","Total",1496,22.82,65.6
"E01006711",2011,"Liverpool 027A","Total",1538,62.76,24.5
"E01006712",2011,"Liverpool 029D","Total",1339,11.84,113.1
"E01006713",2011,"Liverpool 029E","Total",1377,9.95,138.4
"E01006716",2011,"Liverpool 032E","Total",1589,27.78,57.2
"E01006717",2011,"Liverpool 027D","Total",1436,15.64,91.8
"E01006718",2011,"Liverpool 027E","Total",1587,15.27,103.9
"E01006719",2011,"Liverpool 027F","Total",1535,17.71,86.7
"E01006720",2011,"Liverpool 035A","Total",2108,53.47,39.4
"E01006721",2011,"Liverpool 038C","Total",1655,19.41,85.3
"E01006722",2011,"Liverpool 038D","Total",1793,10.3,174.1
"E01006723",2011,"Liverpool 038E","Total",1875,12.4,151.2
"E01006724",2011,"Liverpool 038F","Total",1790,28.09,63.7
"E01006725",2011,"Liverpool 035B","Total",1537,26.66,57.7
"E01006726",2011,"Liverpool 035C","Total",1565,9.07,172.5
"E01006727",2011,"Liverpool 035D","Total",1441,9.65,149.3
"E01006728",2011,"Liverpool 035E","Total",1623,10.91,148.8
"E01006729",2011,"Liverpool 008C","Total",1400,17.01,82.3
"E01006730",2011,"Liverpool 011C","Total",1326,22.95,57.8
"E01006731",2011,"Liverpool 011D","Total",1196,17.26,69.3
"E01006732",2011,"Liverpool 011E","Total",1643,18.39,89.3
"E01006734",2011,"Liverpool 005C","Total",1412,17,83.1
"E01006735",2011,"Liverpool 005D","Total",1309,18.01,72.7
"E01006736",2011,"Liverpool 005E","Total",1460,26.52,55.1
"E01006737",2011,"Liverpool 005F","Total",1435,18.07,79.4
"E01006738",2011,"Liverpool 058A","Total",1501,15.87,94.6
"E01006739",2011,"Liverpool 058B","Total",1769,543.01,3.3
"E01006740",2011,"Liverpool 057A","Total",1280,91.93,13.9
"E01006741",2011,"Liverpool 058C","Total",1815,157.09,11.6
"E01006742",2011,"Liverpool 057B","Total",1394,31.83,43.8
"E01006743",2011,"Liverpool 058D","Total",2175,173.65,12.5
"E01006744",2011,"Liverpool 057C","Total",1482,14.4,102.9
"E01006745",2011,"Liverpool 057D","Total",1879,38.7,48.6
"E01006746",2011,"Liverpool 030E","Total",1513,21.79,69.4
"E01006747",2011,"Liverpool 031B","Total",3552,50.21,70.7
"E01006748",2011,"Liverpool 031C","Total",1936,16.17,119.7
"E01006751",2011,"Liverpool 031F","Total",2572,47.69,53.9
"E01006752",2011,"Liverpool 035F","Total",1012,19.91,50.8
"E01006753",2011,"Liverpool 059A","Total",1557,29.38,53
"E01006754",2011,"Liverpool 059B","Total",1627,47.04,34.6
"E01006755",2011,"Liverpool 059C","Total",1587,51.05,31.1
"E01006756",2011,"Liverpool 059D","Total",1820,33.09,55
"E01006757",2011,"Liverpool 059E","Total",1491,28.55,52.2
"E01006758",2011,"Liverpool 059F","Total",1527,24.29,62.9
"E01006759",2011,"Liverpool 028D","Total",1095,59.94,18.3
"E01006760",2011,"Liverpool 028E","Total",1611,22.97,70.1
"E01006761",2011,"Liverpool 020B","Total",1644,36.69,44.8
"E01006762",2011,"Liverpool 015E","Total",1692,26.63,63.5
"E01006763",2011,"Liverpool 020C","Total",1471,12,122.6
"E01006764",2011,"Liverpool 020D","Total",1522,14.85,102.5
"E01006765",2011,"Liverpool 020E","Total",1468,15.76,93.1
"E01006766",2011,"Liverpool 019E","Total",1266,12.81,98.8
"E01006767",2011,"Liverpool 019F","Total",1787,25.85,69.1
"E01006768",2011,"Liverpool 020F","Total",1359,27.82,48.8
"E01006769",2011,"Liverpool 040B","Total",1270,30.85,41.2
"E01006770",2011,"Liverpool 040C","Total",1002,22.88,43.8
"E01006771",2011,"Liverpool 040D","Total",1425,49.88,28.6
"E01006772",2011,"Liverpool 040E","Total",1091,30.4,35.9
"E01006773",2011,"Liverpool 036D","Total",1379,23.47,58.8
"E01006774",2011,"Liverpool 036E","Total",1445,24.54,58.9
"E01006775",2011,"Liverpool 040F","Total",1319,25.86,51
"E01006776",2011,"Liverpool 022B","Total",1677,218.27,7.7
"E01006778",2011,"Liverpool 014E","Total",2205,150.32,14.7
"E01006779",2011,"Liverpool 022D","Total",1968,41.44,47.5
"E01006780",2011,"Liverpool 002D","Total",1465,18.03,81.3
"E01006781",2011,"Liverpool 003A","Total",1470,17,86.5
"E01006782",2011,"Liverpool 003B","Total",1560,14.56,107.1
"E01006783",2011,"Liverpool 002E","Total",1548,25.11,61.6
"E01006784",2011,"Liverpool 003C","Total",1347,11.38,118.4
"E01006785",2011,"Liverpool 003D","Total",1769,50.25,35.2
"E01006786",2011,"Liverpool 003E","Total",1820,30.81,59.1
"E01006787",2011,"Liverpool 006A","Total",2330,35.25,66.1
"E01006788",2011,"Liverpool 006B","Total",1825,16.87,108.2
"E01006790",2011,"Liverpool 006C","Total",1587,24.12,65.8
"E01006791",2011,"Liverpool 006D","Total",1674,29.91,56
"E01006792",2011,"Liverpool 046A","Total",1368,56.81,24.1
"E01006793",2011,"Liverpool 051A","Total",1494,28.37,52.7
"E01006794",2011,"Liverpool 046B","Total",1593,45.54,35
"E01006795",2011,"Liverpool 051B","Total",1407,33.51,42
"E01006796",2011,"Liverpool 047E","Total",1591,62.27,25.6
"E01006797",2011,"Liverpool 051C","Total",1499,22.13,67.7
"E01006798",2011,"Liverpool 051D","Total",1410,28.03,50.3
"E01006799",2011,"Liverpool 051E","Total",1821,25.88,70.4
"E01006800",2011,"Liverpool 046C","Total",1401,39.4,35.6
"E01006801",2011,"Liverpool 046D","Total",1355,32.45,41.8
"E01032505",2011,"Liverpool 050F","Total",1317,48.05,27.4
"E01032506",2011,"Liverpool 050G","Total",1403,14.74,95.2
"E01032507",2011,"Liverpool 050H","Total",1539,9.24,166.6
"E01032508",2011,"Liverpool 027G","Total",1723,31.68,54.4
"E01032509",2011,"Liverpool 027H","Total",1434,20.38,70.4
"E01032510",2011,"Liverpool 008F","Total",1809,36.04,50.2
"E01032511",2011,"Liverpool 008G","Total",1378,64.85,21.2
"E01033747",2011,"Liverpool 018F","Total",1043,25.23,41.3
"E01033748",2011,"Liverpool 050I","Total",1277,48.36,26.4
"E01033749",2011,"Liverpool 042F","Total",1153,20.27,56.9
"E01033750",2011,"Liverpool 061A","Total",1448,49.36,29.3
"E01033751",2011,"Liverpool 062A","Total",1873,59.75,31.3
"E01033752",2011,"Liverpool 062B","Total",1196,38.54,31
"E01033753",2011,"Liverpool 062C","Total",1051,23.09,45.5
"E01033754",2011,"Liverpool 061B","Total",1452,32.33,44.9
"E01033755",2011,"Liverpool 062D","Total",1082,9.01,120.1
"E01033756",2011,"Liverpool 061C","Total",1185,46.64,25.4
"E01033757",2011,"Liverpool 037E","Total",1025,7.48,137
"E01033758",2011,"Liverpool 060B","Total",1730,25.42,68.1
"E01033759",2011,"Liverpool 010F","Total",1147,49.09,23.4
"E01033760",2011,"Liverpool 060C","Total",2115,37.18,56.9
"E01033761",2011,"Liverpool 060D","Total",1372,12.49,109.8
"E01033762",2011,"Liverpool 060E","Total",1791,16.72,107.1
"E01033763",2011,"Liverpool 031G","Total",1527,31.98,47.7
"E01033764",2011,"Liverpool 022E","Total",2202,82.69,26.6
"E01033765",2011,"Liverpool 061D","Total",1351,34.34,39.3
"E01033766",2011,"Liverpool 042G","Total",1075,6.29,170.9
"E01033767",2011,"Liverpool 050J","Total",1067,7.58,140.8
"E01033768",2011,"Liverpool 037F","Total",1223,10.57,115.7
