"lsoa11cd","date","lsoa11nm","Rural Urban","Age: All categories: Age; measures: Value","Age: Age under 1; measures: Value","Age: Age 1; measures: Value","Age: Age 2; measures: Value","Age: Age 3; measures: Value","Age: Age 4; measures: Value","Age: Age 5; measures: Value","Age: Age 6; measures: Value","Age: Age 7; measures: Value","Age: Age 8; measures: Value","Age: Age 9; measures: Value","Age: Age 10; measures: Value","Age: Age 11; measures: Value","Age: Age 12; measures: Value","Age: Age 13; measures: Value","Age: Age 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16; measures: Value","Age: Age 17; measures: Value","Age: Age 18; measures: Value","Age: Age 19; measures: Value","Age: Age 20; measures: Value","Age: Age 21; measures: Value","Age: Age 22; measures: Value","Age: Age 23; measures: Value","Age: Age 24; measures: Value","Age: Age 25; measures: Value","Age: Age 26; measures: Value","Age: Age 27; measures: Value","Age: Age 28; measures: Value","Age: Age 29; measures: Value","Age: Age 30; measures: Value","Age: Age 31; measures: Value","Age: Age 32; measures: Value","Age: Age 33; measures: Value","Age: Age 34; measures: Value","Age: Age 35; measures: Value","Age: Age 36; measures: Value","Age: Age 37; measures: Value","Age: Age 38; measures: Value","Age: Age 39; measures: Value","Age: Age 40; measures: Value","Age: Age 41; measures: Value","Age: Age 42; measures: Value","Age: Age 43; measures: Value","Age: Age 44; measures: Value","Age: Age 45; measures: Value","Age: Age 46; measures: Value","Age: Age 47; measures: Value","Age: Age 48; measures: Value","Age: Age 49; measures: Value","Age: Age 50; measures: Value","Age: Age 51; measures: Value","Age: Age 52; measures: Value","Age: Age 53; measures: Value","Age: Age 54; measures: Value","Age: Age 55; measures: Value","Age: Age 56; measures: Value","Age: Age 57; measures: Value","Age: Age 58; measures: Value","Age: Age 59; measures: Value","Age: Age 60; measures: Value","Age: Age 61; measures: Value","Age: Age 62; measures: Value","Age: Age 63; measures: Value","Age: Age 64; measures: Value","Age: Age 65; measures: Value","Age: Age 66; measures: Value","Age: Age 67; measures: Value","Age: Age 68; measures: Value","Age: Age 69; measures: Value","Age: Age 70; measures: Value","Age: Age 71; measures: Value","Age: Age 72; measures: Value","Age: Age 73; measures: Value","Age: Age 74; measures: Value","Age: Age 75; measures: Value","Age: Age 76; measures: Value","Age: Age 77; measures: Value","Age: Age 78; measures: Value","Age: Age 79; measures: Value","Age: Age 80; measures: Value","Age: Age 81; measures: Value","Age: Age 82; measures: Value","Age: Age 83; measures: Value","Age: Age 84; measures: Value","Age: Age 85; measures: Value","Age: Age 86; measures: Value","Age: Age 87; measures: Value","Age: Age 88; measures: Value","Age: Age 89; measures: Value","Age: Age 90; measures: Value","Age: Age 91; measures: Value","Age: Age 92; measures: Value","Age: Age 93; measures: Value","Age: Age 94; measures: Value","Age: Age 95; measures: Value","Age: Age 96; measures: Value","Age: Age 97; measures: Value","Age: Age 98; measures: Value","Age: Age 99; measures: Value","Age: Age 100 and over; measures: Value"
"E01006527",2011,"Liverpool 053A","Total",1454,13,8,11,21,17,7,11,12,10,13,10,16,14,12,14,18,16,23,38,50,32,27,13,26,13,13,30,21,17,15,17,15,18,19,20,12,25,20,21,24,18,11,23,15,16,18,24,21,26,23,10,23,16,18,18,10,18,20,15,17,12,14,7,15,20,7,12,15,21,17,13,15,13,14,23,17,9,10,12,16,7,12,9,8,11,8,2,5,4,2,4,2,2,1,0,3,0,0,0,0,0
"E01006528",2011,"Liverpool 052C","Total",1461,13,21,13,20,18,18,12,12,15,10,9,11,16,9,12,13,12,9,13,25,43,46,33,30,32,35,41,27,30,35,52,19,28,30,17,22,27,25,17,20,20,15,12,23,17,22,15,29,19,15,22,15,18,14,19,16,17,19,8,12,12,16,11,12,18,5,8,9,10,9,11,5,4,7,5,7,6,4,1,4,3,9,3,7,1,6,3,4,5,3,2,4,0,2,3,1,0,2,1,1,0
"E01006529",2011,"Liverpool 048D","Total",1304,15,21,17,20,13,13,9,19,13,11,12,16,11,6,14,14,12,9,7,16,19,22,19,20,16,28,19,23,16,19,27,20,28,16,26,18,15,20,30,23,29,29,23,18,18,20,18,14,24,15,20,22,13,15,18,19,14,15,11,13,15,15,11,15,13,12,6,6,16,11,9,9,6,14,13,8,7,8,3,4,8,5,3,9,3,1,0,3,1,1,1,1,4,2,0,1,0,0,0,0,0
"E01006530",2011,"Liverpool 055A","Total",1431,14,14,10,12,16,11,13,4,18,7,14,13,12,12,18,21,16,22,11,12,17,13,16,17,17,11,15,15,12,15,12,7,11,17,5,14,12,12,11,17,17,15,19,21,20,26,14,24,33,22,21,19,21,28,19,18,17,23,17,14,30,17,23,20,27,24,17,10,14,11,16,15,13,16,17,18,15,24,17,16,9,18,15,15,12,10,8,12,9,4,7,5,0,1,0,1,0,0,1,0,0
"E01006531",2011,"Liverpool 055B","Total",1458,12,5,3,6,10,10,18,9,13,9,11,10,9,15,7,19,17,18,16,12,16,18,13,9,11,3,19,11,11,9,12,10,15,11,10,6,11,17,13,14,16,18,18,12,17,16,19,20,23,26,21,26,11,19,22,24,24,17,11,11,24,17,18,21,18,14,13,14,24,21,25,29,29,28,29,40,25,29,25,19,27,14,24,16,14,13,11,11,4,5,8,5,3,0,1,0,0,0,1,0,0
"E01006532",2011,"Liverpool 047A","Total",1557,12,18,9,12,14,13,16,10,18,13,17,23,25,26,20,31,23,27,18,13,18,14,7,11,12,10,14,7,7,13,12,11,6,11,9,10,8,16,16,15,18,23,27,28,15,24,34,22,33,21,25,27,25,18,30,29,21,29,19,31,32,33,22,18,24,32,25,20,12,15,15,20,21,13,23,12,11,7,16,14,9,8,10,13,11,9,9,6,2,2,4,3,2,0,0,0,0,0,0,0,0
"E01006533",2011,"Liverpool 055C","Total",1408,11,12,16,12,7,14,11,8,12,14,16,14,10,18,11,17,14,18,20,11,17,13,17,15,21,13,14,11,5,6,5,8,11,7,8,12,14,15,14,22,16,15,22,28,24,18,23,13,22,23,22,24,23,24,13,34,17,21,20,25,24,24,24,24,21,23,11,18,18,11,16,10,8,8,14,25,13,19,18,16,16,12,6,11,13,11,8,13,5,5,9,5,0,2,1,1,0,3,0,1,0
"E01006534",2011,"Liverpool 054A","Total",1542,11,13,16,11,9,16,13,16,7,23,27,18,20,24,20,27,36,27,18,30,20,17,26,24,18,20,18,12,23,16,18,11,6,12,11,13,12,15,18,27,13,25,29,31,28,34,25,29,42,30,33,28,28,18,26,22,16,28,14,20,19,16,14,10,11,8,10,11,9,13,10,13,21,13,13,11,5,15,4,20,9,9,5,2,7,6,7,2,3,2,2,2,0,1,1,0,0,0,0,0,0
"E01006535",2011,"Liverpool 054B","Total",1639,17,13,14,9,14,20,7,12,10,12,10,18,12,16,27,27,22,36,27,32,15,15,27,21,18,15,23,16,16,15,13,20,18,13,19,21,14,18,21,20,22,26,14,31,48,25,26,26,30,34,36,24,30,23,18,28,21,19,21,8,17,28,12,18,25,14,12,20,11,15,7,16,10,10,22,15,13,14,9,10,10,4,14,11,7,8,11,10,6,5,8,6,2,4,6,2,1,2,0,0,1
"E01006536",2011,"Liverpool 054C","Total",1848,15,19,14,13,17,14,17,17,9,21,19,23,25,23,34,23,30,33,26,23,31,24,29,31,29,32,21,22,22,19,14,20,15,15,17,24,20,18,18,21,29,24,20,32,34,21,41,37,36,36,33,28,32,28,30,16,20,23,17,27,24,14,31,24,18,12,13,17,18,21,10,23,20,10,13,10,14,16,14,14,15,10,12,6,7,6,5,7,5,5,6,4,0,2,0,0,0,0,1,0,0
"E01006537",2011,"Liverpool 055D","Total",2257,26,28,32,34,28,33,26,21,23,13,24,20,28,21,25,28,21,25,21,48,38,33,29,53,46,36,56,58,35,67,57,57,39,32,31,23,26,23,27,30,17,38,21,21,32,33,32,20,40,31,32,34,29,31,28,36,18,18,26,19,23,29,19,20,23,15,19,20,19,10,11,13,15,9,16,13,7,13,17,8,15,5,5,9,7,3,2,3,3,0,1,3,1,2,0,0,1,0,0,0,1
"E01006538",2011,"Liverpool 055E","Total",1318,13,8,18,8,7,13,12,17,12,12,8,22,12,19,15,21,17,26,18,17,12,25,11,12,18,17,17,16,11,11,15,24,14,8,10,8,8,10,18,22,17,21,14,19,15,21,26,26,30,26,37,18,28,26,17,10,15,16,20,23,17,14,13,16,9,5,17,10,14,13,13,9,10,16,6,8,10,15,13,14,8,10,10,8,4,5,7,9,3,2,0,0,0,0,0,0,0,2,0,0,1
"E01006539",2011,"Liverpool 047B","Total",1437,13,4,14,11,11,10,10,10,6,10,13,12,16,21,18,21,23,19,19,9,6,15,11,15,10,8,9,17,12,12,14,12,15,17,11,5,11,10,10,7,18,18,15,16,21,19,20,23,34,36,29,20,29,29,28,27,26,34,32,36,29,32,22,37,25,19,22,18,18,14,12,23,15,11,13,11,8,12,9,8,9,8,10,4,12,6,2,3,2,8,1,1,1,0,1,0,1,3,0,0,0
"E01006540",2011,"Liverpool 024A","Total",1509,31,30,24,18,12,14,8,16,19,12,22,12,18,16,20,19,20,22,19,34,28,24,31,34,24,29,51,30,39,29,19,33,30,13,22,14,16,15,19,20,23,25,29,24,24,24,21,14,23,18,24,15,16,14,9,16,14,18,17,14,10,8,11,18,13,10,11,8,7,8,12,8,5,7,6,5,3,11,9,9,4,9,3,4,2,4,1,2,4,4,1,1,2,0,1,0,0,0,0,0,0
"E01006541",2011,"Liverpool 015A","Total",1593,19,12,13,19,15,21,24,15,12,11,11,17,4,16,19,15,27,18,22,19,20,20,25,19,26,33,13,27,26,15,20,28,18,17,16,16,24,18,24,25,20,27,15,15,16,20,25,20,23,37,20,21,27,19,27,22,15,18,17,22,26,23,19,17,26,26,13,16,15,9,16,14,13,22,14,15,18,12,12,5,10,7,4,7,12,8,6,1,5,4,4,0,1,3,2,1,1,0,0,0,1
"E01006542",2011,"Liverpool 018A","Total",1397,19,14,12,18,12,7,8,15,16,15,18,17,20,18,18,21,20,27,19,18,16,17,22,16,23,21,20,25,31,15,20,23,27,24,11,11,10,18,19,20,24,21,31,28,18,16,34,15,29,25,34,18,18,13,16,10,20,7,15,9,8,19,12,18,13,9,6,14,3,10,7,12,2,10,8,8,11,4,7,6,16,4,7,8,7,5,6,13,6,5,2,1,3,2,1,0,0,0,2,0,0
"E01006543",2011,"Liverpool 015B","Total",1247,18,6,12,12,10,14,11,5,9,17,11,6,14,12,23,14,20,21,18,20,24,17,22,16,19,13,13,15,15,11,16,13,9,11,7,9,11,21,5,6,22,16,20,19,21,24,22,27,24,32,23,18,19,19,18,22,24,9,14,10,13,15,17,19,16,23,10,9,20,8,4,21,13,8,15,9,8,4,6,10,8,4,10,3,2,5,1,3,1,4,1,1,1,2,0,2,0,1,1,0,0
"E01006544",2011,"Liverpool 015C","Total",1658,14,23,21,28,21,15,12,19,19,23,15,29,24,26,35,30,28,33,36,24,30,29,27,22,25,36,18,17,19,22,29,17,20,11,13,11,22,15,17,13,15,25,22,28,20,24,30,26,31,38,31,31,17,16,14,20,11,21,19,19,10,17,13,17,16,13,5,8,13,22,10,12,17,11,14,15,14,11,10,12,5,8,8,5,1,1,2,5,4,1,4,2,3,1,0,0,0,0,1,1,0
"E01006545",2011,"Liverpool 019A","Total",1512,31,17,25,26,24,17,21,24,14,28,15,16,14,23,12,31,18,20,29,13,21,29,14,21,17,23,17,19,30,17,33,36,23,14,23,15,25,11,24,14,20,19,20,22,22,22,13,23,23,22,22,21,15,21,23,22,12,17,14,9,16,13,16,19,11,15,15,8,8,8,15,13,15,6,17,14,11,7,10,5,4,9,9,2,5,1,2,4,2,3,1,1,0,0,0,1,0,0,0,0,0
"E01006546",2011,"Liverpool 019B","Total",1319,13,16,29,26,17,16,17,13,22,20,19,13,17,19,24,22,11,22,16,22,25,23,22,26,29,14,27,23,26,26,16,32,11,12,16,14,12,15,13,18,17,26,25,21,16,16,17,18,22,16,23,11,18,21,15,18,10,17,14,9,18,6,17,12,3,7,7,13,9,8,1,4,9,2,5,4,5,8,9,3,7,9,4,5,2,2,5,3,1,0,3,2,1,0,0,1,0,0,0,0,0
"E01006547",2011,"Liverpool 019C","Total",1490,17,27,23,18,16,20,22,21,20,14,13,18,18,17,13,16,25,19,24,27,22,24,22,20,39,26,21,30,16,31,29,22,34,22,30,18,19,10,20,16,16,20,18,18,27,17,19,17,19,11,20,29,21,17,22,17,23,11,14,8,9,15,15,20,13,16,15,12,8,15,7,19,9,9,13,6,5,9,6,7,5,7,5,4,4,2,2,3,2,3,0,0,0,0,0,1,0,0,0,0,1
"E01006548",2011,"Liverpool 019D","Total",1675,31,29,27,23,25,20,20,22,16,10,26,14,20,7,29,28,16,22,19,33,34,34,27,33,17,20,26,30,14,26,42,28,24,21,24,23,9,26,25,26,27,20,22,15,24,23,23,19,31,14,19,21,14,19,21,18,13,9,13,13,15,17,15,14,9,15,6,11,14,15,15,13,9,15,17,5,9,9,11,11,6,13,13,5,9,11,10,7,7,7,7,2,3,3,2,0,0,0,0,0,1
"E01006549",2011,"Liverpool 043B","Total",1662,10,10,15,7,6,6,8,4,9,5,6,9,4,7,9,11,7,5,8,36,77,75,45,36,34,48,55,61,55,37,51,66,52,37,62,36,38,19,28,31,24,24,19,27,22,14,11,12,19,16,29,13,16,12,9,15,15,13,15,14,7,10,13,13,7,8,10,9,7,9,7,7,4,3,4,7,2,0,6,6,4,7,10,10,5,2,2,1,1,3,2,6,1,1,0,0,1,0,2,0,1
"E01006550",2011,"Liverpool 038A","Total",1595,6,8,7,11,5,5,3,6,1,10,6,6,3,6,5,8,6,6,9,100,323,321,145,60,26,47,22,14,23,11,19,15,8,13,12,7,14,9,10,7,12,13,13,6,6,7,10,8,13,12,9,9,3,5,6,11,5,6,6,9,5,13,6,4,4,4,3,5,7,3,5,1,1,4,5,2,8,2,3,4,0,3,4,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"E01006551",2011,"Liverpool 048E","Total",1581,17,5,12,7,4,5,10,1,2,5,5,7,0,5,4,7,4,6,114,213,82,20,19,14,18,24,22,14,17,11,12,21,11,15,9,24,13,14,14,14,10,16,25,12,18,12,19,14,12,16,17,18,23,11,13,8,19,17,17,16,15,15,26,17,23,16,21,16,18,17,14,21,13,17,11,11,15,15,12,12,18,8,15,8,12,10,7,7,9,3,6,6,1,3,5,1,2,1,0,0,0
"E01006552",2011,"Liverpool 039A","Total",2029,48,56,47,54,39,44,33,45,31,24,33,31,33,22,22,15,19,19,26,24,37,39,41,42,39,52,42,58,55,45,46,52,28,29,25,46,34,35,38,25,25,18,33,28,20,30,28,25,22,17,14,17,14,14,11,20,13,10,9,17,6,15,10,8,6,10,10,9,9,7,7,6,9,7,3,8,9,4,5,3,6,3,2,1,1,1,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0
"E01006553",2011,"Liverpool 042A","Total",1880,16,10,7,9,6,19,8,15,16,14,8,9,9,11,10,8,17,12,16,89,248,211,124,94,77,33,58,39,29,30,45,31,29,24,17,19,27,14,21,13,22,14,15,13,12,9,14,20,12,10,9,10,12,11,11,9,9,14,12,7,12,11,11,9,10,3,10,4,8,4,5,4,5,9,6,5,4,1,1,2,2,1,1,4,5,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
"E01006554",2011,"Liverpool 048F","Total",1692,13,11,9,10,13,7,13,8,11,12,8,10,13,4,10,10,12,9,10,76,227,170,96,45,32,40,37,27,29,30,36,26,24,22,15,18,19,16,15,13,19,15,17,21,22,15,19,18,9,16,15,12,20,17,12,20,9,17,11,15,14,16,15,18,17,10,6,5,8,7,3,9,5,3,1,4,0,2,2,2,6,3,2,1,1,0,1,0,1,0,1,1,0,0,0,2,1,0,0,0,0
"E01006556",2011,"Liverpool 039B","Total",2011,37,33,28,40,30,25,26,28,12,20,29,26,16,22,23,21,25,21,33,41,42,49,58,57,53,31,47,36,52,34,41,27,50,32,48,37,32,25,35,23,23,36,26,36,19,23,31,17,12,31,23,20,17,22,17,13,21,16,18,15,10,19,8,12,12,9,8,7,10,10,5,8,12,7,8,14,11,5,6,5,7,5,7,8,2,5,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0
"E01006557",2011,"Liverpool 038B","Total",2054,15,9,7,11,8,9,9,4,6,4,3,8,13,13,8,12,12,6,13,142,397,370,204,83,64,42,32,34,27,23,27,30,26,17,13,10,6,15,9,9,9,13,12,8,4,7,11,14,10,5,7,8,10,10,10,6,6,9,5,3,17,5,4,15,8,5,5,7,6,7,5,1,5,4,2,7,1,2,3,3,3,1,2,7,4,3,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0
"E01006558",2011,"Liverpool 018B","Total",1357,16,26,26,12,15,17,13,13,8,6,13,1,18,13,15,14,21,20,12,26,16,26,22,27,22,17,23,29,23,15,24,17,19,26,20,12,20,24,18,22,23,18,19,17,21,6,16,25,22,22,18,17,17,19,15,17,18,11,16,17,21,23,18,15,15,13,12,12,7,8,9,16,18,9,6,10,3,9,5,6,6,2,4,5,6,3,1,1,2,0,2,1,1,3,2,0,1,0,0,1,0
"E01006560",2011,"Liverpool 023A","Total",1860,19,22,16,19,15,16,14,24,15,12,26,14,17,13,15,27,21,20,28,28,33,28,32,13,22,29,30,20,17,19,17,24,12,32,28,30,14,20,22,16,37,36,18,24,35,19,22,37,25,29,26,22,19,30,25,22,29,18,28,26,30,22,35,25,28,19,15,23,25,15,21,22,23,19,15,19,14,7,13,16,14,16,11,7,11,4,3,4,5,2,1,1,5,1,1,1,1,0,0,0,0
"E01006562",2011,"Liverpool 018E","Total",1514,24,23,26,28,20,26,28,17,20,21,8,12,15,22,22,17,25,27,21,32,18,25,26,29,16,13,32,24,30,16,23,21,17,12,15,20,21,13,25,23,15,27,21,9,22,17,19,18,11,20,27,25,27,32,14,24,17,19,23,12,10,16,19,24,20,8,19,14,11,8,9,6,11,5,6,12,6,11,6,2,4,2,5,5,5,5,2,5,0,2,3,0,0,0,0,1,0,0,0,0,0
"E01006563",2011,"Liverpool 024B","Total",1744,16,21,25,33,17,29,11,17,18,14,26,30,19,24,16,20,20,19,27,12,26,16,20,14,30,35,25,21,26,20,12,18,16,15,20,18,14,22,15,25,11,15,19,26,21,22,24,20,21,21,20,18,26,17,14,31,19,12,21,28,16,19,24,26,37,28,28,16,27,21,23,12,16,20,19,18,18,18,20,15,17,7,6,4,13,9,6,6,3,9,2,5,2,2,1,1,1,1,0,0,0
"E01006564",2011,"Liverpool 023B","Total",1721,20,10,19,10,24,16,7,21,14,10,13,17,14,16,17,16,18,18,19,15,25,21,15,25,26,16,23,28,19,28,24,20,22,14,9,17,19,18,19,21,24,22,14,24,21,27,24,19,18,14,14,22,19,20,32,16,37,37,34,42,37,24,26,38,38,25,25,22,22,20,26,26,27,17,22,22,15,14,14,12,11,5,7,5,2,2,2,2,2,5,1,2,0,0,0,0,0,0,0,0,0
