"lsoa11cd","date","lsoa11nm","Rural Urban","Household Size: All categories: Household size; measures: Value","Household Size: 1 person in household; measures: Value","Household Size: 2 people in household; measures: Value","Household Size: 3 people in household; measures: Value","Household Size: 4 people in household; measures: Value","Household Size: 5 people in household; measures: Value","Household Size: 6 people in household; measures: Value","Household Size: 7 people in household; measures: Value","Household Size: 8 or more people in household; measures: Value"
"E01006540",2011,"Liverpool 024A","Total",771,415,163,89,72,17,9,2,4
"E01006541",2011,"Liverpool 015A","Total",803,362,224,116,78,15,8,0,0
"E01006542",2011,"Liverpool 018A","Total",583,241,143,92,58,36,9,4,0
"E01006543",2011,"Liverpool 015B","Total",509,148,138,109,80,29,4,1,0
"E01006544",2011,"Liverpool 015C","Total",738,264,222,118,84,40,10,0,0
"E01006545",2011,"Liverpool 019A","Total",646,201,206,116,78,32,12,1,0
"E01006546",2011,"Liverpool 019B","Total",583,227,152,92,65,36,6,4,1
"E01006547",2011,"Liverpool 019C","Total",718,334,173,103,63,23,20,2,0
"E01006548",2011,"Liverpool 019D","Total",759,334,200,112,75,26,8,2,2
"E01006549",2011,"Liverpool 043B","Total",949,636,188,56,34,11,6,8,10
"E01006550",2011,"Liverpool 038A","Total",483,118,109,53,64,46,47,38,8
"E01006551",2011,"Liverpool 048E","Total",751,511,170,36,21,6,3,1,3
"E01006552",2011,"Liverpool 039A","Total",869,346,238,121,70,50,21,9,14
"E01006553",2011,"Liverpool 042A","Total",642,167,161,85,102,72,31,15,9
"E01006554",2011,"Liverpool 048F","Total",649,280,141,72,49,32,30,23,22
"E01006556",2011,"Liverpool 039B","Total",1016,538,229,115,62,34,26,6,6
"E01006557",2011,"Liverpool 038B","Total",635,138,136,85,104,99,47,20,6
"E01006558",2011,"Liverpool 018B","Total",739,380,206,79,47,23,3,1,0
"E01006560",2011,"Liverpool 023A","Total",996,536,241,102,71,31,11,2,2
"E01006562",2011,"Liverpool 018E","Total",714,294,194,132,55,24,12,1,2
"E01006563",2011,"Liverpool 024B","Total",908,477,206,115,67,28,8,6,1
"E01006564",2011,"Liverpool 023B","Total",800,300,263,111,84,32,6,3,1
"E01006565",2011,"Liverpool 029A","Total",638,197,187,113,86,38,15,1,1
"E01006566",2011,"Liverpool 032A","Total",577,184,147,103,95,33,12,1,2
"E01006567",2011,"Liverpool 026A","Total",892,500,191,110,58,23,8,1,1
"E01006568",2011,"Liverpool 026B","Total",629,191,197,109,91,33,6,2,0
"E01006569",2011,"Liverpool 029B","Total",613,236,178,89,58,36,12,3,1
"E01006570",2011,"Liverpool 026C","Total",595,165,184,100,105,37,3,1,0
"E01006571",2011,"Liverpool 026D","Total",612,204,172,109,87,29,7,4,0
"E01006572",2011,"Liverpool 025A","Total",501,133,175,98,54,32,9,0,0
"E01006573",2011,"Liverpool 029C","Total",778,368,219,101,63,22,5,0,0
"E01006574",2011,"Liverpool 025B","Total",612,231,151,113,82,26,5,4,0
"E01006575",2011,"Liverpool 034A","Total",578,205,179,89,75,21,9,0,0
"E01006576",2011,"Liverpool 034B","Total",713,191,247,139,104,26,3,1,2
"E01006577",2011,"Liverpool 034C","Total",597,145,191,117,107,28,7,1,1
"E01006578",2011,"Liverpool 036A","Total",554,139,187,93,99,28,6,1,1
"E01006579",2011,"Liverpool 034D","Total",618,131,195,108,138,34,9,2,1
"E01006580",2011,"Liverpool 036B","Total",515,113,170,96,98,30,8,0,0
"E01006581",2011,"Liverpool 036C","Total",607,138,189,124,118,29,9,0,0
"E01006582",2011,"Liverpool 041A","Total",585,110,185,104,117,46,21,2,0
"E01006583",2011,"Liverpool 047C","Total",467,85,157,88,105,22,8,2,0
"E01006584",2011,"Liverpool 034E","Total",611,205,196,89,85,28,7,1,0
"E01006585",2011,"Liverpool 032B","Total",641,268,180,90,73,19,8,3,0
"E01006586",2011,"Liverpool 032C","Total",921,414,254,112,100,31,8,2,0
"E01006587",2011,"Liverpool 032D","Total",717,259,209,132,65,35,10,5,2
"E01006588",2011,"Liverpool 042C","Total",702,272,220,93,75,30,8,2,2
"E01006589",2011,"Liverpool 041B","Total",599,152,178,122,108,31,5,3,0
"E01006590",2011,"Liverpool 042D","Total",701,231,210,118,99,29,8,5,1
"E01006591",2011,"Liverpool 041C","Total",671,192,212,111,108,38,8,2,0
"E01006592",2011,"Liverpool 041D","Total",624,189,191,79,106,48,8,3,0
"E01006593",2011,"Liverpool 042E","Total",662,232,190,115,66,42,12,3,2
"E01006594",2011,"Liverpool 047D","Total",579,172,191,77,94,31,12,1,1
"E01006595",2011,"Liverpool 049B","Total",812,280,277,145,84,19,4,3,0
"E01006596",2011,"Liverpool 049C","Total",597,162,206,97,93,26,10,1,2
"E01006597",2011,"Liverpool 041E","Total",683,193,231,121,88,38,8,2,2
"E01006598",2011,"Liverpool 010A","Total",604,223,179,94,56,41,9,1,1
"E01006599",2011,"Liverpool 010B","Total",482,158,137,97,62,18,10,0,0
"E01006600",2011,"Liverpool 011A","Total",592,180,178,115,79,30,10,0,0
"E01006603",2011,"Liverpool 011B","Total",594,182,202,91,79,32,6,1,1
"E01006604",2011,"Liverpool 016A","Total",571,175,167,117,70,28,12,1,1
"E01006605",2011,"Liverpool 016B","Total",696,289,179,93,84,37,14,0,0
"E01006606",2011,"Liverpool 020A","Total",723,272,247,108,63,23,8,1,1
"E01006607",2011,"Liverpool 008A","Total",641,196,186,127,88,39,4,0,1
"E01006608",2011,"Liverpool 009A","Total",563,221,163,90,61,18,8,2,0
"E01006609",2011,"Liverpool 009B","Total",576,209,169,106,51,33,7,1,0
"E01006610",2011,"Liverpool 009C","Total",669,283,193,95,64,20,13,1,0
"E01006611",2011,"Liverpool 012A","Total",742,411,183,100,31,12,5,0,0
"E01006612",2011,"Liverpool 008B","Total",740,346,185,106,63,32,7,1,0
"E01006613",2011,"Liverpool 009D","Total",611,240,163,94,72,31,9,1,1
"E01006614",2011,"Liverpool 012B","Total",667,292,204,93,58,13,5,0,2
"E01006615",2011,"Liverpool 012C","Total",663,279,217,93,62,10,2,0,0
"E01006616",2011,"Liverpool 015D","Total",613,207,186,100,72,32,12,3,1
"E01006617",2011,"Liverpool 021A","Total",650,211,240,96,77,22,4,0,0
"E01006618",2011,"Liverpool 016C","Total",692,212,216,116,104,34,9,1,0
"E01006619",2011,"Liverpool 021B","Total",734,256,251,108,87,26,3,3,0
"E01006620",2011,"Liverpool 021C","Total",625,229,191,81,80,30,13,1,0
"E01006621",2011,"Liverpool 021D","Total",584,163,176,98,95,37,11,4,0
"E01006622",2011,"Liverpool 021E","Total",586,129,193,108,115,27,13,1,0
"E01006623",2011,"Liverpool 013A","Total",527,69,198,99,115,37,8,1,0
"E01006624",2011,"Liverpool 013B","Total",702,268,215,90,82,31,12,4,0
"E01006625",2011,"Liverpool 016D","Total",609,185,197,108,87,29,1,2,0
"E01006626",2011,"Liverpool 016E","Total",593,173,172,106,104,32,5,1,0
"E01006627",2011,"Liverpool 013C","Total",600,195,181,108,89,21,6,0,0
"E01006628",2011,"Liverpool 052D","Total",651,200,221,103,87,26,11,1,2
"E01006629",2011,"Liverpool 052E","Total",573,203,192,103,47,15,10,2,1
"E01006630",2011,"Liverpool 044B","Total",555,166,176,104,62,27,16,3,1
"E01006632",2011,"Liverpool 044C","Total",884,344,289,132,80,32,5,2,0
"E01006633",2011,"Liverpool 050B","Total",699,317,186,96,63,22,13,1,1
"E01006637",2011,"Liverpool 017A","Total",670,208,199,130,86,33,9,3,2
"E01006638",2011,"Liverpool 017B","Total",518,161,152,113,58,21,13,0,0
"E01006639",2011,"Liverpool 017C","Total",640,199,195,121,80,34,10,1,0
"E01006640",2011,"Liverpool 021F","Total",760,217,240,115,127,43,12,5,1
"E01006641",2011,"Liverpool 025C","Total",633,154,184,124,124,35,9,3,0
"E01006642",2011,"Liverpool 025D","Total",590,219,181,103,51,23,10,3,0
"E01006643",2011,"Liverpool 025E","Total",740,198,240,146,99,41,11,3,2
"E01006644",2011,"Liverpool 017D","Total",963,404,263,151,92,36,12,4,1
"E01006645",2011,"Liverpool 017E","Total",690,299,194,103,55,28,9,2,0
"E01006646",2011,"Liverpool 023C","Total",1006,503,284,125,55,27,7,3,2
"E01006647",2011,"Liverpool 024C","Total",636,242,183,83,82,39,7,0,0
"E01006648",2011,"Liverpool 023D","Total",1075,428,367,165,76,27,8,2,2
"E01006651",2011,"Liverpool 001A","Total",592,103,172,132,139,35,9,2,0
"E01006652",2011,"Liverpool 002A","Total",633,193,190,122,89,27,9,3,0
"E01006653",2011,"Liverpool 001B","Total",656,203,218,122,72,25,13,2,1
"E01006654",2011,"Liverpool 005A","Total",627,217,175,101,93,34,6,1,0
"E01006655",2011,"Liverpool 001C","Total",706,194,217,142,98,44,10,1,0
"E01006656",2011,"Liverpool 002B","Total",669,222,223,115,74,30,3,1,1
"E01006657",2011,"Liverpool 002C","Total",582,236,178,82,62,20,3,1,0
"E01006658",2011,"Liverpool 001D","Total",634,254,205,95,56,18,5,1,0
"E01006659",2011,"Liverpool 005B","Total",548,264,139,82,40,17,5,1,0
"E01006660",2011,"Liverpool 001E","Total",616,226,147,115,86,30,10,2,0
"E01006661",2011,"Liverpool 004A","Total",749,269,237,119,82,24,13,3,2
"E01006662",2011,"Liverpool 004B","Total",785,333,216,121,77,31,7,0,0
"E01006663",2011,"Liverpool 004C","Total",510,175,153,91,68,13,9,0,1
"E01006664",2011,"Liverpool 004D","Total",822,327,241,112,84,40,13,4,1
"E01006665",2011,"Liverpool 007A","Total",630,180,183,123,102,29,9,2,2
"E01006666",2011,"Liverpool 007B","Total",514,84,134,108,125,50,13,0,0
"E01006667",2011,"Liverpool 007C","Total",618,188,215,99,90,19,6,1,0
"E01006668",2011,"Liverpool 007D","Total",590,119,194,133,103,31,9,1,0
"E01006669",2011,"Liverpool 004E","Total",551,123,166,108,99,38,14,3,0
"E01006670",2011,"Liverpool 007E","Total",607,133,213,119,110,29,2,1,0
"E01006671",2011,"Liverpool 013D","Total",499,115,155,83,85,37,22,0,2
"E01006672",2011,"Liverpool 010E","Total",798,238,224,165,105,47,14,5,0
"E01006673",2011,"Liverpool 037D","Total",954,482,234,97,70,39,23,4,5
"E01006674",2011,"Liverpool 039C","Total",826,400,173,92,63,45,25,12,16
"E01006675",2011,"Liverpool 043C","Total",1132,766,256,71,21,9,5,2,2
"E01006676",2011,"Liverpool 044D","Total",761,290,215,112,81,34,16,6,7
"E01006677",2011,"Liverpool 043D","Total",477,210,126,73,44,14,8,0,2
"E01006678",2011,"Liverpool 044E","Total",1059,513,260,138,93,34,15,3,3
"E01006679",2011,"Liverpool 039D","Total",920,392,218,109,79,61,35,17,9
"E01006680",2011,"Liverpool 053B","Total",605,140,183,126,111,33,8,4,0
"E01006681",2011,"Liverpool 054D","Total",719,276,211,109,76,33,10,2,2
"E01006682",2011,"Liverpool 053C","Total",498,96,172,98,96,25,10,1,0
"E01006683",2011,"Liverpool 053D","Total",594,136,200,108,111,31,8,0,0
"E01006684",2011,"Liverpool 056B","Total",999,361,355,144,98,30,10,0,1
"E01006685",2011,"Liverpool 056C","Total",604,181,192,111,85,28,4,2,1
"E01006686",2011,"Liverpool 053E","Total",531,122,170,81,95,44,15,1,3
"E01006687",2011,"Liverpool 056D","Total",933,391,279,142,93,21,5,2,0
"E01006688",2011,"Liverpool 056E","Total",712,282,215,88,98,22,7,0,0
"E01006689",2011,"Liverpool 049D","Total",717,228,238,112,102,25,9,2,1
"E01006690",2011,"Liverpool 028A","Total",801,436,194,91,51,20,7,2,0
"E01006691",2011,"Liverpool 030A","Total",647,247,157,115,78,35,10,5,0
"E01006692",2011,"Liverpool 028B","Total",989,400,285,120,107,48,23,4,2
"E01006693",2011,"Liverpool 024D","Total",838,463,191,101,63,15,3,1,1
"E01006694",2011,"Liverpool 030B","Total",891,375,255,124,93,33,8,2,1
"E01006695",2011,"Liverpool 028C","Total",1029,637,195,84,56,40,12,4,1
"E01006696",2011,"Liverpool 030C","Total",768,290,214,109,98,40,15,0,2
"E01006697",2011,"Liverpool 030D","Total",828,319,239,121,96,32,14,3,4
"E01006698",2011,"Liverpool 012D","Total",725,244,198,129,101,37,14,0,2
"E01006699",2011,"Liverpool 014A","Total",777,322,242,112,74,21,4,2,0
"E01006700",2011,"Liverpool 012E","Total",653,265,174,106,73,25,8,2,0
"E01006701",2011,"Liverpool 014B","Total",671,290,183,102,70,20,5,0,1
"E01006702",2011,"Liverpool 014C","Total",740,263,248,122,73,26,7,1,0
"E01006703",2011,"Liverpool 014D","Total",818,447,184,91,56,30,6,3,1
"E01006705",2011,"Liverpool 009E","Total",689,299,199,99,58,25,6,2,1
"E01006706",2011,"Liverpool 045A","Total",582,186,184,99,77,30,5,1,0
"E01006707",2011,"Liverpool 045B","Total",553,163,194,96,61,30,5,2,2
"E01006708",2011,"Liverpool 045C","Total",754,249,224,128,106,35,9,1,2
"E01006709",2011,"Liverpool 040A","Total",685,293,187,102,66,27,6,3,1
"E01006710",2011,"Liverpool 045D","Total",592,136,200,118,104,20,14,0,0
"E01006711",2011,"Liverpool 027A","Total",685,277,183,109,76,21,14,3,2
"E01006712",2011,"Liverpool 029D","Total",569,194,169,91,82,28,5,0,0
"E01006713",2011,"Liverpool 029E","Total",604,196,194,106,73,30,4,1,0
"E01006716",2011,"Liverpool 032E","Total",701,285,215,112,58,18,10,3,0
"E01006717",2011,"Liverpool 027D","Total",576,168,165,105,89,31,14,4,0
"E01006718",2011,"Liverpool 027E","Total",678,245,176,122,80,40,9,3,3
"E01006719",2011,"Liverpool 027F","Total",638,193,183,133,82,35,10,2,0
"E01006720",2011,"Liverpool 035A","Total",905,361,222,133,96,53,28,9,3
"E01006721",2011,"Liverpool 038C","Total",912,453,292,94,48,10,12,2,1
"E01006722",2011,"Liverpool 038D","Total",608,155,117,115,112,60,38,7,4
"E01006723",2011,"Liverpool 038E","Total",749,264,171,122,118,42,19,10,3
"E01006724",2011,"Liverpool 038F","Total",554,113,125,84,87,84,33,24,4
"E01006725",2011,"Liverpool 035B","Total",739,308,219,109,74,18,8,1,2
"E01006726",2011,"Liverpool 035C","Total",659,226,185,101,93,33,18,3,0
"E01006727",2011,"Liverpool 035D","Total",665,238,223,107,62,26,8,1,0
"E01006728",2011,"Liverpool 035E","Total",855,399,279,96,44,29,3,4,1
"E01006729",2011,"Liverpool 008C","Total",539,121,170,122,76,33,15,2,0
"E01006730",2011,"Liverpool 011C","Total",542,165,155,105,70,33,10,4,0
"E01006731",2011,"Liverpool 011D","Total",486,142,145,95,63,23,16,1,1
"E01006732",2011,"Liverpool 011E","Total",644,170,197,119,94,44,15,4,1
"E01006734",2011,"Liverpool 005C","Total",625,187,222,119,68,24,3,2,0
"E01006735",2011,"Liverpool 005D","Total",571,207,150,111,67,21,12,1,2
"E01006736",2011,"Liverpool 005E","Total",582,158,162,130,93,24,10,4,1
"E01006737",2011,"Liverpool 005F","Total",562,142,164,126,86,31,6,5,2
"E01006738",2011,"Liverpool 058A","Total",662,220,210,112,81,34,4,1,0
"E01006739",2011,"Liverpool 058B","Total",707,225,193,126,91,53,18,0,1
"E01006740",2011,"Liverpool 057A","Total",604,273,156,74,52,36,6,7,0
"E01006741",2011,"Liverpool 058C","Total",778,251,242,127,109,33,14,2,0
"E01006742",2011,"Liverpool 057B","Total",591,195,173,99,78,34,11,0,1
"E01006743",2011,"Liverpool 058D","Total",1008,385,297,175,101,38,9,1,2
"E01006744",2011,"Liverpool 057C","Total",739,321,221,97,75,22,3,0,0
"E01006745",2011,"Liverpool 057D","Total",907,407,244,131,81,27,14,1,2
"E01006746",2011,"Liverpool 030E","Total",655,216,199,113,90,29,8,0,0
"E01006747",2011,"Liverpool 031B","Total",857,460,190,102,59,17,17,10,2
"E01006748",2011,"Liverpool 031C","Total",756,239,163,140,146,48,17,1,2
"E01006751",2011,"Liverpool 031F","Total",831,301,222,126,85,40,39,8,10
"E01006752",2011,"Liverpool 035F","Total",489,232,127,44,54,18,12,1,1
"E01006753",2011,"Liverpool 059A","Total",666,211,213,117,75,34,13,3,0
"E01006754",2011,"Liverpool 059B","Total",781,322,232,111,79,30,7,0,0
"E01006755",2011,"Liverpool 059C","Total",690,257,197,106,85,33,8,3,1
"E01006756",2011,"Liverpool 059D","Total",757,220,237,136,121,27,13,3,0
"E01006757",2011,"Liverpool 059E","Total",621,203,166,124,76,36,13,2,1
"E01006758",2011,"Liverpool 059F","Total",639,199,188,121,90,26,9,3,3
"E01006759",2011,"Liverpool 028D","Total",460,180,113,76,54,25,8,3,1
"E01006760",2011,"Liverpool 028E","Total",826,498,137,83,65,19,8,9,7
"E01006761",2011,"Liverpool 020B","Total",793,383,201,84,90,28,4,2,1
"E01006762",2011,"Liverpool 015E","Total",725,226,229,131,93,36,8,1,1
"E01006763",2011,"Liverpool 020C","Total",652,217,230,87,74,33,7,2,2
"E01006764",2011,"Liverpool 020D","Total",667,259,185,86,80,32,21,3,1
"E01006765",2011,"Liverpool 020E","Total",659,243,195,110,71,26,9,3,2
"E01006766",2011,"Liverpool 019E","Total",574,232,147,96,58,30,9,1,1
"E01006767",2011,"Liverpool 019F","Total",779,294,194,131,109,40,6,3,2
"E01006768",2011,"Liverpool 020F","Total",587,234,146,86,69,31,17,3,1
"E01006769",2011,"Liverpool 040B","Total",712,401,178,65,35,24,7,0,2
"E01006770",2011,"Liverpool 040C","Total",445,160,134,74,50,15,9,2,1
"E01006771",2011,"Liverpool 040D","Total",694,296,192,111,70,19,5,1,0
"E01006772",2011,"Liverpool 040E","Total",480,168,148,79,57,19,7,1,1
"E01006773",2011,"Liverpool 036D","Total",554,114,206,116,90,24,4,0,0
"E01006774",2011,"Liverpool 036E","Total",552,124,160,116,116,27,9,0,0
"E01006775",2011,"Liverpool 040F","Total",556,165,181,116,57,28,6,2,1
"E01006776",2011,"Liverpool 022B","Total",844,386,257,109,62,15,11,2,2
"E01006778",2011,"Liverpool 014E","Total",1124,496,350,164,73,26,10,5,0
"E01006779",2011,"Liverpool 022D","Total",902,334,286,160,76,36,6,4,0
"E01006780",2011,"Liverpool 002D","Total",619,191,196,105,88,25,13,0,1
"E01006781",2011,"Liverpool 003A","Total",600,163,179,129,94,26,8,1,0
"E01006782",2011,"Liverpool 003B","Total",691,271,181,106,93,28,10,1,1
"E01006783",2011,"Liverpool 002E","Total",645,199,180,133,87,37,6,3,0
"E01006784",2011,"Liverpool 003C","Total",586,209,153,111,80,23,9,1,0
"E01006785",2011,"Liverpool 003D","Total",781,275,223,144,91,37,10,1,0
"E01006786",2011,"Liverpool 003E","Total",764,237,235,129,113,34,11,2,3
"E01006787",2011,"Liverpool 006A","Total",691,312,159,70,88,41,12,7,2
"E01006788",2011,"Liverpool 006B","Total",681,137,209,154,114,53,11,3,0
"E01006790",2011,"Liverpool 006C","Total",801,350,232,133,61,20,5,0,0
"E01006791",2011,"Liverpool 006D","Total",873,418,244,119,60,25,5,1,1
"E01006792",2011,"Liverpool 046A","Total",557,138,198,99,86,27,9,0,0
"E01006793",2011,"Liverpool 051A","Total",759,337,243,84,60,31,4,0,0
"E01006794",2011,"Liverpool 046B","Total",711,224,253,124,75,26,5,4,0
"E01006795",2011,"Liverpool 051B","Total",628,215,204,100,69,34,5,0,1
"E01006796",2011,"Liverpool 047E","Total",581,105,198,107,106,54,9,0,2
"E01006797",2011,"Liverpool 051C","Total",707,297,192,103,83,24,5,0,3
"E01006798",2011,"Liverpool 051D","Total",609,183,216,88,91,21,8,2,0
"E01006799",2011,"Liverpool 051E","Total",1145,719,275,96,42,8,4,1,0
"E01006800",2011,"Liverpool 046C","Total",679,257,253,74,66,24,3,2,0
"E01006801",2011,"Liverpool 046D","Total",609,171,257,92,65,21,3,0,0
"E01032505",2011,"Liverpool 050F","Total",563,182,172,97,73,28,11,0,0
"E01032506",2011,"Liverpool 050G","Total",656,260,210,108,55,18,5,0,0
"E01032507",2011,"Liverpool 050H","Total",666,195,235,119,80,26,10,1,0
"E01032508",2011,"Liverpool 027G","Total",847,399,213,105,81,37,10,2,0
"E01032509",2011,"Liverpool 027H","Total",665,247,209,106,73,23,7,0,0
"E01032510",2011,"Liverpool 008F","Total",776,262,219,140,103,38,12,1,1
"E01032511",2011,"Liverpool 008G","Total",616,199,208,116,61,24,6,1,1
"E01033747",2011,"Liverpool 018F","Total",496,233,118,68,43,21,8,4,1
"E01033748",2011,"Liverpool 050I","Total",772,369,337,40,18,7,1,0,0
"E01033749",2011,"Liverpool 042F","Total",1039,973,39,13,9,5,0,0,0
"E01033750",2011,"Liverpool 061A","Total",905,504,294,74,31,2,0,0,0
"E01033751",2011,"Liverpool 062A","Total",603,313,202,53,21,6,7,1,0
"E01033752",2011,"Liverpool 062B","Total",790,448,288,46,7,1,0,0,0
"E01033753",2011,"Liverpool 062C","Total",714,423,253,31,6,1,0,0,0
"E01033754",2011,"Liverpool 061B","Total",838,396,335,67,26,9,3,2,0
"E01033755",2011,"Liverpool 062D","Total",675,341,271,54,8,1,0,0,0
"E01033756",2011,"Liverpool 061C","Total",733,414,263,32,22,1,0,1,0
"E01033757",2011,"Liverpool 037E","Total",715,548,113,21,10,10,9,1,3
"E01033758",2011,"Liverpool 060B","Total",475,312,127,19,11,2,3,0,1
"E01033759",2011,"Liverpool 010F","Total",480,142,146,103,56,20,12,0,1
"E01033760",2011,"Liverpool 060C","Total",529,330,141,16,22,13,6,1,0
"E01033761",2011,"Liverpool 060D","Total",832,415,353,50,8,2,1,3,0
"E01033762",2011,"Liverpool 060E","Total",456,282,131,17,13,4,8,1,0
"E01033763",2011,"Liverpool 031G","Total",820,507,134,78,65,23,9,1,3
"E01033764",2011,"Liverpool 022E","Total",1172,607,293,145,86,30,9,1,1
"E01033765",2011,"Liverpool 061D","Total",659,282,194,101,46,26,7,2,1
"E01033766",2011,"Liverpool 042G","Total",424,104,140,85,62,18,10,5,0
"E01033767",2011,"Liverpool 050J","Total",562,261,171,79,33,13,5,0,0
"E01033768",2011,"Liverpool 037F","Total",835,599,149,50,23,7,5,1,1
