"lsoa11cd","date","lsoa11nm","Rural Urban","Household Lifestage: All categories: Household lifestage; measures: Value","Household Lifestage: Age of HRP under 35: Total; measures: Value","Household Lifestage: Age of HRP under 35: One person household; measures: Value","Household Lifestage: Age of HRP under 35: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP under 35: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 35 to 54: Total; measures: Value","Household Lifestage: Age of HRP 35 to 54: One person household; measures: Value","Household Lifestage: Age of HRP 35 to 54: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 35 to 54: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 55 to 64: Total; measures: Value","Household Lifestage: Age of HRP 55 to 64: One person household; measures: Value","Household Lifestage: Age of HRP 55 to 64: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 55 to 64: Two or more person household: With dependent children; measures: Value","Household Lifestage: Age of HRP 65 and over: Total; measures: Value","Household Lifestage: Age of HRP 65 and over: One person household; measures: Value","Household Lifestage: Age of HRP 65 and over: Two or more person household: No dependent children; measures: Value","Household Lifestage: Age of HRP 65 and over: Two or more person household: With dependent children; measures: Value"
"E01006554",2011,"Liverpool 048F","Total",649,272,100,158,14,217,112,33,72,99,34,55,10,61,34,24,3
"E01006556",2011,"Liverpool 039B","Total",1016,378,196,73,109,383,181,62,140,117,69,36,12,138,92,42,4
"E01006557",2011,"Liverpool 038B","Total",635,387,39,322,26,128,37,37,54,57,21,29,7,63,41,22,0
"E01006558",2011,"Liverpool 018B","Total",739,193,88,25,80,286,147,52,87,118,52,60,6,142,93,48,1
"E01006560",2011,"Liverpool 023A","Total",996,169,87,18,64,351,172,48,131,192,100,83,9,284,177,100,7
"E01006562",2011,"Liverpool 018E","Total",714,170,61,6,103,280,99,59,122,136,57,72,7,128,77,47,4
"E01006563",2011,"Liverpool 024B","Total",908,159,58,18,83,263,100,46,117,168,111,48,9,318,208,101,9
"E01006564",2011,"Liverpool 023B","Total",800,104,33,30,41,234,72,49,113,214,74,121,19,248,121,125,2
"E01006565",2011,"Liverpool 029A","Total",638,67,13,16,38,254,45,80,129,103,34,61,8,214,105,109,0
"E01006566",2011,"Liverpool 032A","Total",577,82,27,21,34,241,39,56,146,104,26,69,9,150,92,57,1
"E01006567",2011,"Liverpool 026A","Total",892,164,100,17,47,296,138,51,107,151,77,61,13,281,185,96,0
"E01006568",2011,"Liverpool 026B","Total",629,115,29,26,60,268,56,71,141,118,36,74,8,128,70,55,3
"E01006569",2011,"Liverpool 029B","Total",613,68,29,15,24,217,56,54,107,110,45,59,6,218,106,105,7
"E01006570",2011,"Liverpool 026C","Total",595,66,18,24,24,265,45,69,151,100,24,65,11,164,78,85,1
"E01006571",2011,"Liverpool 026D","Total",612,81,18,10,53,240,61,63,116,119,41,69,9,172,84,88,0
"E01006572",2011,"Liverpool 025A","Total",501,95,12,7,76,196,29,69,98,82,25,50,7,128,67,56,5
"E01006573",2011,"Liverpool 029C","Total",778,161,57,19,85,277,116,56,105,114,46,57,11,226,149,73,4
"E01006574",2011,"Liverpool 025B","Total",612,84,17,10,57,262,76,55,131,77,20,52,5,189,118,69,2
"E01006575",2011,"Liverpool 034A","Total",578,78,24,21,33,220,49,58,113,96,35,55,6,184,97,86,1
"E01006576",2011,"Liverpool 034B","Total",713,82,19,32,31,309,48,88,173,130,26,95,9,192,98,94,0
"E01006577",2011,"Liverpool 034C","Total",597,49,12,21,16,261,39,57,165,122,18,91,13,165,76,89,0
"E01006578",2011,"Liverpool 036A","Total",554,107,22,37,48,211,35,54,122,92,17,68,7,144,65,75,4
"E01006579",2011,"Liverpool 034D","Total",618,46,4,10,32,245,17,68,160,123,16,92,15,204,94,108,2
"E01006580",2011,"Liverpool 036B","Total",515,40,9,9,22,223,29,57,137,106,19,77,10,146,56,89,1
"E01006581",2011,"Liverpool 036C","Total",607,48,11,21,16,258,31,59,168,126,24,89,13,175,72,101,2
"E01006582",2011,"Liverpool 041A","Total",585,56,11,18,27,260,29,49,182,119,17,86,16,150,53,97,0
"E01006583",2011,"Liverpool 047C","Total",467,11,3,1,7,184,9,46,129,107,12,80,15,165,61,102,2
"E01006584",2011,"Liverpool 034E","Total",611,68,25,15,28,241,54,52,135,137,49,79,9,165,77,88,0
"E01006585",2011,"Liverpool 032B","Total",641,71,23,16,32,255,81,66,108,121,62,50,9,194,102,91,1
"E01006586",2011,"Liverpool 032C","Total",921,216,93,70,53,349,133,72,144,144,62,68,14,212,126,83,3
"E01006587",2011,"Liverpool 032D","Total",717,141,58,44,39,287,94,75,118,161,50,93,18,128,57,68,3
"E01006588",2011,"Liverpool 042C","Total",702,191,59,108,24,247,100,63,84,126,41,76,9,138,72,65,1
"E01006589",2011,"Liverpool 041B","Total",599,48,4,21,23,251,32,53,166,142,38,89,15,158,78,80,0
"E01006590",2011,"Liverpool 042D","Total",701,250,58,165,27,248,80,69,99,83,28,50,5,120,65,54,1
"E01006591",2011,"Liverpool 041C","Total",671,148,31,93,24,274,65,64,145,121,31,75,15,128,65,62,1
"E01006592",2011,"Liverpool 041D","Total",624,57,14,36,7,211,26,53,132,132,26,88,18,224,123,101,0
"E01006593",2011,"Liverpool 042E","Total",662,236,60,136,40,246,88,61,97,78,32,40,6,102,52,50,0
"E01006594",2011,"Liverpool 047D","Total",579,30,7,13,10,206,35,51,120,145,34,93,18,198,96,99,3
"E01006595",2011,"Liverpool 049B","Total",812,162,36,80,46,293,72,91,130,134,44,85,5,223,128,92,3
"E01006596",2011,"Liverpool 049C","Total",597,86,17,44,25,224,43,68,113,125,24,91,10,162,78,83,1
"E01006597",2011,"Liverpool 041E","Total",683,69,10,43,16,280,55,75,150,137,36,85,16,197,92,103,2
"E01006598",2011,"Liverpool 010A","Total",604,111,16,8,87,224,62,54,108,91,39,49,3,178,106,68,4
"E01006599",2011,"Liverpool 010B","Total",482,148,31,12,105,181,46,47,88,67,36,27,4,86,45,36,5
"E01006600",2011,"Liverpool 011A","Total",592,67,12,12,43,235,46,68,121,94,30,51,13,196,92,103,1
"E01006603",2011,"Liverpool 011B","Total",594,73,25,8,40,230,48,70,112,90,31,51,8,201,78,117,6
"E01006604",2011,"Liverpool 016A","Total",571,72,20,11,41,244,46,84,114,88,31,52,5,167,78,87,2
"E01006605",2011,"Liverpool 016B","Total",696,87,26,15,46,278,87,65,126,120,53,55,12,211,123,85,3
"E01006606",2011,"Liverpool 020A","Total",723,141,45,32,64,290,110,70,110,114,35,68,11,178,82,95,1
"E01006607",2011,"Liverpool 008A","Total",641,106,21,12,73,248,58,67,123,108,37,62,9,179,80,99,0
"E01006608",2011,"Liverpool 009A","Total",563,111,43,19,49,233,73,59,101,90,31,54,5,129,74,55,0
"E01006609",2011,"Liverpool 009B","Total",576,124,54,18,52,239,72,55,112,79,21,50,8,134,62,72,0
"E01006610",2011,"Liverpool 009C","Total",669,140,47,24,69,233,66,55,112,106,36,57,13,190,134,55,1
"E01006611",2011,"Liverpool 012A","Total",742,238,120,17,101,278,157,50,71,97,52,38,7,129,82,47,0
"E01006612",2011,"Liverpool 008B","Total",740,139,62,17,60,273,102,56,115,119,58,56,5,209,124,85,0
"E01006613",2011,"Liverpool 009D","Total",611,66,16,9,41,212,50,62,100,127,60,59,8,206,114,90,2
"E01006614",2011,"Liverpool 012B","Total",667,173,79,15,79,265,113,70,82,90,33,52,5,139,67,72,0
"E01006615",2011,"Liverpool 012C","Total",663,173,63,26,84,264,103,56,105,103,41,57,5,123,72,50,1
"E01006616",2011,"Liverpool 015D","Total",613,71,16,16,39,240,58,67,115,123,45,68,10,179,88,87,4
"E01006617",2011,"Liverpool 021A","Total",650,108,44,35,29,293,81,79,133,93,17,69,7,156,69,86,1
"E01006618",2011,"Liverpool 016C","Total",692,42,9,10,23,270,40,89,141,113,31,72,10,267,132,132,3
"E01006619",2011,"Liverpool 021B","Total",734,122,38,32,52,286,87,72,127,121,42,68,11,205,89,115,1
"E01006620",2011,"Liverpool 021C","Total",625,42,8,13,21,205,44,51,110,128,32,82,14,250,145,104,1
"E01006621",2011,"Liverpool 021D","Total",584,50,17,8,25,200,28,49,123,139,30,102,7,195,88,106,1
"E01006622",2011,"Liverpool 021E","Total",586,43,15,5,23,235,17,70,148,112,21,81,10,196,76,119,1
"E01006623",2011,"Liverpool 013A","Total",527,22,2,3,17,225,16,68,141,133,19,97,17,147,32,115,0
"E01006624",2011,"Liverpool 013B","Total",702,128,43,28,57,272,93,61,118,119,42,65,12,183,90,92,1
"E01006625",2011,"Liverpool 016D","Total",609,49,9,9,31,228,33,62,133,116,29,74,13,216,114,100,2
"E01006626",2011,"Liverpool 016E","Total",593,41,12,7,22,223,33,68,122,131,27,88,16,198,101,96,1
"E01006627",2011,"Liverpool 013C","Total",600,93,29,22,42,223,46,60,117,112,32,72,8,172,88,84,0
"E01006628",2011,"Liverpool 052D","Total",651,145,28,84,33,253,64,67,122,107,31,66,10,146,77,67,2
"E01006629",2011,"Liverpool 052E","Total",573,88,29,38,21,208,59,59,90,119,36,77,6,158,79,78,1
"E01006630",2011,"Liverpool 044B","Total",555,86,15,20,51,271,71,55,145,94,35,40,19,104,45,55,4
"E01006632",2011,"Liverpool 044C","Total",884,285,114,65,106,301,99,73,129,119,48,60,11,179,83,95,1
"E01006633",2011,"Liverpool 050B","Total",699,110,32,11,67,237,69,60,108,142,71,57,14,210,145,64,1
"E01006637",2011,"Liverpool 017A","Total",670,191,35,25,131,271,68,71,132,91,39,43,9,117,66,46,5
"E01006638",2011,"Liverpool 017B","Total",518,108,19,5,84,209,54,52,103,79,28,43,8,122,60,58,4
"E01006639",2011,"Liverpool 017C","Total",640,136,32,22,82,275,71,63,141,96,25,66,5,133,71,62,0
"E01006640",2011,"Liverpool 021F","Total",760,105,31,24,50,314,49,80,185,144,46,87,11,197,91,103,3
"E01006641",2011,"Liverpool 025C","Total",633,197,40,42,115,332,77,80,175,67,20,43,4,37,17,19,1
"E01006642",2011,"Liverpool 025D","Total",590,119,28,7,84,259,82,74,103,65,28,31,6,147,81,61,5
"E01006643",2011,"Liverpool 025E","Total",740,178,30,34,114,324,74,70,180,102,37,54,11,136,57,76,3
"E01006644",2011,"Liverpool 017D","Total",963,249,109,50,90,379,118,84,177,134,63,62,9,201,114,82,5
"E01006645",2011,"Liverpool 017E","Total",690,117,36,7,74,242,75,61,106,95,50,35,10,236,138,93,5
"E01006646",2011,"Liverpool 023C","Total",1006,381,188,119,74,325,158,57,110,134,63,59,12,166,94,69,3
"E01006647",2011,"Liverpool 024C","Total",636,112,28,7,77,235,69,38,128,124,53,55,16,165,92,67,6
"E01006648",2011,"Liverpool 023D","Total",1075,401,132,194,75,299,94,90,115,164,77,82,5,211,125,81,5
"E01006651",2011,"Liverpool 001A","Total",592,91,16,29,46,338,46,78,214,96,14,64,18,67,27,39,1
"E01006652",2011,"Liverpool 002A","Total",633,123,34,27,62,262,58,68,136,106,34,69,3,142,67,75,0
"E01006653",2011,"Liverpool 001B","Total",656,114,27,27,60,263,60,68,135,110,42,59,9,169,74,89,6
"E01006654",2011,"Liverpool 005A","Total",627,120,41,24,55,245,46,69,130,110,32,67,11,152,98,51,3
"E01006655",2011,"Liverpool 001C","Total",706,101,13,30,58,309,63,87,159,105,30,67,8,191,88,98,5
"E01006656",2011,"Liverpool 002B","Total",669,150,38,37,75,261,78,70,113,111,37,71,3,147,69,77,1
"E01006657",2011,"Liverpool 002C","Total",582,130,40,27,63,238,87,53,98,80,38,41,1,134,71,62,1
"E01006658",2011,"Liverpool 001D","Total",634,140,51,15,74,224,78,55,91,98,41,52,5,172,84,85,3
"E01006659",2011,"Liverpool 005B","Total",548,113,46,18,49,228,95,47,86,81,46,28,7,126,77,49,0
"E01006660",2011,"Liverpool 001E","Total",616,81,16,6,59,243,65,49,129,109,48,54,7,183,97,83,3
"E01006661",2011,"Liverpool 004A","Total",749,132,25,16,91,253,73,71,109,131,48,71,12,233,123,107,3
"E01006662",2011,"Liverpool 004B","Total",785,162,38,29,95,245,69,58,118,125,64,51,10,253,162,87,4
"E01006663",2011,"Liverpool 004C","Total",510,121,29,29,63,210,53,54,103,71,29,36,6,108,64,43,1
"E01006664",2011,"Liverpool 004D","Total",822,175,46,32,97,297,90,67,140,142,63,68,11,208,128,75,5
"E01006665",2011,"Liverpool 007A","Total",630,104,28,24,52,328,79,79,170,113,24,79,10,85,49,36,0
"E01006666",2011,"Liverpool 007B","Total",514,64,7,15,42,303,29,76,198,81,18,51,12,66,30,35,1
"E01006667",2011,"Liverpool 007C","Total",618,83,18,21,44,266,60,90,116,123,32,80,11,146,78,66,2
"E01006668",2011,"Liverpool 007D","Total",590,118,25,43,50,337,46,95,196,61,16,39,6,74,32,40,2
"E01006669",2011,"Liverpool 004E","Total",551,81,24,21,36,315,54,89,172,86,17,55,14,69,28,35,6
"E01006670",2011,"Liverpool 007E","Total",607,98,24,20,54,301,42,91,168,96,29,61,6,112,38,71,3
"E01006671",2011,"Liverpool 013D","Total",499,43,16,5,22,240,27,73,140,95,20,64,11,121,52,64,5
"E01006672",2011,"Liverpool 010E","Total",798,191,41,17,133,323,73,81,169,120,44,67,9,164,80,80,4
"E01006673",2011,"Liverpool 037D","Total",954,377,183,106,88,304,122,46,136,110,52,39,19,163,125,32,6
"E01006674",2011,"Liverpool 039C","Total",826,227,98,39,90,312,124,43,145,102,65,28,9,185,113,52,20
"E01006675",2011,"Liverpool 043C","Total",1132,503,298,166,39,410,297,59,54,131,100,25,6,88,71,15,2
"E01006676",2011,"Liverpool 044D","Total",761,215,53,42,120,299,101,55,143,106,53,35,18,141,83,52,6
"E01006677",2011,"Liverpool 043D","Total",477,108,18,14,76,203,89,33,81,76,45,23,8,90,58,28,4
"E01006678",2011,"Liverpool 044E","Total",1059,238,125,42,71,426,183,86,157,171,90,74,7,224,115,102,7
"E01006679",2011,"Liverpool 039D","Total",920,334,167,50,117,322,90,50,182,84,44,23,17,180,91,68,21
"E01006680",2011,"Liverpool 053B","Total",605,38,2,16,20,239,26,59,154,132,23,101,8,196,89,105,2
"E01006681",2011,"Liverpool 054D","Total",719,79,31,22,26,298,103,57,138,133,35,86,12,209,107,102,0
"E01006682",2011,"Liverpool 053C","Total",498,28,9,4,15,193,11,50,132,118,18,91,9,159,58,100,1
"E01006683",2011,"Liverpool 053D","Total",594,32,6,14,12,250,28,69,153,123,22,85,16,189,80,108,1
"E01006684",2011,"Liverpool 056B","Total",999,207,75,82,50,417,137,97,183,159,43,101,15,216,106,109,1
"E01006685",2011,"Liverpool 056C","Total",604,58,18,23,17,214,41,58,115,145,34,97,14,187,88,98,1
"E01006686",2011,"Liverpool 053E","Total",531,34,5,18,11,202,20,55,127,120,20,91,9,175,77,93,5
"E01006687",2011,"Liverpool 056D","Total",933,192,77,68,47,320,107,69,144,175,58,104,13,246,149,96,1
"E01006688",2011,"Liverpool 056E","Total",712,148,55,52,41,269,101,59,109,115,42,65,8,180,84,94,2
"E01006689",2011,"Liverpool 049D","Total",717,98,28,50,20,309,64,78,167,108,38,63,7,202,98,103,1
"E01006690",2011,"Liverpool 028A","Total",801,290,167,62,61,313,168,66,79,96,44,48,4,102,57,43,2
"E01006691",2011,"Liverpool 030A","Total",647,229,66,70,93,223,82,49,92,82,40,33,9,113,59,48,6
"E01006692",2011,"Liverpool 028B","Total",989,271,92,85,94,371,126,80,165,163,88,62,13,184,94,84,6
"E01006693",2011,"Liverpool 024D","Total",838,111,57,18,36,267,132,53,82,172,92,65,15,288,182,104,2
"E01006694",2011,"Liverpool 030B","Total",891,299,113,71,115,346,141,69,136,111,56,49,6,135,65,66,4
"E01006695",2011,"Liverpool 028C","Total",1029,419,271,79,69,409,237,64,108,110,71,32,7,91,58,30,3
"E01006696",2011,"Liverpool 030C","Total",768,188,65,56,67,299,86,56,157,142,61,74,7,139,78,59,2
"E01006697",2011,"Liverpool 030D","Total",828,262,80,77,105,319,120,68,131,110,51,48,11,137,68,68,1
"E01006698",2011,"Liverpool 012D","Total",725,182,59,27,96,279,73,65,141,124,42,69,13,140,70,70,0
"E01006699",2011,"Liverpool 014A","Total",777,204,62,31,111,297,130,59,108,124,52,64,8,152,78,68,6
"E01006700",2011,"Liverpool 012E","Total",653,140,60,23,57,263,91,56,116,125,53,61,11,125,61,64,0
"E01006701",2011,"Liverpool 014B","Total",671,114,49,12,53,255,108,62,85,157,53,94,10,145,80,62,3
"E01006702",2011,"Liverpool 014C","Total",740,165,48,28,89,278,83,68,127,137,48,78,11,160,84,76,0
"E01006703",2011,"Liverpool 014D","Total",818,163,99,19,45,302,143,54,105,170,91,72,7,183,114,66,3
"E01006705",2011,"Liverpool 009E","Total",689,206,96,32,78,274,109,69,96,97,37,56,4,112,57,53,2
"E01006706",2011,"Liverpool 045A","Total",582,63,3,6,54,244,57,65,122,104,49,50,5,171,77,90,4
"E01006707",2011,"Liverpool 045B","Total",553,61,9,3,49,187,39,45,103,112,26,75,11,193,89,99,5
"E01006708",2011,"Liverpool 045C","Total",754,136,30,36,70,323,82,83,158,112,41,62,9,183,96,86,1
"E01006709",2011,"Liverpool 040A","Total",685,119,39,22,58,258,96,63,99,109,40,62,7,199,118,80,1
"E01006710",2011,"Liverpool 045D","Total",592,97,7,19,71,237,38,71,128,116,24,83,9,142,67,73,2
"E01006711",2011,"Liverpool 027A","Total",685,142,55,21,66,299,93,71,135,99,46,41,12,145,83,61,1
"E01006712",2011,"Liverpool 029D","Total",569,123,30,34,59,228,63,47,118,93,33,50,10,125,68,53,4
"E01006713",2011,"Liverpool 029E","Total",604,114,18,25,71,234,53,70,111,95,30,59,6,161,95,64,2
"E01006716",2011,"Liverpool 032E","Total",701,198,63,40,95,283,101,62,120,106,50,51,5,114,71,42,1
"E01006717",2011,"Liverpool 027D","Total",576,73,29,12,32,257,47,68,142,101,25,71,5,145,67,75,3
"E01006718",2011,"Liverpool 027E","Total",678,97,33,22,42,274,62,75,137,142,64,64,14,165,86,79,0
"E01006719",2011,"Liverpool 027F","Total",638,119,24,32,63,270,65,58,147,105,35,58,12,144,69,71,4
"E01006720",2011,"Liverpool 035A","Total",905,418,124,172,122,293,117,49,127,87,47,35,5,107,73,29,5
"E01006721",2011,"Liverpool 038C","Total",912,375,127,144,104,275,134,42,99,84,56,21,7,178,136,37,5
"E01006722",2011,"Liverpool 038D","Total",608,335,58,245,32,135,25,38,72,54,16,29,9,84,56,26,2
"E01006723",2011,"Liverpool 038E","Total",749,343,77,230,36,200,76,53,71,93,48,39,6,113,63,48,2
"E01006724",2011,"Liverpool 038F","Total",554,284,32,237,15,127,30,38,59,60,15,37,8,83,36,46,1
"E01006725",2011,"Liverpool 035B","Total",739,240,76,83,81,241,97,55,89,103,51,44,8,155,84,68,3
"E01006726",2011,"Liverpool 035C","Total",659,256,54,145,57,235,95,54,86,80,27,45,8,88,50,37,1
"E01006727",2011,"Liverpool 035D","Total",665,198,52,86,60,237,82,64,91,112,41,63,8,118,63,51,4
"E01006728",2011,"Liverpool 035E","Total",855,300,89,105,106,306,144,57,105,98,63,29,6,151,103,47,1
"E01006729",2011,"Liverpool 008C","Total",539,117,10,9,98,210,23,62,125,74,14,52,8,138,74,59,5
"E01006730",2011,"Liverpool 011C","Total",542,71,11,12,48,221,35,55,131,90,29,51,10,160,90,68,2
"E01006731",2011,"Liverpool 011D","Total",486,88,17,6,65,181,38,49,94,92,26,56,10,125,61,62,2
"E01006732",2011,"Liverpool 011E","Total",644,158,23,9,126,247,56,57,134,87,22,55,10,152,69,79,4
"E01006734",2011,"Liverpool 005C","Total",625,175,30,21,124,212,49,52,111,89,29,53,7,149,79,68,2
"E01006735",2011,"Liverpool 005D","Total",571,107,35,4,68,215,59,47,109,106,42,53,11,143,71,64,8
"E01006736",2011,"Liverpool 005E","Total",582,100,31,13,56,256,47,71,138,91,23,56,12,135,57,76,2
"E01006737",2011,"Liverpool 005F","Total",562,87,16,5,66,231,33,75,123,95,31,55,9,149,62,83,4
"E01006738",2011,"Liverpool 058A","Total",662,123,18,23,82,258,67,70,121,105,38,56,11,176,97,75,4
"E01006739",2011,"Liverpool 058B","Total",707,133,23,13,97,292,59,67,166,128,52,70,6,154,91,58,5
"E01006740",2011,"Liverpool 057A","Total",604,151,70,32,49,223,71,40,112,96,49,37,10,134,83,49,2
"E01006741",2011,"Liverpool 058C","Total",778,126,28,23,75,330,74,97,159,116,44,65,7,206,105,97,4
"E01006742",2011,"Liverpool 057B","Total",591,98,22,25,51,237,66,63,108,103,32,60,11,153,75,76,2
"E01006743",2011,"Liverpool 058D","Total",1008,297,111,75,111,430,140,97,193,114,35,69,10,167,99,65,3
"E01006744",2011,"Liverpool 057C","Total",739,188,83,48,57,313,107,78,128,95,50,40,5,143,81,62,0
"E01006745",2011,"Liverpool 057D","Total",907,323,145,67,111,348,145,76,127,108,52,44,12,128,65,60,3
"E01006746",2011,"Liverpool 030E","Total",655,155,24,95,36,216,67,50,99,87,37,42,8,197,88,106,3
"E01006747",2011,"Liverpool 031B","Total",857,463,244,184,35,199,94,40,65,92,53,38,1,103,69,31,3
"E01006748",2011,"Liverpool 031C","Total",756,385,74,273,38,162,54,42,66,86,36,41,9,123,75,45,3
"E01006751",2011,"Liverpool 031F","Total",831,253,66,120,67,236,57,48,131,131,60,51,20,211,118,76,17
"E01006752",2011,"Liverpool 035F","Total",489,137,71,34,32,188,70,38,80,76,37,34,5,88,54,33,1
"E01006753",2011,"Liverpool 059A","Total",666,173,47,16,110,242,47,70,125,95,42,47,6,156,75,79,2
"E01006754",2011,"Liverpool 059B","Total",781,167,42,27,98,256,75,71,110,171,95,66,10,187,110,70,7
"E01006755",2011,"Liverpool 059C","Total",690,200,66,19,115,248,74,65,109,110,41,53,16,132,76,51,5
"E01006756",2011,"Liverpool 059D","Total",757,213,39,29,145,285,66,63,156,114,49,57,8,145,66,75,4
"E01006757",2011,"Liverpool 059E","Total",621,170,35,17,118,235,66,52,117,95,29,58,8,121,73,46,2
"E01006758",2011,"Liverpool 059F","Total",639,141,21,17,103,259,69,68,122,102,38,56,8,137,71,64,2
