"lsoa11cd","date","lsoa11nm","Rural Urban","Economic Activity (Student): All categories: Full-time students and economic activity; measures: Value","Economic Activity (Student): Full-time students: Economically active: In employment; measures: Value","Economic Activity (Student): Full-time students: Economically active: Unemployed; measures: Value","Economic Activity (Student): Full-time students: Economically inactive; measures: Value"
"E01006788",2011,"Liverpool 006B","Total",105,36,8,61
"E01006790",2011,"Liverpool 006C","Total",111,22,13,76
"E01006791",2011,"Liverpool 006D","Total",84,24,4,56
"E01006792",2011,"Liverpool 046A","Total",66,16,4,46
"E01006793",2011,"Liverpool 051A","Total",85,24,4,57
"E01006794",2011,"Liverpool 046B","Total",82,29,7,46
"E01006795",2011,"Liverpool 051B","Total",83,27,8,48
"E01006796",2011,"Liverpool 047E","Total",118,27,5,86
"E01006797",2011,"Liverpool 051C","Total",94,37,11,46
"E01006798",2011,"Liverpool 051D","Total",77,29,9,39
"E01006799",2011,"Liverpool 051E","Total",59,21,5,33
"E01006800",2011,"Liverpool 046C","Total",66,12,5,49
"E01006801",2011,"Liverpool 046D","Total",57,24,5,28
"E01032505",2011,"Liverpool 050F","Total",102,26,8,68
"E01032506",2011,"Liverpool 050G","Total",86,30,9,47
"E01032507",2011,"Liverpool 050H","Total",174,70,14,90
"E01032508",2011,"Liverpool 027G","Total",115,37,11,67
"E01032509",2011,"Liverpool 027H","Total",77,25,2,50
"E01032510",2011,"Liverpool 008F","Total",113,48,18,47
"E01032511",2011,"Liverpool 008G","Total",80,26,13,41
"E01033747",2011,"Liverpool 018F","Total",77,20,7,50
"E01033748",2011,"Liverpool 050I","Total",166,57,11,98
"E01033749",2011,"Liverpool 042F","Total",983,117,106,760
"E01033750",2011,"Liverpool 061A","Total",211,49,13,149
"E01033751",2011,"Liverpool 062A","Total",915,231,104,580
"E01033752",2011,"Liverpool 062B","Total",240,80,12,148
"E01033753",2011,"Liverpool 062C","Total",199,33,12,154
"E01033754",2011,"Liverpool 061B","Total",255,88,19,148
"E01033755",2011,"Liverpool 062D","Total",244,77,13,154
"E01033756",2011,"Liverpool 061C","Total",409,85,24,300
"E01033757",2011,"Liverpool 037E","Total",584,125,37,422
"E01033758",2011,"Liverpool 060B","Total",1274,206,134,934
"E01033759",2011,"Liverpool 010F","Total",59,22,12,25
"E01033760",2011,"Liverpool 060C","Total",1661,422,229,1010
"E01033761",2011,"Liverpool 060D","Total",481,165,40,276
"E01033762",2011,"Liverpool 060E","Total",1311,310,158,843
"E01033763",2011,"Liverpool 031G","Total",274,70,35,169
"E01033764",2011,"Liverpool 022E","Total",108,31,6,71
"E01033765",2011,"Liverpool 061D","Total",85,22,10,53
"E01033766",2011,"Liverpool 042G","Total",275,68,26,181
"E01033767",2011,"Liverpool 050J","Total",62,13,7,42
"E01033768",2011,"Liverpool 037F","Total",212,50,14,148
