"lsoa11cd","date","lsoa11nm","Rural Urban","Qualification: All usual residents aged 16 and over; measures: Value","Qualification: No qualifications; measures: Value","Qualification: 1-4 O levels/CSE/GCSEs (any grades), Entry Level, Foundation Diploma; measures: Value","Qualification: NVQ Level 1, Foundation GNVQ, Basic Skills; measures: Value","Qualification: 5+ O level (Passes)/CSEs (Grade 1)/GCSEs (Grades A*-C), School Certificate, 1 A level/2-3 AS levels/VCEs, Higher Diploma, Welsh Baccalaureate Intermediate Diploma; measures: Value","Qualification: NVQ Level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First/General Diploma, RSA Diploma; measures: Value","Qualification: Apprenticeship; measures: Value","Qualification: 2+ A levels/VCEs, 4+ AS levels, Higher School Certificate, Progression/Advanced Diploma, Welsh Baccalaureate Advanced Diploma; measures: Value","Qualification: NVQ Level 3, Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma; measures: Value","Qualification: Degree (for example BA, BSc), Higher degree (for example MA, PhD, PGCE); measures: Value","Qualification: NVQ Level 4-5, HNC, HND, RSA Higher Diploma, BTEC Higher Level; measures: Value","Qualification: Professional qualifications (for example teaching, nursing, accountancy); measures: Value","Qualification: Other vocational/work-related qualifications; measures: Value","Qualification: Foreign qualifications; measures: Value"
"E01006526",2011,"Liverpool 048C","Total",1217,285,358,90,525,148,38,331,136,373,60,249,210,33
"E01006527",2011,"Liverpool 053A","Total",1247,267,434,77,543,147,70,343,129,269,64,218,211,38
"E01006528",2011,"Liverpool 052C","Total",1239,180,465,101,618,177,53,450,168,403,73,225,257,65
"E01006529",2011,"Liverpool 048D","Total",1080,168,388,76,536,133,45,375,134,391,59,252,181,37
"E01006530",2011,"Liverpool 055A","Total",1222,270,400,94,452,211,97,210,152,200,55,202,192,12
"E01006531",2011,"Liverpool 055B","Total",1292,373,404,85,458,207,109,193,162,163,70,191,220,19
"E01006532",2011,"Liverpool 047A","Total",1280,186,402,41,688,108,87,413,105,389,59,380,192,51
"E01006533",2011,"Liverpool 055C","Total",1205,322,368,96,440,175,100,231,126,212,56,212,197,27
"E01006534",2011,"Liverpool 054A","Total",1271,374,413,128,393,181,58,207,132,207,60,149,172,46
"E01006535",2011,"Liverpool 054B","Total",1401,442,489,152,412,221,76,216,175,202,45,182,199,34
"E01006536",2011,"Liverpool 054C","Total",1545,533,513,167,375,273,75,171,197,171,65,125,201,24
"E01006537",2011,"Liverpool 055D","Total",1847,398,673,203,588,366,109,299,240,274,84,198,274,142
"E01006538",2011,"Liverpool 055E","Total",1101,267,415,109,346,214,90,170,164,158,54,137,173,15
"E01006539",2011,"Liverpool 047B","Total",1237,195,393,62,657,131,64,423,116,402,79,385,218,42
"E01006540",2011,"Liverpool 024A","Total",1218,483,346,148,205,187,38,74,101,91,18,61,133,60
"E01006541",2011,"Liverpool 015A","Total",1350,505,474,164,265,234,87,104,140,90,45,69,171,7
"E01006542",2011,"Liverpool 018A","Total",1149,425,350,126,228,183,54,98,121,89,36,75,149,47
"E01006543",2011,"Liverpool 015B","Total",1053,311,353,112,253,196,84,88,141,73,40,69,153,5
"E01006544",2011,"Liverpool 015C","Total",1304,515,388,152,244,240,54,87,113,68,19,55,144,8
"E01006545",2011,"Liverpool 019A","Total",1174,353,408,145,260,242,56,102,157,77,49,84,178,6
"E01006546",2011,"Liverpool 019B","Total",1016,339,376,137,224,177,45,98,115,65,23,60,120,18
"E01006547",2011,"Liverpool 019C","Total",1197,457,391,143,230,198,53,111,121,83,33,100,136,36
"E01006548",2011,"Liverpool 019D","Total",1328,472,426,152,266,246,52,136,134,91,37,66,165,48
"E01006549",2011,"Liverpool 043B","Total",1536,269,511,108,730,219,25,581,136,530,68,234,246,166
"E01006550",2011,"Liverpool 038A","Total",1499,98,600,72,1099,123,19,1012,108,280,33,124,163,69
"E01006551",2011,"Liverpool 048E","Total",1485,438,407,79,636,127,30,560,91,248,31,151,170,68
"E01006552",2011,"Liverpool 039A","Total",1452,385,410,167,353,218,30,249,126,312,46,135,159,232
"E01006553",2011,"Liverpool 042A","Total",1705,146,626,82,1152,165,30,1025,125,519,53,210,250,64
"E01006554",2011,"Liverpool 048F","Total",1530,143,596,97,989,149,34,887,122,477,49,244,196,122
"E01006556",2011,"Liverpool 039B","Total",1595,586,404,146,311,179,30,186,143,190,45,94,151,171
"E01006557",2011,"Liverpool 038B","Total",1915,143,752,105,1321,163,30,1236,112,365,41,125,179,101
"E01006558",2011,"Liverpool 018B","Total",1131,493,316,155,181,190,44,56,81,52,17,39,145,24
"E01006560",2011,"Liverpool 023A","Total",1576,819,366,147,206,226,43,76,99,62,21,44,159,37
"E01006562",2011,"Liverpool 018E","Total",1185,523,322,124,186,187,37,65,101,42,22,35,120,36
"E01006563",2011,"Liverpool 024B","Total",1408,726,289,140,167,204,48,59,85,53,22,52,128,55
"E01006564",2011,"Liverpool 023B","Total",1477,698,364,160,217,213,72,89,148,92,45,83,159,40
"E01006565",2011,"Liverpool 029A","Total",1275,454,432,146,260,210,74,103,145,95,43,103,152,28
"E01006566",2011,"Liverpool 032A","Total",1234,318,434,135,388,194,73,176,154,158,55,166,194,33
"E01006567",2011,"Liverpool 026A","Total",1439,584,434,163,260,230,89,105,155,110,42,114,152,36
"E01006568",2011,"Liverpool 026B","Total",1306,349,434,135,385,263,69,164,172,139,68,183,174,32
"E01006569",2011,"Liverpool 029B","Total",1214,493,352,110,225,207,57,88,115,91,40,83,156,6
"E01006570",2011,"Liverpool 026C","Total",1221,299,429,125,401,217,99,197,158,165,57,178,195,19
"E01006571",2011,"Liverpool 026D","Total",1210,507,323,148,236,217,59,108,127,76,32,67,174,11
"E01006572",2011,"Liverpool 025A","Total",909,380,258,125,132,187,45,52,110,39,29,51,112,19
"E01006573",2011,"Liverpool 029C","Total",1223,458,356,124,288,218,51,135,127,115,26,111,156,36
"E01006574",2011,"Liverpool 025B","Total",1094,412,324,120,194,210,53,73,143,71,31,79,156,15
"E01006575",2011,"Liverpool 034A","Total",1087,315,357,115,321,183,64,161,116,161,47,144,156,22
"E01006576",2011,"Liverpool 034B","Total",1394,297,502,115,491,255,105,248,202,221,70,217,259,15
"E01006577",2011,"Liverpool 034C","Total",1236,224,430,104,519,198,95,267,174,276,89,236,210,20
"E01006578",2011,"Liverpool 036A","Total",1108,234,395,118,440,197,80,218,162,203,61,167,206,12
"E01006579",2011,"Liverpool 034D","Total",1317,263,446,103,502,191,92,255,162,258,61,267,242,29
"E01006580",2011,"Liverpool 036B","Total",1111,159,381,68,525,160,61,273,129,264,70,224,209,41
"E01006581",2011,"Liverpool 036C","Total",1264,183,449,95,596,189,89,354,154,309,78,289,238,27
"E01006582",2011,"Liverpool 041A","Total",1309,170,445,73,693,149,94,399,154,381,83,363,232,27
"E01006583",2011,"Liverpool 047C","Total",1524,134,562,78,924,159,54,648,170,305,82,298,215,41
"E01006584",2011,"Liverpool 034E","Total",1147,261,417,107,353,214,87,164,183,144,55,154,212,7
"E01006585",2011,"Liverpool 032B","Total",1136,463,325,116,208,167,46,87,111,73,38,65,150,39
"E01006586",2011,"Liverpool 032C","Total",1606,466,528,165,503,243,75,306,199,272,61,205,242,56
"E01006587",2011,"Liverpool 032D","Total",1354,331,422,106,449,237,63,267,152,277,48,205,225,53
"E01006588",2011,"Liverpool 042C","Total",1402,242,479,110,649,204,69,470,171,405,67,254,231,69
"E01006589",2011,"Liverpool 041B","Total",1234,218,462,92,476,212,80,270,157,286,68,231,230,30
"E01006590",2011,"Liverpool 042D","Total",1457,176,570,115,795,192,45,619,177,501,77,262,233,68
"E01006591",2011,"Liverpool 041C","Total",1374,159,502,90,787,146,52,578,150,515,59,352,245,61
"E01006592",2011,"Liverpool 041D","Total",1327,142,472,61,811,128,57,566,113,526,61,464,204,52
"E01006593",2011,"Liverpool 042E","Total",1324,155,485,110,720,167,40,562,152,459,64,267,223,63
"E01006594",2011,"Liverpool 047D","Total",1191,146,386,52,623,124,67,396,107,404,53,358,211,39
"E01006595",2011,"Liverpool 049B","Total",1476,286,476,93,683,221,69,427,167,428,81,309,263,38
"E01006596",2011,"Liverpool 049C","Total",1228,215,416,72,579,154,68,375,120,367,67,266,187,38
"E01006597",2011,"Liverpool 041E","Total",1395,169,489,65,780,154,65,524,130,526,67,453,252,45
"E01006598",2011,"Liverpool 010A","Total",1038,505,264,131,141,171,29,51,93,36,23,43,104,25
"E01006599",2011,"Liverpool 010B","Total",814,341,213,116,149,154,25,46,73,36,18,36,84,25
"E01006600",2011,"Liverpool 011A","Total",1173,493,312,143,204,235,43,82,116,52,21,72,148,16
"E01006603",2011,"Liverpool 011B","Total",1177,503,334,135,214,200,45,76,123,67,24,65,133,13
"E01006604",2011,"Liverpool 016A","Total",1130,418,388,148,213,215,56,79,137,65,36,66,142,7
"E01006605",2011,"Liverpool 016B","Total",1270,530,368,166,242,209,65,95,133,77,43,68,169,13
"E01006606",2011,"Liverpool 020A","Total",1267,436,422,166,254,221,82,111,159,95,43,86,156,18
"E01006607",2011,"Liverpool 008A","Total",1227,533,349,145,199,206,37,76,118,51,21,44,136,7
"E01006608",2011,"Liverpool 009A","Total",998,340,318,108,222,178,42,87,124,73,40,68,132,8
"E01006609",2011,"Liverpool 009B","Total",1060,357,338,126,252,203,53,99,112,74,32,83,135,8
"E01006610",2011,"Liverpool 009C","Total",1141,459,335,144,234,206,51,92,120,69,25,62,144,14
"E01006611",2011,"Liverpool 012A","Total",1055,441,322,143,179,200,46,56,94,42,14,37,134,15
"E01006612",2011,"Liverpool 008B","Total",1214,536,332,137,199,203,76,85,116,51,24,54,127,11
"E01006613",2011,"Liverpool 009D","Total",1152,506,301,126,231,185,60,71,122,53,35,59,132,8
"E01006614",2011,"Liverpool 012B","Total",1084,415,344,158,219,205,55,84,120,60,38,46,140,18
"E01006615",2011,"Liverpool 012C","Total",1071,424,313,126,182,201,46,72,118,54,34,55,127,11
"E01006616",2011,"Liverpool 015D","Total",1185,463,356,126,230,185,71,80,136,66,37,84,170,21
"E01006617",2011,"Liverpool 021A","Total",1216,280,424,130,416,215,87,219,160,189,64,193,241,20
"E01006618",2011,"Liverpool 016C","Total",1391,528,444,161,274,232,74,102,146,81,38,78,167,3
"E01006619",2011,"Liverpool 021B","Total",1339,341,457,136,415,230,80,205,169,173,63,183,197,15
"E01006620",2011,"Liverpool 021C","Total",1197,338,376,95,403,185,74,173,140,143,68,158,198,3
"E01006621",2011,"Liverpool 021D","Total",1249,247,411,86,498,187,95,254,140,232,48,227,178,27
"E01006622",2011,"Liverpool 021E","Total",1238,237,427,93,490,201,110,227,160,176,61,198,227,14
"E01006623",2011,"Liverpool 013A","Total",1223,295,436,117,394,196,104,180,146,161,54,177,202,17
"E01006624",2011,"Liverpool 013B","Total",1294,422,426,164,290,237,82,121,144,115,39,133,202,28
"E01006625",2011,"Liverpool 016D","Total",1171,328,403,103,353,195,95,151,172,121,59,145,225,9
"E01006626",2011,"Liverpool 016E","Total",1246,317,450,129,365,224,92,166,159,143,72,148,189,16
"E01006627",2011,"Liverpool 013C","Total",1152,315,425,139,355,212,82,156,162,153,65,151,184,17
"E01006628",2011,"Liverpool 052D","Total",1632,246,574,123,809,212,64,603,173,519,81,262,197,78
"E01006629",2011,"Liverpool 052E","Total",1116,294,346,87,416,165,48,251,132,258,51,187,174,28
"E01006630",2011,"Liverpool 044B","Total",1029,483,248,91,162,148,26,73,89,73,23,48,75,36
"E01006632",2011,"Liverpool 044C","Total",1465,592,417,187,256,252,54,140,171,109,48,61,186,73
"E01006633",2011,"Liverpool 050B","Total",1151,592,256,110,154,168,32,71,79,69,24,48,115,33
"E01006637",2011,"Liverpool 017A","Total",1161,419,340,158,211,229,50,80,136,86,30,79,137,64
"E01006638",2011,"Liverpool 017B","Total",934,411,239,101,158,160,25,65,77,53,20,31,70,38
"E01006639",2011,"Liverpool 017C","Total",1177,328,410,137,319,218,58,126,180,115,62,116,177,25
"E01006640",2011,"Liverpool 021F","Total",1496,367,508,152,507,247,118,231,177,205,72,213,249,34
"E01006641",2011,"Liverpool 025C","Total",1267,288,410,181,339,262,44,156,198,186,51,202,200,93
"E01006642",2011,"Liverpool 025D","Total",1014,468,270,120,153,166,41,50,89,36,20,44,90,16
"E01006643",2011,"Liverpool 025E","Total",1357,484,433,192,258,258,41,106,126,104,34,97,207,32
"E01006644",2011,"Liverpool 017D","Total",1643,575,539,177,368,285,69,168,193,144,51,119,247,33
"E01006645",2011,"Liverpool 017E","Total",1161,554,320,135,149,196,54,58,114,47,28,53,123,8
"E01006646",2011,"Liverpool 023C","Total",1633,600,429,178,424,232,46,289,139,325,51,146,197,137
"E01006647",2011,"Liverpool 024C","Total",1071,569,247,100,129,148,30,48,76,41,16,41,103,24
"E01006648",2011,"Liverpool 023D","Total",1895,659,517,216,508,268,51,350,180,366,61,163,216,141
"E01006651",2011,"Liverpool 001A","Total",1248,187,523,138,464,262,96,183,216,160,65,178,246,16
"E01006652",2011,"Liverpool 002A","Total",1211,321,482,153,307,233,83,134,147,122,41,144,185,20
"E01006653",2011,"Liverpool 001B","Total",1211,438,397,145,228,226,78,102,166,75,49,96,161,20
"E01006654",2011,"Liverpool 005A","Total",1236,401,436,158,298,241,74,121,160,86,51,118,198,16
"E01006655",2011,"Liverpool 001C","Total",1410,456,476,187,307,276,77,115,180,156,45,159,197,59
"E01006656",2011,"Liverpool 002B","Total",1221,304,470,164,370,289,91,143,190,119,50,132,218,11
"E01006657",2011,"Liverpool 002C","Total",978,297,365,149,230,239,53,99,132,74,23,80,144,4
"E01006658",2011,"Liverpool 001D","Total",1067,463,301,131,148,209,46,59,119,42,24,45,127,24
"E01006659",2011,"Liverpool 005B","Total",1574,570,509,319,259,315,85,79,157,72,53,90,262,36
"E01006660",2011,"Liverpool 001E","Total",1136,440,304,125,203,206,44,67,133,66,27,92,144,43
"E01006661",2011,"Liverpool 004A","Total",1350,644,342,179,196,220,52,73,120,66,25,50,122,24
"E01006662",2011,"Liverpool 004B","Total",1439,658,339,131,242,206,43,107,116,102,43,97,144,52
"E01006663",2011,"Liverpool 004C","Total",896,311,304,116,191,165,43,80,112,69,23,78,135,17
"E01006664",2011,"Liverpool 004D","Total",1406,576,401,170,257,259,57,94,136,81,38,97,156,58
"E01006665",2011,"Liverpool 007A","Total",1219,256,475,147,406,237,91,169,183,153,81,177,218,22
"E01006666",2011,"Liverpool 007B","Total",1156,167,484,145,445,246,89,164,187,146,82,160,238,39
"E01006667",2011,"Liverpool 007C","Total",1205,402,385,140,277,223,74,114,145,104,54,99,197,26
"E01006668",2011,"Liverpool 007D","Total",1163,197,477,128,437,242,79,185,198,185,80,174,235,20
"E01006669",2011,"Liverpool 004E","Total",1142,236,455,151,351,229,88,141,184,140,64,115,181,41
"E01006670",2011,"Liverpool 007E","Total",1210,260,437,167,398,248,101,172,187,143,73,154,220,32
"E01006671",2011,"Liverpool 013D","Total",1105,328,367,102,314,192,62,141,103,130,40,135,164,28
"E01006672",2011,"Liverpool 010E","Total",1445,549,461,169,247,257,55,93,144,80,42,95,190,51
"E01006673",2011,"Liverpool 037D","Total",1511,484,365,136,403,190,40,296,149,314,47,102,155,166
"E01006674",2011,"Liverpool 039C","Total",1355,551,272,139,215,155,18,132,76,167,33,82,94,155
"E01006675",2011,"Liverpool 043C","Total",1702,383,526,174,690,232,24,526,176,643,90,238,243,175
"E01006676",2011,"Liverpool 044D","Total",1283,503,294,129,192,155,18,122,106,148,27,69,106,128
"E01006677",2011,"Liverpool 043D","Total",753,346,161,80,107,108,12,51,72,66,20,39,63,60
"E01006678",2011,"Liverpool 044E","Total",1774,698,493,172,392,295,53,244,192,206,60,130,214,68
"E01006679",2011,"Liverpool 039D","Total",1578,622,341,166,222,182,31,127,100,219,39,82,89,185
"E01006680",2011,"Liverpool 053B","Total",1310,202,506,86,576,186,100,304,172,290,91,253,249,23
"E01006681",2011,"Liverpool 054D","Total",1342,333,445,100,474,193,80,259,141,222,75,192,211,36
"E01006682",2011,"Liverpool 053C","Total",1068,143,376,63,527,127,74,295,136,300,70,296,192,23
"E01006683",2011,"Liverpool 053D","Total",1254,203,420,82,569,160,104,292,175,277,91,278,225,20
"E01006684",2011,"Liverpool 056B","Total",1796,219,649,119,937,249,97,618,224,661,95,483,337,68
"E01006685",2011,"Liverpool 056C","Total",1264,233,419,73,585,150,98,358,156,317,68,296,247,31
"E01006686",2011,"Liverpool 053E","Total",1196,218,419,63,511,161,82,264,144,233,61,206,217,20
"E01006687",2011,"Liverpool 056D","Total",1669,318,489,100,824,198,60,575,157,632,77,471,268,72
"E01006688",2011,"Liverpool 056E","Total",1286,273,442,119,506,211,84,317,151,330,51,234,237,54
"E01006689",2011,"Liverpool 049D","Total",1365,237,486,112,612,207,94,353,173,342,72,287,290,26
"E01006690",2011,"Liverpool 028A","Total",1295,404,365,113,304,185,43,190,135,171,40,110,153,132
"E01006691",2011,"Liverpool 030A","Total",1163,363,288,120,244,155,27,122,87,148,24,65,119,140
"E01006692",2011,"Liverpool 028B","Total",1748,557,520,186,431,273,61,221,167,229,52,155,219,156
"E01006693",2011,"Liverpool 024D","Total",1337,682,263,118,177,177,72,62,93,60,26,66,133,53
"E01006694",2011,"Liverpool 030B","Total",1481,489,372,159,296,235,37,141,104,169,39,128,125,165
"E01006695",2011,"Liverpool 028C","Total",1549,410,444,175,407,260,61,195,144,219,65,133,227,198
"E01006696",2011,"Liverpool 030C","Total",1372,489,344,130,292,211,43,161,128,161,37,97,155,103
"E01006697",2011,"Liverpool 030D","Total",1457,491,382,169,287,219,46,156,139,154,37,96,164,163
"E01006698",2011,"Liverpool 012D","Total",1324,449,444,193,281,271,62,114,165,85,37,78,149,19
"E01006699",2011,"Liverpool 014A","Total",1275,613,322,143,194,208,39,62,117,45,31,40,107,39
"E01006700",2011,"Liverpool 012E","Total",1177,492,326,159,213,199,55,90,143,67,31,58,143,14
"E01006701",2011,"Liverpool 014B","Total",1174,451,345,148,222,209,73,87,142,72,24,66,173,15
"E01006702",2011,"Liverpool 014C","Total",1277,580,338,143,226,226,45,98,121,60,24,46,147,37
"E01006703",2011,"Liverpool 014D","Total",1319,650,333,152,207,188,47,82,109,64,19,37,123,38
"E01006705",2011,"Liverpool 009E","Total",1157,349,407,168,274,258,49,115,159,72,34,77,165,22
"E01006706",2011,"Liverpool 045A","Total",1086,534,271,104,154,158,36,56,85,30,16,40,123,8
"E01006707",2011,"Liverpool 045B","Total",1067,559,235,110,124,163,28,45,91,33,18,29,111,12
"E01006708",2011,"Liverpool 045C","Total",1431,536,452,203,303,272,66,132,196,111,38,102,223,20
"E01006709",2011,"Liverpool 040A","Total",1211,470,364,147,226,237,51,110,135,97,41,82,136,13
"E01006710",2011,"Liverpool 045D","Total",1191,391,398,175,241,264,63,84,134,55,28,48,182,9
"E01006711",2011,"Liverpool 027A","Total",1225,367,441,144,309,235,47,145,150,130,53,107,176,26
"E01006712",2011,"Liverpool 029D","Total",1045,313,357,122,275,215,51,126,126,122,46,95,138,20
"E01006713",2011,"Liverpool 029E","Total",1113,324,413,116,262,191,63,121,132,115,35,115,149,25
"E01006716",2011,"Liverpool 032E","Total",1263,489,380,150,267,218,57,133,141,127,42,97,158,43
"E01006717",2011,"Liverpool 027D","Total",1173,270,426,135,373,207,86,153,156,146,67,125,210,26
"E01006718",2011,"Liverpool 027E","Total",1296,369,443,138,377,246,66,183,165,166,54,135,193,37
"E01006719",2011,"Liverpool 027F","Total",1209,328,433,158,320,260,79,164,164,120,48,86,201,20
"E01006720",2011,"Liverpool 035A","Total",1663,453,453,139,580,205,33,426,162,292,39,144,141,208
"E01006721",2011,"Liverpool 038C","Total",1376,429,410,136,427,211,43,324,145,233,40,103,175,92
"E01006722",2011,"Liverpool 038D","Total",1591,225,574,105,936,160,27,811,140,291,47,81,169,102
"E01006723",2011,"Liverpool 038E","Total",1701,299,574,115,879,204,23,759,138,329,35,109,175,99
"E01006724",2011,"Liverpool 038F","Total",1671,183,644,99,1061,137,24,1003,112,304,43,144,182,77
"E01006725",2011,"Liverpool 035B","Total",1284,377,405,151,374,218,53,256,158,207,35,124,175,46
"E01006726",2011,"Liverpool 035C","Total",1325,281,489,134,552,200,27,455,134,277,42,101,161,98
"E01006727",2011,"Liverpool 035D","Total",1215,286,428,120,425,212,52,276,158,262,54,125,203,55
"E01006728",2011,"Liverpool 035E","Total",1328,437,431,159,388,194,26,266,133,201,38,94,136,63
"E01006729",2011,"Liverpool 008C","Total",1018,407,292,144,164,189,47,47,96,30,18,45,131,13
"E01006730",2011,"Liverpool 011C","Total",1048,448,298,121,183,183,47,58,102,42,20,56,102,7
"E01006731",2011,"Liverpool 011D","Total",940,392,291,108,154,192,48,61,94,51,29,58,96,22
"E01006732",2011,"Liverpool 011E","Total",1177,511,344,174,176,223,40,58,111,43,20,33,104,19
"E01006734",2011,"Liverpool 005C","Total",1058,419,291,150,158,221,52,57,116,38,17,55,149,32
"E01006735",2011,"Liverpool 005D","Total",1030,456,273,114,143,169,32,46,101,49,16,66,105,18
"E01006736",2011,"Liverpool 005E","Total",1167,456,383,153,201,225,42,71,119,63,27,86,164,37
"E01006737",2011,"Liverpool 005F","Total",1152,466,342,148,196,249,41,69,107,40,32,55,121,18
"E01006738",2011,"Liverpool 058A","Total",1183,489,385,167,177,219,45,81,113,59,24,49,127,11
"E01006739",2011,"Liverpool 058B","Total",1342,544,411,154,208,236,57,60,128,57,30,55,182,25
"E01006740",2011,"Liverpool 057A","Total",1018,440,276,118,150,139,22,57,72,61,24,53,121,47
"E01006741",2011,"Liverpool 058C","Total",1470,633,453,185,207,261,57,74,144,43,30,45,181,14
"E01006742",2011,"Liverpool 057B","Total",1152,346,394,123,319,222,51,142,144,146,45,116,196,19
"E01006743",2011,"Liverpool 058D","Total",1727,499,568,195,445,349,94,218,211,224,48,147,238,91
"E01006744",2011,"Liverpool 057C","Total",1209,323,431,140,355,236,49,205,153,207,67,134,201,48
"E01006745",2011,"Liverpool 057D","Total",1520,390,517,171,477,281,63,242,197,212,61,157,260,77
"E01006746",2011,"Liverpool 030E","Total",1317,487,312,80,332,121,34,264,81,132,15,67,125,93
"E01006747",2011,"Liverpool 031B","Total",3422,399,1095,187,1801,268,30,1589,214,553,50,142,212,572
"E01006748",2011,"Liverpool 031C","Total",1768,336,527,119,800,152,33,730,132,293,51,108,129,235
"E01006751",2011,"Liverpool 031F","Total",2214,613,551,169,636,203,34,529,106,366,43,94,161,380
"E01006752",2011,"Liverpool 035F","Total",839,263,244,73,212,122,24,116,90,126,30,66,96,110
"E01006753",2011,"Liverpool 059A","Total",1184,505,358,174,188,214,50,53,106,38,30,36,129,17
"E01006754",2011,"Liverpool 059B","Total",1317,540,385,140,186,206,47,72,104,46,23,48,146,72
"E01006755",2011,"Liverpool 059C","Total",1201,558,335,119,160,199,29,63,103,45,31,51,127,33
"E01006756",2011,"Liverpool 059D","Total",1348,546,411,178,178,273,45,66,132,50,28,43,151,54
"E01006757",2011,"Liverpool 059E","Total",1095,424,345,148,171,201,45,54,104,43,18,50,117,31
"E01006758",2011,"Liverpool 059F","Total",1157,481,343,140,213,213,40,56,111,51,29,47,145,26
"E01006759",2011,"Liverpool 028D","Total",902,237,276,113,235,143,44,125,107,130,25,82,126,40
"E01006760",2011,"Liverpool 028E","Total",1426,460,431,174,392,203,46,246,119,210,40,99,182,112
"E01006761",2011,"Liverpool 020B","Total",1374,481,486,153,275,234,53,119,145,108,48,116,204,28
"E01006762",2011,"Liverpool 015E","Total",1345,541,395,167,222,229,80,80,141,71,36,71,167,16
"E01006763",2011,"Liverpool 020C","Total",1159,346,432,145,282,223,63,130,127,112,40,102,173,12
"E01006764",2011,"Liverpool 020D","Total",1214,342,411,146,354,192,60,163,131,136,39,84,155,61
"E01006765",2011,"Liverpool 020E","Total",1192,363,378,138,292,252,61,111,151,96,33,97,183,24
"E01006766",2011,"Liverpool 019E","Total",969,363,281,116,178,169,33,81,113,70,19,44,105,45
"E01006767",2011,"Liverpool 019F","Total",1388,368,503,182,357,279,66,149,192,166,45,124,158,76
"E01006768",2011,"Liverpool 020F","Total",1159,306,360,108,369,203,78,169,165,173,47,138,171,48
"E01006769",2011,"Liverpool 040B","Total",1059,510,253,127,163,187,52,48,103,55,19,52,133,18
"E01006770",2011,"Liverpool 040C","Total",808,322,246,101,125,125,46,43,80,49,22,40,107,13
"E01006771",2011,"Liverpool 040D","Total",1172,538,324,136,158,209,35,53,120,50,17,48,133,9
"E01006772",2011,"Liverpool 040E","Total",918,318,263,91,239,145,44,102,112,78,31,75,155,18
"E01006773",2011,"Liverpool 036D","Total",1138,250,386,97,379,199,94,185,166,184,58,155,216,21
"E01006774",2011,"Liverpool 036E","Total",1170,206,447,120,458,201,72,230,159,205,79,179,258,37
"E01006775",2011,"Liverpool 040F","Total",1092,553,269,93,141,184,33,59,90,41,16,41,113,7
"E01006776",2011,"Liverpool 022B","Total",1433,626,358,134,281,186,53,133,146,161,42,119,167,43
"E01006778",2011,"Liverpool 014E","Total",1864,805,481,236,352,269,63,166,182,152,43,81,206,60
"E01006779",2011,"Liverpool 022D","Total",1591,833,363,156,217,214,39,89,121,75,31,48,152,30
